Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00004.743040,D5,193,1.41136,9,21.444444,18.732687
Description,after infection overnight,00009.700320,D4,57,0.72616,7,8.142857,8.854838
,,00011.279920,B6,102,1.53472,7,14.571429,13.145963
Maestro Edge Settings,,00013.271040,B6,82,1.0144,7,11.714286,9.676396
   Original File Time,08/25/2020 23:32:59,00027.219520,B5,51,0.2504,10,5.1,4.504442
   Sampling Frequency,12.5 kHz,00032.790160,C1,70,0.17552,8,8.75,6.666146
   Voltage Scale,-5.48486178148311E-08 V/sample,00034.776320,D4,60,0.41872,7,8.571429,6.230275
   Experiment Start Time,08/25/2020 15:32:43,00035.393280,C1,117,0.41304,10,11.7,11.045814
   Referencing Method,Median,00042.396240,C3,55,0.25224,6,9.166667,5.273098
   Analog Mode Setting,Neural Spikes,00042.567840,D5,79,0.4624,9,8.777778,6.545189
   Plate Type,BioCircuit MEA 24,00043.602000,D5,115,0.98592,10,11.5,9.415413
   Digital Low Pass Filter,3 kHz Kaiser Window,00049.560880,C3,58,0.46152,6,9.666667,5.878397
   Digital High Pass Filter,200 Hz IIR,00055.883360,A3,71,0.90632,8,8.875,15.194057
   Temperature Set Point,37.0 Degrees C,00056.558320,B3,174,1.6608,6,29,37.753586
   Current Temperature,37.0 Degrees C,00058.700240,B1,137,0.748,11,12.454545,18.758579
   Heater Power,On,00059.635440,B1,59,0.71688,6,9.833333,17.610762
   Barcode Plate Type,TwentyFourWellCircuit,00077.269200,C3,71,0.21744,7,10.142857,6.081085
   Plate Serial Number,66-1901,00089.719360,B5,318,1.32512,10,31.8,40.402473
   CO2 Conc. Set Point,5.0 %,00090.467520,D5,81,0.52072,9,9,6.599663
   Actual CO2 Conc.,4.9 %,00091.636880,B5,85,0.47824,7,12.142857,12.866663
   Gas Mixer Status,Regulating,00091.636960,D5,120,0.88432,10,12,10.853571
   AxIS Version,3.0.3.2,00100.826560,B5,274,0.90128,10,27.4,34.943382
   Maestro Edge Firmware,3.0.3.2,00105.378480,A2,76,1.03096,8,9.5,17.306068
   Maestro Edge BioCore Version,4B,00110.512800,B3,55,0.8144,7,7.857143,8.822513
,,00114.343680,B2,53,0.52992,6,8.833333,4.980517
AxIS Batch Process,,00120.279680,A3,90,0.83712,7,12.857143,18.42691
   AxIS Version,3.0.3.2,00135.825120,B4,67,0.27432,7,9.571429,9.393875
   File Name,o.n experimet read 4.raw,00146.299760,D5,99,1.16416,10,9.9,8.371977
   Plate Type,BioCircuit MEA 24,00147.181760,B3,73,0.93736,8,9.125,11.805058
   Requested File Section,0s to 10m0s,00147.606000,D5,96,0.88656,9,10.666667,8.666666
   Actual File Section Run,0s to 10m0s,00174.616240,C3,244,1.5476,7,34.857143,20.766928
   Recording Offset from File Start,0s,00182.862080,B5,260,1.35608,10,26,28.565714
,,00184.441600,D4,86,0.27808,9,9.555556,9.178612
Spike Detector Settings,,00184.724480,B5,270,1.05584,10,27,38.514931
   Method,Adaptive Threshold Crossing,00189.751760,B1,147,1.04288,12,12.25,18.828724
   Threshold,6,00206.710960,D5,53,0.56336,8,6.625,3.870966
   Threshold Status,Variable,00207.663520,B1,114,0.33464,12,9.5,12.48666
   Threshold Crossing Only,True,00216.553200,B1,88,0.44968,9,9.777778,12.725982
   Pre-Spike Duration,0.84 ms,00218.207440,A3,80,0.89752,10,8,13.805796
   Post-Spike Duration,2.16 ms,00221.665600,C3,52,0.26728,6,8.666667,4.149967
   Coincident Event Filter,Default (Well),00222.798880,B6,106,1.48624,7,15.142857,12.999215
   Coincidence Occurrence Threshold,4 Electrodes,00228.772960,C2,87,0.12752,9,9.666667,6.683312
   Coincidence Event Window,160 µs,00248.400800,C1,151,0.43352,12,12.583333,12.599328
   Allow Sample Overlap,false,00248.059040,B5,277,1.3804,11,25.181818,31.129694
   Spike Count Interval,1 s,00267.828400,C2,83,0.23416,8,10.375,9.499178
,,00270.479120,D4,70,0.3372,8,8.75,8.181534
Burst Detector Settings,,00270.068800,D5,79,0.7048,10,7.9,5.974111
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00272.702320,B6,52,0.76848,7,7.428571,6.737043
   Maximum Inter-Spike Interval,100 ms,00275.574320,C3,106,0.48584,7,15.142857,9.280218
   Minimum Number of Spikes,5,00276.189440,C3,255,1.72856,6,42.5,22.035955
   Enable Network Burst Detection,True,00293.448880,B5,57,0.22232,10,5.7,5.001
   Maximum Inter-Spike Interval (network bursts),100 ms,00301.338000,C1,131,0.36568,11,11.909091,11.873994
   Minimum Number of Spikes (network bursts),50,00313.644160,C3,76,0.19832,6,12.666667,8.419554
   Minimum Participating Electrodes (%),35,00314.073840,D5,82,0.6856,11,7.454545,6.415374
   Synchrony Window,20 ms,00326.357600,C1,120,0.34664,11,10.909091,11.293236
,,00330.990800,B5,56,0.32664,9,6.222222,5.411465
,,00336.050960,D4,92,0.28456,10,9.2,9.053176
,,00337.444080,D4,52,0.28016,8,6.5,6.164414
,,00339.418160,B5,61,0.17376,10,6.1,6.992138
,,00341.952400,A3,89,1.11544,8,11.125,19.776485
,,00348.332000,B1,69,0.33992,7,9.857143,12.252446
,,00348.728720,B4,59,0.47848,7,8.428571,10.293648
,,00356.945120,C1,142,0.6244,12,11.833333,12.455477
,,00360.262880,B1,51,0.24928,6,8.5,10.210289
,,00362.529920,D5,196,1.09056,10,19.6,17.350504
,,00371.741680,C2,78,0.30496,8,9.75,8.996527
,,00384.946400,B3,194,1.70464,6,32.333333,39.764587
,,00386.645840,B5,251,0.64792,10,25.1,29.514235
,,00387.414160,B5,106,0.82488,10,10.6,15.812654
,,00391.418000,C3,54,0.73272,6,9,4.358899
,,00393.610240,C2,55,0.26928,7,7.857143,5.221619
,,00399.662320,B5,175,0.67568,11,15.909091,22.713449
,,00419.739680,D4,76,0.43864,9,8.444444,9.810551
,,00420.182160,C1,155,0.39176,11,14.090909,15.715971
,,00421.908560,C1,58,0.3108,7,8.285714,8.713115
,,00424.462400,D5,170,1.1436,10,17,14.986661
,,00431.079280,A3,70,0.74936,8,8.75,13.845125
,,00451.181520,B6,203,2.69128,7,29,24.506559
,,00457.954960,D5,52,0.56576,9,5.777778,3.909469
,,00459.630880,C3,85,0.30072,6,14.166667,7.289643
,,00460.066960,C3,193,1.64888,6,32.166667,18.469946
,,00464.990800,B4,62,0.2904,6,10.333333,11.308797
,,00474.432400,B1,126,0.82784,9,14,19.849434
,,00476.861840,B3,165,2.22496,7,23.571429,38.044552
,,00484.965760,C2,80,0.39392,8,10,8.336666
,,00488.607280,B1,60,0.40224,7,8.571429,11.487349
,,00499.050000,B1,59,0.31152,6,9.833333,11.245987
