Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
,,02759.208880,B1,576,1.65176,16,36,52.139236
,,02753.376800,A5,818,8.46928,6,136.333333,292.449249
,,02761.505280,B1,1234,1.49016,16,77.125,66.605064
,,02763.103120,B1,249,1.0544,8,31.125,60.235863
,,02763.993760,C3,115,1.28568,8,14.375,13.738063
,,02765.899680,C3,78,0.52928,6,13,9.609023
,,02780.238880,B1,109,0.22024,14,7.785714,12.060434
,,02787.809600,B1,129,0.32304,10,12.9,15.122499
,,02789.669440,B1,81,0.30592,13,6.230769,10.714145
,,02792.184800,B1,1167,0.8728,16,72.9375,42.964329
,,02794.374960,B1,159,0.25728,11,14.454545,17.427061
,,02802.908400,C1,173,0.37952,10,17.3,33.229652
,,02805.714960,B1,2353,5.26072,16,147.0625,232.66243
,,02812.250000,B6,53,0.02184,16,3.3125,1.157516
,,02812.283920,C6,1555,0.45656,16,97.1875,11.560811
,,02812.250160,D6,1719,0.5684,16,107.4375,16.616892
,,02812.799840,B1,509,0.19288,16,31.8125,14.226818
,,02812.576480,B6,1033,0.51576,16,64.5625,11.725873
,,02813.071600,D6,126,0.47936,12,10.5,21.120686
,,02813.254080,B6,2224,1.02088,16,139,15.6285
,,02812.102160,A6,1751,2.65656,16,109.4375,68.023865
,,02822.280640,B1,86,0.08808,13,6.615385,7.560408
,,02823.575200,B1,625,0.50824,16,39.0625,27.412289
,,02824.933040,C6,328,0.14504,16,20.5,8.958237
,,02824.891200,D6,449,0.29712,16,28.0625,12.621751
,,02824.793280,B6,1477,0.79136,16,92.3125,13.051431
,,02823.880160,A6,710,3.85096,15,47.333333,93.651596
,,02834.682160,B1,991,2.62208,16,61.9375,169.74115
,,02838.491840,B1,644,0.31072,16,40.25,8.227242
,,02848.831840,B1,1469,2.90128,16,91.8125,156.01091
,,02855.948240,B1,589,0.19336,16,36.8125,12.405738
,,02857.792720,B1,3274,13.5496,16,204.625,531.309692
,,02874.479600,B6,52,0.00848,16,3.25,0.559017
,,02874.493680,C6,832,0.2624,16,52,8.28402
,,02874.422400,D6,942,0.57584,16,58.875,21.203995
,,02874.626000,B6,1279,0.75568,16,79.9375,23.823488
,,02874.462480,A6,1252,1.5372,16,78.25,81.46817
,,02875.684880,C1,78,0.2652,6,13,9.165152
,,02876.325120,B6,438,0.56264,16,27.375,36.250645
,,02876.996080,B6,1647,0.7876,16,102.9375,9.659637
,,02884.615040,B6,241,0.39528,16,15.0625,5.673059
,,02887.250080,B6,111,0.0524,16,6.9375,3.831918
