Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
   Coincidence Event Window,160 µs,00108.000240,B1,126,0.10264,14,9,10.155928
   Allow Sample Overlap,false,00108.096960,C2,538,0.2732,16,33.625,15.398356
   Spike Count Interval,1 s,00108.121120,D2,588,0.17736,16,36.75,9.058835
,,00108.246400,A1,259,0.24488,16,16.1875,7.443275
Burst Detector Settings,,00108.102560,C1,1440,0.33048,16,90,17.139137
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00108.098240,D1,759,0.3104,16,47.4375,19.248276
   Maximum Inter-Spike Interval,100 ms,00089.530880,A5,3050,19.88488,15,203.333333,645.307068
   Minimum Number of Spikes,5,00108.310560,B1,509,1.16352,16,31.8125,25.080418
   Enable Network Burst Detection,True,00108.630720,A1,555,1.494,10,55.5,82.618706
   Maximum Inter-Spike Interval (network bursts),100 ms,00122.877200,C1,99,0.27656,7,14.142857,10.696176
   Minimum Number of Spikes (network bursts),50,00106.508000,B3,3923,21.99104,9,435.888889,1212.093018
   Minimum Participating Electrodes (%),35,00114.865760,D4,2280,20.62808,6,380,788.963684
   Synchrony Window,20 ms,00131.258960,B3,644,4.48872,7,92,221.681244
,,00174.162640,B1,149,0.76192,14,10.642857,18.445314
,,00178.698880,B5,122,0.89904,8,15.25,18.396671
,,00190.709120,B1,314,0.89656,14,22.428571,22.03476
,,00193.370560,B1,319,0.37232,14,22.785714,25.826838
,,00194.622400,B1,143,0.30056,10,14.3,21.000238
,,00224.112320,C1,94,0.22712,13,7.230769,6.929911
,,00224.195600,D1,182,0.09856,16,11.375,6.632071
,,00224.227600,D2,84,0.1612,14,6,5.168586
,,00224.196480,C2,657,0.35848,16,41.0625,10.009175
,,00232.230560,B6,378,0.17112,16,23.625,4.675401
,,00226.045280,A6,1362,10.13152,7,194.571429,470.477539
,,00239.034240,A5,3325,18.75544,16,207.8125,664.308228
,,00250.690320,D4,758,8.67808,7,108.285714,239.799149
,,00278.034400,B5,180,0.89888,7,25.714286,29.547609
,,00295.983760,A3,179,0.21392,8,22.375,13.499421
,,00309.939920,B1,67,0.19944,6,11.166667,12.047359
,,00334.424880,C3,113,1.02128,12,9.416667,10.218107
,,00335.347840,B6,89,0.37128,9,9.888889,11.26888
,,00337.164560,C1,68,0.31752,8,8.5,9.682458
,,00348.604080,B2,343,0.24376,16,21.4375,4.443658
,,00348.498800,C2,361,0.338,16,22.5625,5.58982
,,00348.676080,D2,383,0.1568,16,23.9375,3.436363
,,00348.658240,A2,712,0.60936,16,44.5,22.293497
,,00356.000720,B6,86,0.07464,16,5.375,1.408678
,,00356.054400,C6,1223,0.4232,16,76.4375,10.787543
,,00356.055280,D6,1288,0.442,16,80.5,11.82159
,,00356.225120,B6,1054,0.57568,16,65.875,22.513538
,,00354.357920,A6,1695,3.38248,16,105.9375,124.678825
,,00358.146480,B6,1626,0.59072,16,101.625,56.621414
,,00358.086000,C6,202,0.64944,12,16.833333,51.310875
,,00358.946240,B6,1961,0.99616,16,122.5625,76.724319
,,00359.664000,B1,143,0.89248,6,23.833333,49.272766
,,00369.388800,D1,50,0.17464,8,6.25,13.516194
,,00369.244720,C2,385,0.43312,16,24.0625,15.392648
,,00375.101120,B5,142,0.9396,8,17.75,20.308558
,,00379.743680,B1,199,0.79416,11,18.090909,35.973358
,,00386.065760,C5,50,0.5312,8,6.25,12.018215
,,00320.005920,A5,12875,67.24192,16,804.6875,2246.899658
,,00393.384400,C6,52,0.12064,13,4,2.353394
,,00393.361200,D6,51,0.13568,15,3.4,2.497999
,,00393.299280,B6,606,0.3808,16,37.875,34.575779
,,00392.906800,A6,208,1.17912,12,17.333333,44.379677
,,00398.478400,A3,91,0.20792,7,13,10.350984
,,00403.250080,B6,178,0.044,16,11.125,3.739569
,,00403.381280,B1,184,0.3584,7,26.285714,26.23909
,,00403.296800,C6,2704,0.71912,16,169,17.517849
,,00403.291360,D6,2684,0.7232,16,167.75,13.926145
,,00403.260000,A6,2560,0.98424,16,160,41.423122
,,00403.544480,B6,1621,0.77952,16,101.3125,37.61768
,,00405.393120,A6,215,0.26088,14,15.357143,20.738533
,,00405.458080,C6,104,0.1944,12,8.666667,11.834507
,,00405.465040,D6,92,0.18528,14,6.571429,2.945076
,,00405.891600,A6,110,0.68544,9,12.222222,15.569042
,,00405.973440,C6,77,0.9,12,6.416667,17.96505
,,00406.686160,C1,105,0.37952,7,15,14.172408
,,00404.600080,B6,5799,2.6276,16,362.4375,80.177124
,,00408.753280,B1,415,0.2808,16,25.9375,21.677952
,,00408.340800,C3,79,0.966,8,9.875,9.597363
,,00410.284400,D6,57,0.1836,13,4.384615,4.010342
,,00410.013600,B6,1493,0.78496,16,93.3125,24.033098
,,00410.901120,B6,246,0.46376,12,20.5,24.94828
,,00408.071920,A6,834,4.72456,12,69.5,222.370377
,,00415.175520,B6,78,0.34736,6,13,26.388128
,,00390.290000,A5,6343,28.7992,16,396.4375,1001.379822
,,00419.189360,A5,3032,1.5436,16,189.5,96.07679
,,00426.408960,D6,88,0.21968,13,6.769231,12.342259
,,00426.391600,A6,108,0.34536,9,12,26.579023
,,00426.385280,B6,663,0.39512,16,41.4375,15.652351
,,00426.716640,A2,848,0.70048,16,53,8.485281
,,00426.891200,D2,1611,0.65144,16,100.6875,23.69525
,,00426.905040,B2,2069,0.79288,16,129.3125,34.994141
,,00426.876880,C2,1647,1.18992,16,102.9375,48.656281
,,00428.072400,B6,82,0.442,9,9.111111,17.40654
,,00429.009520,B6,206,0.58776,14,14.714286,28.244921
,,00430.775520,B6,488,0.23432,16,30.5,20.466436
,,00436.167120,D6,51,0.15344,9,5.666667,8.326664
,,00436.156560,B6,546,0.30904,16,34.125,6.460215
,,00430.666960,A6,1074,8.09944,8,134.25,350.284088
,,00445.659760,A2,1009,0.74344,14,72.071429,69.762314
,,00447.401600,B6,541,0.22584,16,33.8125,10.051236
,,00451.273600,B1,1155,2.52032,14,82.5,155.381439
,,00458.409200,B1,696,3.73472,11,63.272727,180.622208
,,00464.446400,A6,234,1.0816,6,39,53.737015
,,00470.701920,C3,66,0.24488,8,8.25,7.137051
,,00494.122640,B1,489,2.14632,12,40.75,100.75972
,,00513.912720,B5,178,0.79408,8,22.25,25.762133
,,00517.088480,B5,99,1.04728,6,16.5,24.486391
,,00522.366320,B1,75,0.48416,7,10.714286,7.62916
,,00530.222560,C3,72,0.37528,14,5.142857,5.111012
,,00534.781840,D3,145,0.21976,7,20.714286,12.600616
,,00530.385520,A5,821,5.4276,16,51.3125,144.682724
,,00535.160000,B1,301,1.68304,9,33.444444,76.733467
,,00538.074640,D4,288,3.08624,6,48,73.880531
,,00546.436960,A3,78,0.3276,8,9.75,8.785642
,,00556.870480,B1,162,0.67232,7,23.142857,21.609711
,,00561.066960,C1,67,0.21984,6,11.166667,9.405968
,,00565.170160,C3,109,0.604,6,18.166667,10.526422
,,00567.108800,B5,71,0.67424,7,10.142857,9.187392
,,00581.852640,B1,848,0.6316,16,53,28.295317
,,00602.324640,A1,88,0.17856,9,9.777778,15.208022
,,00602.324960,B1,156,0.2016,13,12,20.080606
,,00602.326880,C2,78,0.22,6,13,22.941956
,,00603.197040,B1,51,0.05176,8,6.375,4.948169
,,00604.665280,B1,155,0.2184,13,11.923077,15.982979
,,00595.367280,A5,1411,13.44096,16,88.1875,312.422241
,,00608.820240,B5,69,0.50576,11,6.272727,10.643743
,,00608.968720,A5,1780,2.9436,16,111.25,109.458611
,,00617.644320,B1,362,1.684,10,36.2,78.945297
,,00620.226160,C5,66,0.35808,15,4.4,3.629509
,,00620.198480,D5,81,0.3892,14,5.785714,5.016809
,,00620.206800,A5,1134,1.1396,14,81,76.700714
,,00613.997040,B5,1554,7.3016,13,119.538462,395.92514
,,00630.978000,B1,374,0.75928,16,23.375,29.679276
,,00632.992560,A5,1238,5.36736,16,77.375,196.953003
,,00638.375280,B5,920,0.23968,16,57.5,10.350121
,,00638.370160,C5,931,0.2448,16,58.1875,13.206148
,,00638.367360,D5,944,0.31824,16,59,7.673005
,,00639.068160,B5,752,0.33152,16,47,20.112185
,,00639.070240,C5,750,0.39856,15,50,19.054308
,,00639.071920,D5,710,0.34368,16,44.375,11.59674
,,00638.551440,A5,2430,2.55288,16,151.875,40.819534
,,00642.288320,B1,308,1.70984,12,25.666667,48.516891
,,00645.121120,D4,671,7.9712,6,111.833333,235.397125
,,00667.067440,B1,103,0.18664,10,10.3,17.944637
,,00669.187760,B1,1055,4.85824,7,150.714286,358.57843
,,00709.204560,D4,108,1.1608,6,18,24.637369
,,00717.478400,B5,166,0.77856,7,23.714286,28.8529
,,00736.987360,B1,157,0.21496,7,22.428571,25.922174
,,00747.881680,B5,74,0.51208,7,10.571429,10.417803
,,00773.047760,B1,66,0.16736,8,8.25,10.532687
,,00779.658160,A3,134,0.41272,6,22.333333,18.015425
,,00796.910720,B1,75,0.1252,12,6.25,7.025252
,,00797.932880,B1,134,0.3508,14,9.571429,7.825912
,,00798.882160,B1,316,0.27592,16,19.75,7.180703
,,00800.797360,A2,64,0.1556,8,8,6.204837
,,00802.542640,B1,99,0.24272,8,12.375,17.442316
,,00803.369920,C1,81,0.29512,8,10.125,11.117975
,,00808.968320,B5,108,0.69288,7,15.428571,16.290726
,,00813.493360,B6,684,0.5172,16,42.75,35.697514
,,00814.382320,B6,239,0.21792,16,14.9375,2.075715
,,00814.402400,D6,72,0.16752,16,4.5,4.743416
,,00812.453120,A6,523,2.3408,15,34.866667,115.830833
,,00815.426800,B6,2005,0.9084,16,125.3125,47.658577
,,00816.361120,A5,2497,4.298,16,156.0625,122.66951
,,00826.302400,B1,99,0.4388,7,14.142857,22.459034
,,00828.984480,A5,915,0.656,16,57.1875,19.082777
,,00830.183200,A5,417,1.14552,12,34.75,59.639366
,,00821.262000,B5,2099,10.73984,10,209.9,607.772034
,,00833.897360,B1,296,0.64496,11,26.909091,37.281376
,,00856.431680,B1,183,0.9108,11,16.636364,28.977335
,,00868.744400,A1,100,0.73128,6,16.666667,30.776976
,,00876.661600,B1,102,0.338,9,11.333333,14.719602
,,00880.208880,D4,190,2.35616,7,27.142857,41.470917
,,00893.863440,B1,933,1.62688,16,58.3125,68.863739
,,00903.692560,B1,302,0.40664,13,23.230769,38.775791
,,00904.679200,A3,213,1.0928,7,30.428571,61.701717
,,00906.024080,C3,65,0.7052,7,9.285714,7.381721
,,00907.135600,A3,56,0.60616,9,6.222222,12.326825
,,00907.202480,C3,115,0.8084,7,16.428571,13.329421
,,00913.577600,A6,416,1.08608,14,29.714286,29.299995
,,00915.586480,A6,353,1.96976,15,23.533333,48.689312
,,00917.502880,B1,94,0.40232,10,9.4,10.278132
,,00895.305040,A5,4899,35.756,16,306.1875,1102.376099
,,00931.066160,B5,953,0.45792,16,59.5625,4.689999
,,00931.066160,C5,883,0.4732,16,55.1875,11.287265
,,00931.087680,D5,890,0.35432,16,55.625,5.085211
,,00931.258000,A5,4228,3.59552,16,264.25,163.622849
,,00938.000480,A5,449,0.31416,16,28.0625,4.547922
,,00938.687920,A5,599,0.89968,13,46.076923,66.485931
,,00942.947920,B1,65,0.76744,6,10.833333,9.208993
,,00948.364880,B5,155,0.65808,8,19.375,22.649158
,,00969.443840,B6,372,0.33936,16,23.25,9.653367
,,00969.538640,C6,84,0.14352,14,6,5.168586
,,00969.520800,D6,95,0.178,14,6.785714,4.458997
