Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
   Maestro Edge Firmware,3.0.3.2,00155.536960,D4,64,0.48648,8,8,9.874208
   Maestro Edge BioCore Version,4B,00166.569520,D3,67,0.33576,8,8.375,6.203578
,,00191.895280,B5,213,1.58992,11,19.363636,20.86438
AxIS Batch Process,,00197.968400,D2,87,0.9604,6,14.5,11.954776
   AxIS Version,3.0.3.2,00199.663440,C1,53,0.3264,10,5.3,4.712749
   File Name,o.n experimet read 0.raw,00229.962960,B6,75,1.07672,6,12.5,9.124144
   Plate Type,BioCircuit MEA 24,00245.543840,A3,76,0.96192,9,8.444444,14.515212
   Requested File Section,0s to 10m0s,00254.302640,D5,153,0.79992,9,17,11.00505
   Actual File Section Run,0s to 10m0s,00265.877600,B5,53,0.30216,9,5.888889,6.367355
   Recording Offset from File Start,0s,00266.075040,D5,77,0.192,10,7.7,7.655717
,,00268.342320,D5,60,0.22064,6,10,5.385165
Spike Detector Settings,,00272.918720,C3,146,0.39152,7,20.857143,14.749611
   Method,Adaptive Threshold Crossing,00273.410240,C3,129,1.1968,6,21.5,15.489244
   Threshold,6,00281.498880,D5,56,0.24272,8,7,6.5
   Threshold Status,Variable,00284.412080,A3,59,0.97568,7,8.428571,14.965265
   Threshold Crossing Only,True,00287.425680,D5,62,0.23976,7,8.857143,6.127889
   Pre-Spike Duration,0.84 ms,00290.313920,B5,311,1.56888,10,31.1,33.152527
   Post-Spike Duration,2.16 ms,00292.231200,D2,60,0.91664,6,10,10.066446
   Coincident Event Filter,Default (Well),00292.333840,B5,175,0.97544,10,17.5,27.085974
   Coincidence Occurrence Threshold,4 Electrodes,00310.252480,B5,135,0.6636,10,13.5,14.678215
   Coincidence Event Window,160 µs,00322.434720,C1,55,0.27968,8,6.875,5.904183
   Allow Sample Overlap,false,00335.132640,D1,64,1.1896,7,9.142857,12.028877
   Spike Count Interval,1 s,00340.509120,B5,195,0.738,11,17.727273,23.187344
,,00341.094960,C3,107,0.6448,6,17.833333,9.118052
Burst Detector Settings,,00342.112320,C3,259,1.09624,6,43.166667,21.919676
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00343.691760,C3,56,0.4528,6,9.333333,8.259674
   Maximum Inter-Spike Interval,100 ms,00344.549920,C2,95,0.25656,10,9.5,6.152236
   Minimum Number of Spikes,5,00349.177600,A3,68,0.93656,7,9.714286,14.209798
   Enable Network Burst Detection,True,00356.069200,B3,84,0.9604,6,14,13.354151
   Maximum Inter-Spike Interval (network bursts),100 ms,00381.031840,D4,123,0.48168,10,12.3,17.117535
   Minimum Number of Spikes (network bursts),50,00381.778320,D4,99,1.28888,8,12.375,18.834393
   Minimum Participating Electrodes (%),35,00396.900240,B5,52,0.39224,10,5.2,5.015975
   Synchrony Window,20 ms,00401.112160,C3,91,0.30448,6,15.166667,9.334821
,,00418.909520,B6,53,0.5576,8,6.625,4.973367
,,00430.040400,C1,167,0.34056,11,15.181818,12.364305
,,00430.648000,C1,75,1.294,6,12.5,6.849574
,,00433.438320,B5,321,1.5944,12,26.75,33.259396
,,00436.342000,B5,68,0.60544,7,9.714286,11.498003
,,00445.062160,D5,107,0.52288,8,13.375,9.040707
,,00446.834720,D5,50,0.27288,6,8.333333,4.988876
,,00448.997040,C3,98,0.53872,6,16.333333,9.792287
,,00456.045520,D5,83,0.3108,8,10.375,8.045768
,,00458.038640,D5,71,0.25616,7,10.142857,6.334229
,,00461.029200,A3,77,0.91504,6,12.833333,18.568941
,,00464.130160,B1,86,0.41536,11,7.818182,13.966311
,,00466.464800,D5,92,0.32248,8,11.5,9.192389
,,00472.895600,D5,51,0.2296,8,6.375,5.313603
,,00477.680160,D5,87,0.28912,7,12.428571,7.088364
,,00478.392080,D3,68,0.74184,10,6.8,7.152622
,,00482.122240,D5,71,0.25512,8,8.875,7.096434
,,00482.625760,C3,96,0.72024,6,16,8.205689
,,00484.175120,C3,123,1.37032,7,17.571429,17.04496
,,00491.063280,D5,81,0.1788,7,11.571429,7.208272
,,00505.596400,A3,56,0.97168,6,9.333333,17.298042
,,00508.637280,D4,108,0.48672,9,12,15.712698
,,00509.352560,D4,119,1.95952,6,19.833333,22.289135
,,00516.703280,B5,52,0.25864,10,5.2,5.6
,,00519.508640,D5,140,0.5252,10,14,11.593102
,,00520.389520,D5,112,1.24608,7,16,13.918128
,,00537.464560,B5,495,2.21664,11,45,57.463032
,,00548.428800,C3,106,0.5748,6,17.666667,7.203394
,,00549.487200,C3,244,1.19848,7,34.857143,22.382574
,,00561.164160,B6,54,0.67032,8,6.75,4.293891
,,00566.892160,B3,77,0.89144,6,12.833333,12.588575
,,00568.724240,B5,144,0.55328,10,14.4,16.200001
,,00588.132960,D5,64,0.20512,6,10.666667,5.792716
,,00590.716800,B1,73,0.4108,8,9.125,13.213984
,,00597.810080,D3,58,0.6352,8,7.25,6.495191

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42+DM,AB 42+DM,AB 42+DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
