Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.176400,A3,52,0.56096,8,6.5,10.29563
Description,after infection overnight,00000.212080,B1,81,0.55856,10,8.1,16.573774
,,00012.765120,C1,106,0.78496,12,8.833333,8.811294
Maestro Edge Settings,,00046.919120,D3,53,0.67648,8,6.625,5.764926
   Original File Time,08/25/2020 15:32:59,00054.413600,B5,56,0.35008,8,7,5.5
   Sampling Frequency,12.5 kHz,00059.860240,C1,116,0.86936,10,11.6,8.639444
   Voltage Scale,-5.48486178148311E-08 V/sample,00060.742480,B5,533,2.12752,12,44.416667,67.892632
   Experiment Start Time,08/25/2020 15:32:43,00068.749920,A3,60,0.46312,9,6.666667,10.066446
   Referencing Method,Median,00080.428800,D5,128,0.41896,11,11.636364,9.40283
   Analog Mode Setting,Neural Spikes,00081.100480,D1,57,0.89296,6,9.5,9.124144
   Plate Type,BioCircuit MEA 24,00086.895520,B6,86,1.28776,8,10.75,9.24324
   Digital Low Pass Filter,3 kHz Kaiser Window,00089.408720,B1,65,0.466,8,8.125,11.762627
   Digital High Pass Filter,200 Hz IIR,00092.371840,D4,63,1.06656,7,9,11.224972
   Temperature Set Point,37.0 Degrees C,00102.040000,C3,51,0.37624,6,8.5,5.649484
   Current Temperature,37.0 Degrees C,00103.105600,B3,90,0.72656,7,12.857143,12.910998
   Heater Power,On,00112.738400,C2,113,0.25576,11,10.272727,8.53965
   Barcode Plate Type,TwentyFourWellCircuit,00114.277040,C2,57,0.35088,10,5.7,4.360046
   Plate Serial Number,66-1901,00128.143920,D5,58,0.18544,8,7.25,6.533567
   CO2 Conc. Set Point,5.0 %,00139.015520,A3,75,1.05128,7,10.714286,17.077255
   Actual CO2 Conc.,5.0 %,00144.509760,B5,260,0.82464,11,23.636364,30.410145
   Gas Mixer Status,Regulating,00145.447120,B5,212,1.14336,10,21.2,24.842705
   AxIS Version,3.0.3.2,00147.920240,C3,52,0.58272,6,8.666667,6.749485
