Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
,,06675.101840,B5,51,0.24144,9,5.666667,5.811865
,,06677.426080,D5,88,0.2308,9,9.777778,8.066085
,,06679.620400,D5,155,0.39064,11,14.090909,11.935086
,,06680.391200,D3,54,0.6564,9,6,5.416026
,,06680.112880,D5,54,1.0772,7,7.714286,8.206518
,,06684.030480,B5,51,0.22344,10,5.1,5.028916
,,06701.331840,D5,70,0.20904,6,11.666667,5.934831
,,06708.391120,D5,52,0.2216,6,8.666667,4.459696
,,06710.602880,B1,72,0.39088,8,9,13.416408
,,06720.016960,C3,86,0.2312,6,14.333333,7.717225
,,06755.229280,D2,84,1.02472,6,14,10.583005
,,06759.456240,D3,52,0.52552,8,6.5,6.204837
,,06771.395280,C1,140,0.28176,12,11.666667,12.860361
,,06772.238640,C3,84,0.3868,6,14,8.266397
,,06771.893680,C1,104,1.49568,6,17.333333,9.104334
,,06773.492880,C3,211,0.81048,6,35.166667,21.411964
,,06778.522320,B6,50,0.67192,7,7.142857,5.436085
,,06792.766560,B1,64,0.36984,8,8,11.357817
,,06804.651760,D4,91,0.54112,8,11.375,12.358575
,,06806.193840,D4,88,0.57264,6,14.666667,15.723302
,,06818.142720,D5,75,0.24208,9,8.333333,6.666667
,,06820.088000,C2,120,0.33256,10,12,7.113368
,,06821.668480,C2,63,0.31488,9,7,4.784234
,,06825.541520,B5,307,1.44544,11,27.909091,35.214809
,,06828.185440,B5,83,0.79272,10,8.3,12.247857
,,06829.198560,C1,95,0.19464,9,10.555556,9.708085
,,06833.725920,B1,61,0.30728,9,6.777778,10.860507
,,06835.577600,C3,81,0.29504,6,13.5,6.626965
,,06861.568400,A3,86,0.99104,9,9.555556,14.945167
,,06865.356880,D2,84,0.83664,6,14,10.692677
,,06872.434640,B5,202,0.63352,10,20.2,23.029547
,,06873.670640,B5,249,1.25568,10,24.9,35.421604
,,06874.846000,C3,86,0.2696,6,14.333333,8.339997
,,06891.579680,B4,70,0.19664,9,7.777778,8.547615
,,06891.758560,D5,79,0.25632,7,11.285714,7.496938
,,06893.798880,D5,58,0.40432,7,8.285714,4.589251
,,06904.216800,D5,151,0.76616,10,15.1,11.202232
,,06905.030720,C3,108,0.6108,7,15.428571,10.111622
,,06905.410320,D5,90,0.7136,10,9,9.044335
,,06918.462640,D4,50,0.18872,6,8.333333,8.595864
,,06918.949600,D5,69,0.19656,7,9.857143,6.555882
,,06923.685280,C2,93,0.42808,12,7.75,6.233311
,,06935.916480,B5,212,0.96112,10,21.2,23.4
,,06937.308080,B5,224,1.1852,10,22.4,31.840855
,,06956.485600,D3,71,0.48592,8,8.875,6.641489
,,06958.294720,C3,83,0.3908,6,13.833333,6.542595
,,06958.827920,D4,110,1.16168,7,15.714286,19.240688
,,06972.182800,D2,76,0.85504,6,12.666667,9.893882
,,07003.977040,D4,52,0.3716,8,6.5,7.92149
,,07045.199040,B3,69,0.69184,8,8.625,8.425222
,,07049.619040,B1,82,0.52984,8,10.25,15.610494
,,07050.314080,C2,88,0.45968,11,8,6.045284
,,07054.875840,B4,75,0.45856,8,9.375,11.201981
,,07057.964240,B6,71,0.81024,7,10.142857,6.577637
,,07068.806400,C3,210,1.808,7,30,18.624102
,,07097.432880,C1,169,0.87248,12,14.083333,14.268021
,,07098.604240,C1,106,0.96528,8,13.25,10.638962
,,07102.964080,D5,68,0.25848,8,8.5,6.614378
,,07118.662160,D5,68,0.19216,7,9.714286,6.818343
,,07124.320560,D2,100,0.99232,6,16.666667,13.474256
,,07128.944720,A3,56,0.54696,8,7,10.943034
,,07129.164960,D4,102,0.39056,8,12.75,14.592379
,,07135.106480,B1,66,0.41464,9,7.333333,10.561986
,,07136.799600,B5,52,0.23584,10,5.2,5.153639

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42+dm,AB 42+dm,AB 42+dm,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
