Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00010.986000,C3,86,0.2552,7,12.285714,7.959079
Description,after infection overnight,00012.105280,C1,85,0.6056,10,8.5,8.789198
,,00011.436880,C3,135,1.55248,6,22.5,10.531698
Maestro Edge Settings,,00026.751120,A1,73,1.05832,6,12.166667,10.558041
   Original File Time,08/26/2020 03:32:59,00027.112640,B3,81,1.18664,7,11.571429,14.69555
   Sampling Frequency,12.5 kHz,00028.419440,C1,76,0.20032,10,7.6,7.644606
   Voltage Scale,-5.48486178148311E-08 V/sample,00028.399440,B3,96,1.29176,6,16,24.069344
   Experiment Start Time,08/25/2020 15:32:43,00031.428640,C2,66,0.36816,7,9.428571,8.845614
   Referencing Method,Median,00033.790160,B5,53,0.21936,9,5.888889,6.279498
   Analog Mode Setting,Neural Spikes,00034.495840,B6,55,0.90536,7,7.857143,7.039248
   Plate Type,BioCircuit MEA 24,00035.438800,B5,447,1.92128,10,44.7,62.243153
   Digital Low Pass Filter,3 kHz Kaiser Window,00037.318080,B6,70,1.51928,7,10,8.585702
   Digital High Pass Filter,200 Hz IIR,00038.249680,B5,165,1.14952,9,18.333333,34.78186
   Temperature Set Point,37.0 Degrees C,00044.903440,D5,120,0.85272,10,12,10.168579
   Current Temperature,37.0 Degrees C,00052.439760,D5,70,0.23384,10,7,6.826419
   Heater Power,On,00065.289200,D4,53,0.26344,9,5.888889,5.801234
   Barcode Plate Type,TwentyFourWellCircuit,00072.846720,D5,50,0.20168,7,7.142857,4.969294
   Plate Serial Number,66-1901,00078.596080,B1,135,0.44312,10,13.5,14.9683
   CO2 Conc. Set Point,5.0 %,00082.284240,B4,56,0.44584,6,9.333333,8.459052
   Actual CO2 Conc.,4.9 %,00092.068800,C2,52,0.2408,6,8.666667,8.844333
   Gas Mixer Status,Regulating,00098.314640,D1,52,0.9732,7,7.428571,7.306692
   AxIS Version,3.0.3.2,00100.863520,B1,122,0.56504,11,11.090909,16.362122
   Maestro Edge Firmware,3.0.3.2,00104.891600,C3,90,0.52544,6,15,7.094599
   Maestro Edge BioCore Version,4B,00107.288160,A2,89,1.20056,7,12.714286,24.621212
,,00108.836240,A3,72,1.10576,6,12,21.954498
AxIS Batch Process,,00114.478560,B5,187,1.05056,9,20.777778,20.573866
   AxIS Version,3.0.3.2,00116.428800,D2,134,1.40648,7,19.142857,18.991943
   File Name,o.n experimet read 6.raw,00125.256160,B3,135,0.97928,6,22.5,26.669271
   Plate Type,BioCircuit MEA 24,00126.614080,B5,128,0.66432,10,12.8,14.715978
   Requested File Section,0s to 10m0s,00137.160240,C1,57,0.17192,10,5.7,5.692978
   Actual File Section Run,0s to 10m0s,00157.287120,B1,135,0.98,11,12.272727,15.232088
   Recording Offset from File Start,0s,00160.758800,C1,50,0.21512,6,8.333333,5.617433
,,00161.187680,C3,75,0.25928,6,12.5,5.937171
Spike Detector Settings,,00163.089200,B5,161,0.99744,10,16.1,16.06518
   Method,Adaptive Threshold Crossing,00164.543280,B5,344,1.652,10,34.4,47.261402
   Threshold,6,00169.872080,B2,55,0.5824,7,7.857143,4.323642
   Threshold Status,Variable,00169.312000,A2,75,1.43688,7,10.714286,21.365622
   Threshold Crossing Only,True,00185.769600,D4,60,0.30632,9,6.666667,5.291503
   Pre-Spike Duration,0.84 ms,00186.243040,D5,131,0.50544,11,11.909091,10.646848
   Post-Spike Duration,2.16 ms,00187.796400,D5,106,0.552,8,13.25,14.549484
   Coincident Event Filter,Default (Well),00197.716720,B1,118,0.9992,10,11.8,16.073582
