Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
   Coincidence Occurrence Threshold,4 Electrodes,00199.978240,B6,108,1.07904,8,13.5,12.951834
   Coincidence Event Window,160 µs,00201.184640,B6,74,1.25568,6,12.333333,12.618329
   Allow Sample Overlap,false,00212.836480,C1,88,0.19392,8,11,9.165152
   Spike Count Interval,1 s,00217.463120,C3,120,1.06768,7,17.142857,10.588789
,,00218.125360,B3,107,2.00888,6,17.833333,22.259205
Burst Detector Settings,,00221.050480,C1,133,0.35128,13,10.230769,10.496548
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00225.811120,C3,53,0.45984,7,7.571429,7.853246
   Maximum Inter-Spike Interval,100 ms,00231.516160,B4,55,0.416,6,9.166667,8.173467
   Minimum Number of Spikes,5,00234.085200,D4,51,0.41736,9,5.666667,4.546061
   Enable Network Burst Detection,True,00236.349120,B5,166,0.80888,10,16.6,18.943073
   Maximum Inter-Spike Interval (network bursts),100 ms,00237.270000,B5,57,0.45824,11,5.181818,5.490788
   Minimum Number of Spikes (network bursts),50,00257.013680,C1,134,0.34184,10,13.4,12.666492
   Minimum Participating Electrodes (%),35,00272.652080,C2,76,0.17496,9,8.444444,6.63511
   Synchrony Window,20 ms,00287.184720,C1,118,0.33792,11,10.727273,11.322472
,,00290.162480,B2,54,0.75288,8,6.75,5.402546
,,00303.983040,D5,122,0.33632,11,11.090909,9.680859
,,00305.259200,D5,125,0.9548,9,13.888889,12.827439
,,00307.395840,A3,85,1.30824,8,10.625,20.993675
,,00319.220000,B5,73,0.35568,10,7.3,8.521151
,,00329.128720,B1,81,0.27816,11,7.363636,8.73106
,,00328.199840,C3,456,1.86784,8,57,46.010868
,,00330.480000,B5,334,1.52144,11,30.363636,38.516285
,,00332.049360,C1,115,0.28904,12,9.583333,11.16138
,,00333.846480,B5,77,0.4212,8,9.625,13.076099
,,00334.669040,A2,82,0.74584,8,10.25,18.136635
,,00338.214000,B3,128,0.8768,7,18.285714,25.143669
,,00351.202160,B5,118,0.77216,9,13.111111,11.770438
,,00351.373600,B1,138,0.78928,11,12.545455,17.089941
,,00359.601840,C1,116,0.28592,11,10.545455,11.211712
,,00366.751920,D4,51,0.3592,8,6.375,4.973367
,,00367.932480,B6,96,1.52472,9,10.666667,12.840906
,,00370.353360,B6,94,1.1152,8,11.75,12.437343
,,00377.625760,C2,73,0.084,8,9.125,4.833154
,,00388.440480,B1,50,0.16552,9,5.555556,7.661028
,,00394.213440,D2,98,1.38464,6,16.333333,12.892719
,,00406.409760,A3,88,1.61544,8,11,17.909494
,,00417.126160,B5,65,0.328,10,6.5,5.800862
,,00434.481120,B1,142,0.5312,10,14.2,18.792551
,,00438.152080,B3,63,0.50672,6,10.5,10.797377
,,00438.347360,C3,61,0.38632,7,8.714286,5.469769
,,00442.337280,D2,71,0.9248,7,10.142857,9.977526
,,00450.098320,C1,74,0.2024,9,8.222222,7.856742
,,00451.841040,B4,60,0.31816,7,8.571429,7.287115
,,00459.695920,D5,114,0.32936,10,11.4,10.919707
,,00465.268960,D5,69,0.32248,9,7.666667,6.110101
,,00468.317520,C1,144,0.6872,11,13.090909,13.859388
,,00485.570400,B5,66,0.37992,7,9.428571,8.649643
,,00489.840720,A2,98,1.19472,8,12.25,23.128716
,,00492.360480,B5,75,0.26576,10,7.5,6.296824
,,00498.628960,B5,501,1.80824,10,50.1,67.14827
,,00500.858800,B5,179,1.47848,9,19.888889,35.053753
,,00514.045040,C1,146,0.3968,12,12.166667,13.15189
,,00516.789440,D2,109,1.29184,6,18.166667,16.097792
,,00524.455200,B1,142,1.03144,12,11.833333,19.739273
,,00526.827680,A3,66,0.95432,7,9.428571,17.053337
,,00549.143920,B3,73,0.49744,6,12.166667,11.823939
,,00553.076160,C3,216,1.41832,8,27,22.416512
,,00555.398880,D5,55,0.12928,8,6.875,5.904183
,,00559.889200,D5,109,0.33264,9,12.111111,8.238722
,,00561.997200,B6,103,1.51568,8,12.875,13.23289
,,00563.949280,B6,84,1.18776,7,12,11.976167
,,00565.669200,B1,129,0.77576,10,12.9,17.835077
,,00566.324960,B5,50,0.16744,10,5,5.215362
,,00579.317760,C3,63,0.18568,7,9,6.611678
,,00582.716000,C2,89,0.24888,8,11.125,9.075207
,,00597.099680,D4,60,0.37976,9,6.666667,5.537749

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
