Investigator,Lena and Yossi,Time (s),Electrode,Amplitude (mV)
,,00154.209760,A2_44,0.053
,,00154.343760,C5_33,0.048
,,00154.344400,C5_13,0.03
,,00154.352000,C5_43,0.043
,,00154.355600,C5_33,0.038
,,00154.364000,C5_13,0.052
,,00154.366400,C5_13,0.042
,,00154.377520,A2_44,0.057
,,00154.378320,C5_13,0.033
,,00154.383280,C5_24,0.042
,,00154.384800,C5_32,0.031
,,00154.421600,C5_13,0.048
,,00154.431680,C5_24,0.038
,,00154.445200,B6_23,0.06
,,00154.447680,C5_32,0.053
,,00154.461600,C5_13,0.041
,,00154.474240,C3_43,0.062
,,00154.476320,C3_12,0.147
,,00154.479200,C3_24,0.368
,,00154.481760,C3_12,0.045
,,00154.481760,C3_24,0.046
,,00154.487520,C3_12,0.147
,,00154.491840,C3_24,0.346
,,00154.492080,C3_22,0.305
,,00154.494320,C3_24,0.033
,,00154.494400,C3_22,0.029
,,00154.513760,D1_11,0.033
,,00154.527120,C3_14,0.068
,,00154.531360,C3_14,0.031
,,00154.533760,C3_12,0.123
,,00154.535440,C3_43,0.028
,,00154.541360,A2_44,0.056
,,00154.544480,D1_42,0.037
,,00154.554160,C5_32,0.054
,,00154.555280,C3_43,0.281
,,00154.560320,C3_43,0.225
,,00154.562640,C3_12,0.119
,,00154.563280,C3_43,0.023
,,00154.563760,C3_14,0.102
,,00154.587200,D1_42,0.036
,,00154.624160,D1_42,0.031
,,00154.627040,D1_42,0.034
,,00154.632960,C3_22,0.27
,,00154.635360,C3_22,0.03
,,00154.664320,D4_21,0.036
,,00154.688960,B4_31,0.041
,,00154.691920,D4_21,0.041
,,00154.693360,A2_44,0.056
,,00154.713520,D4_21,0.041
,,00154.733360,B4_31,0.025
,,00154.740080,D4_21,0.044
,,00154.744160,D4_21,0.043
,,00154.755760,D4_32,0.031
,,00154.757520,D4_43,0.04
,,00154.763680,D4_21,0.034
,,00154.768560,B4_31,0.038
,,00154.772160,D4_21,0.058
,,00154.776240,D4_21,0.037
,,00154.786960,D4_32,0.03
,,00154.788560,D4_21,0.025
,,00154.789600,C3_22,0.278
,,00154.802240,D4_31,0.04
,,00154.804080,B4_43,0.049
,,00154.816160,B6_21,0.033
,,00154.818480,D4_21,0.04
,,00154.819280,B6_23,0.092
,,00154.826640,B6_21,0.053
,,00154.831280,B4_43,0.052
,,00154.842000,B6_23,0.071
,,00154.845040,B4_43,0.038
,,00154.845920,D4_21,0.041
,,00154.858960,A2_44,0.058
,,00154.862880,B4_43,0.061
,,00154.865200,B4_31,0.035
,,00154.865520,B4_43,0.034
,,00154.867920,B4_43,0.048
,,00154.884000,B4_43,0.048
,,00154.886400,B4_43,0.033
,,00154.887440,B4_31,0.037
,,00154.901920,B4_43,0.041
,,00154.910400,B6_41,0.028
,,00154.913760,B4_31,0.036
,,00154.919520,C3_22,0.245
,,00154.920960,B4_43,0.063
,,00154.921920,C3_22,0.033
,,00154.926160,B4_44,0.027
,,00154.934240,B4_43,0.045
,,00154.942400,B4_23,0.061
,,00154.950080,B4_23,0.045
,,00154.957680,B4_44,0.026
,,00154.958320,B4_43,0.037
,,00154.964240,B4_23,0.037
,,00154.965200,B4_43,0.081
,,00154.973280,B4_43,0.043
,,00154.975200,B4_23,0.045
,,00154.976960,B4_44,0.028
,,00154.977120,B4_43,0.048
,,00154.978720,B4_23,0.035
,,00154.985040,B4_43,0.036
,,00154.988560,B4_44,0.028
,,00154.988960,B4_23,0.037
,,00154.989200,B4_43,0.028
,,00154.994480,B4_44,0.032
,,00154.997360,D5_43,0.029
,,00154.998880,B4_43,0.066
,,00154.999040,A2_44,0.055
,,00155.000960,D5_13,0.032
,,00155.006720,B4_23,0.036
,,00155.007120,D5_33,0.057
,,00155.008960,B4_23,0.035
,,00155.017840,B4_44,0.027
,,00155.019120,B4_23,0.044
,,00155.033360,B4_13,0.037
,,00155.035440,B4_23,0.025
,,00155.039840,D5_33,0.053
,,00155.040560,B4_43,0.075
,,00155.043920,B4_43,0.043
,,00155.057920,B4_43,0.033
,,00155.059760,B6_23,0.056
,,00155.067120,D5_33,0.049
,,00155.081440,B4_43,0.036
,,00155.086640,B4_43,0.031
,,00155.098080,B4_43,0.04
,,00155.109200,B2_32,0.034
,,00155.120080,B4_43,0.052
,,00155.125680,D5_43,0.032
,,00155.128400,A2_44,0.047
,,00155.132560,B4_23,0.039
,,00155.160960,B4_43,0.046
,,00155.191040,B6_23,0.065
,,00155.214800,B4_31,0.031
,,00155.220480,B4_43,0.04
,,00155.298320,A1_43,0.053
,,00155.306000,B3_22,0.157
,,00155.308400,D3_43,0.037
,,00155.312800,B3_44,0.067
,,00155.336160,A2_44,0.067
,,00155.473200,A2_44,0.052
,,00155.480880,B4_31,0.034
,,00155.488080,B4_13,0.039
,,00155.557520,B3_32,0.046
,,00155.559920,B3_22,0.05
,,00155.585200,B3_32,0.043
,,00155.585280,A2_44,0.054
,,00155.636320,B2_32,0.034
,,00155.654080,B6_23,0.061
,,00155.660480,B6_23,0.05
,,00155.680720,B3_32,0.04
,,00155.696320,B3_42,0.055
,,00155.719120,C4_34,0.038
,,00155.740880,B3_32,0.049
,,00155.769520,A2_44,0.059
,,00155.774000,D4_23,0.043
,,00155.838640,D4_23,0.035
,,00155.903600,A2_44,0.055
,,00155.985760,C4_34,0.037
,,00156.056560,A2_44,0.054
,,00156.104240,A5_13,0.072
,,00156.112560,A5_13,0.058
,,00156.127360,A5_13,0.074
,,00156.136160,A5_24,0.078
,,00156.143040,B3_44,0.069
,,00156.144160,A5_43,0.039
,,00156.146240,A5_13,0.066
,,00156.171200,A2_44,0.059
,,00156.174720,A5_11,0.028
,,00156.234320,B6_23,0.048
,,00156.253200,A5_43,0.026
,,00156.317360,D2_34,0.063
,,00156.321360,A2_44,0.051
,,00156.330880,A2_44,0.06
,,00156.358480,A2_44,0.045
,,00156.361440,A2_44,0.075
,,00156.394720,A2_44,0.077
,,00156.425760,A2_44,0.093
,,00156.431920,A2_44,0.086
,,00156.436160,A1_43,0.059
,,00156.441040,A2_44,0.042
,,00156.523120,A2_44,0.058
,,00156.540720,B2_32,0.035
,,00156.587360,B6_23,0.05
,,00156.697760,D4_23,0.04
,,00156.779280,A2_44,0.055
,,00156.791040,A1_43,0.061
,,00156.927200,D4_23,0.041
,,00156.963760,D4_23,0.037
,,00157.025840,D2_21,0.037
,,00157.032960,B2_32,0.036
,,00157.047680,C3_22,0.291
,,00157.050000,C3_22,0.019
,,00157.083280,B6_23,0.051
,,00157.090880,D2_21,0.032
,,00157.100000,D2_31,0.04
,,00157.110480,A2_44,0.057
,,00157.146400,D4_23,0.034
,,00157.278880,A2_44,0.051
,,00157.289200,D2_34,0.073
,,00157.291600,D4_23,0.037
,,00157.426880,D3_24,0.044
,,00157.454480,D3_24,0.036
,,00157.457600,A2_44,0.051
,,00157.465680,D3_41,0.025
,,00157.471280,D3_41,0.021
,,00157.471760,D3_24,0.042
,,00157.474640,D3_22,0.042
,,00157.477440,D3_32,0.029
,,00157.477520,D3_22,0.045
,,00157.478720,D3_33,0.042
,,00157.479200,D3_41,0.016
,,00157.481920,D3_22,0.049
,,00157.484560,D3_22,0.051
,,00157.486160,D3_32,0.038
,,00157.488160,D3_33,0.061
,,00157.489440,D3_24,0.054
,,00157.489760,D3_41,0.022
,,00157.492480,D3_21,0.044
,,00157.493280,D3_41,0.02
,,00157.494960,D3_32,0.034
,,00157.496160,D3_33,0.034
,,00157.497520,D3_32,0.047
,,00157.497680,D3_24,0.055
,,00157.499760,D3_32,0.045
,,00157.502560,D3_41,0.022
,,00157.508240,D3_32,0.03
,,00157.508560,D3_33,0.036
,,00157.509120,D3_22,0.049
,,00157.516400,D3_24,0.052
,,00157.517440,D3_22,0.031
,,00157.527440,D3_41,0.016
,,00157.527440,D3_42,0.036
,,00157.527520,D3_32,0.039
,,00157.530880,D3_22,0.035
,,00157.537520,D3_41,0.016
,,00157.540240,D3_42,0.055
,,00157.540560,D3_22,0.038
,,00157.542480,D3_32,0.036
,,00157.568240,D3_33,0.058
,,00157.571680,D3_42,0.046
,,00157.594160,D3_33,0.04
,,00157.598880,D4_23,0.037
,,00157.599520,B2_31,0.058
,,00157.607120,B2_31,0.06
,,00157.608080,D3_42,0.033
,,00157.610160,B6_23,0.064
,,00157.622800,D3_22,0.035
,,00157.637680,A1_43,0.063
,,00157.667280,B2_32,0.027
,,00157.668960,D3_42,0.035
,,00157.688800,A2_44,0.056
,,00157.716400,D3_41,0.015
,,00157.797040,D3_24,0.031
,,00157.817520,B6_41,0.025
,,00157.838400,A2_44,0.066
,,00157.853120,D3_24,0.047
,,00157.859840,B3_44,0.064
,,00157.895840,D3_24,0.035
,,00157.936880,D3_24,0.046
,,00157.965200,B3_32,0.069
,,00157.966560,B6_23,0.053
,,00157.968320,B3_42,0.068
,,00157.969360,B3_22,0.131
,,00157.972800,B3_32,0.04
,,00157.973280,B3_22,0.13
,,00157.979600,B3_22,0.033
,,00157.984080,B3_42,0.042
,,00157.986640,B3_22,0.048
,,00157.991200,B3_32,0.06
,,00158.048720,A2_44,0.055
,,00158.112080,B6_41,0.017
,,00158.135920,B3_22,0.171
,,00158.188640,B6_41,0.018
,,00158.208080,D3_22,0.035
,,00158.210320,B6_23,0.051
,,00158.279760,A2_44,0.055
,,00158.448800,A2_44,0.058
,,00158.532240,D3_42,0.038
,,00158.554320,B6_23,0.059
,,00158.570880,B6_23,0.05
,,00158.626880,A2_44,0.055
,,00158.631760,D4_23,0.036
,,00158.700080,B6_23,0.037
,,00158.898480,B3_44,0.064
,,00158.918640,B3_22,0.161
,,00158.933600,A2_44,0.051
,,00158.993680,B6_23,0.07
,,00159.021920,C3_22,0.276
,,00159.024240,C3_22,0.037
,,00159.055760,D4_23,0.036
,,00159.087440,D3_24,0.037
,,00159.096560,A2_44,0.055
,,00159.170080,D3_24,0.044
,,00159.185360,D3_42,0.05
,,00159.194480,B3_22,0.159
,,00159.202240,D3_24,0.035
,,00159.204000,B3_22,0.054
,,00159.222320,B6_21,0.034
,,00159.228640,B6_41,0.021
,,00159.237280,D3_24,0.03
,,00159.248080,B2_32,0.039
,,00159.258560,D3_24,0.045
,,00159.260400,B6_23,0.039
,,00159.262800,B6_23,0.054
,,00159.264160,A2_44,0.059
,,00159.267760,D4_23,0.042
,,00159.290560,B6_41,0.023
,,00159.295440,D3_24,0.041
,,00159.304800,D3_22,0.033
,,00159.327440,D3_24,0.053
,,00159.354080,B6_41,0.022
,,00159.358800,D3_24,0.046
,,00159.373280,A1_43,0.064
,,00159.395120,B3_32,0.054
,,00159.408720,B6_23,0.055
,,00159.418560,A2_44,0.062
,,00159.431200,D3_24,0.05
,,00159.442000,B6_41,0.018
,,00159.511120,B6_23,0.059
,,00159.533840,B3_22,0.157
,,00159.545840,A2_44,0.059
,,00159.550560,B6_41,0.013
,,00159.616720,B2_32,0.033
,,00159.646640,C3_22,0.288
,,00159.649040,C3_22,0.024
,,00159.656640,B2_31,0.057
,,00159.664880,B2_31,0.06
,,00159.678480,B2_31,0.044
,,00159.704880,A2_44,0.061
,,00159.855200,D4_23,0.039
,,00159.892800,D4_23,0.036
,,00159.913040,D4_23,0.035
,,00159.931040,A2_44,0.053
,,00159.937760,B6_23,0.061
,,00159.967360,A1_44,0.056
,,00159.968720,A1_43,0.16
,,00160.038320,A3_34,0.066
,,00160.052320,A1_43,0.047
,,00160.063520,A1_43,0.052
,,00160.086960,A2_44,0.065
,,00160.093040,A1_44,0.058
,,00160.100160,A1_41,0.017
,,00160.114560,A1_43,0.068
,,00160.123040,A1_44,0.052
,,00160.131200,A1_43,0.047
,,00160.205840,B3_22,0.172
,,00160.208240,A1_44,0.054
,,00160.212560,A2_44,0.051
,,00160.351040,C3_43,0.073
,,00160.351360,C3_12,0.129
,,00160.355280,C3_43,0.042
,,00160.359680,C3_43,0.119
,,00160.361360,C3_12,0.11
,,00160.362080,C3_43,0.052
,,00160.365680,C3_43,0.042
,,00160.367200,C3_24,0.326
,,00160.370080,C3_24,0.032
,,00160.375760,C3_24,0.042
,,00160.380800,C3_24,0.347
,,00160.383600,C3_24,0.029
,,00160.386640,C3_14,0.031
,,00160.388960,C3_24,0.317
,,00160.391600,C3_24,0.029
,,00160.403520,C3_24,0.306
,,00160.406320,C3_24,0.04
,,00160.419360,C3_12,0.111
,,00160.421920,C3_24,0.305
,,00160.424560,C3_24,0.064
,,00160.425280,C3_14,0.088
,,00160.436800,C3_13,0.028
,,00160.441120,C3_14,0.1
,,00160.450880,C3_12,0.11
,,00160.474080,B6_23,0.049
,,00160.491200,C3_24,0.323
,,00160.493760,C3_24,0.043
,,00160.499440,B6_23,0.049
,,00160.502080,C3_43,0.049
,,00160.502560,C3_24,0.266
,,00160.504160,C3_14,0.068
,,00160.505040,C3_24,0.03
,,00160.509440,C3_43,0.045
,,00160.512560,C3_43,0.282
,,00160.512800,C3_14,0.08
,,00160.515920,C3_14,0.257
,,00160.515920,C3_43,0.033
,,00160.517760,C3_12,0.156
,,00160.518560,C3_14,0.093
,,00160.520000,C3_12,0.057
,,00160.520160,C3_24,0.05
,,00160.522560,C3_14,0.088
,,00160.528320,C3_43,0.063
,,00160.528560,C3_14,0.1
,,00160.529120,C3_12,0.335
,,00160.531440,C3_43,0.081
,,00160.531680,C3_14,0.105
,,00160.532160,C3_22,0.308
,,00160.533120,C3_24,0.285
,,00160.534000,C3_12,0.061
,,00160.534640,C3_22,0.026
,,00160.535600,C3_24,0.029
,,00160.535840,C3_14,0.05
,,00160.536800,C3_13,0.053
,,00160.538000,C3_43,0.33
,,00160.539120,C3_24,0.047
,,00160.539360,C3_14,0.066
,,00160.540480,C3_12,0.243
,,00160.540480,C3_43,0.019
,,00160.542080,C3_14,0.09
,,00160.542160,C3_24,0.121
,,00160.544160,C3_12,0.051
,,00160.544160,C3_43,0.037
,,00160.544400,C3_24,0.029
,,00160.545280,C3_14,0.042
,,00160.547520,C3_22,0.281
,,00160.548080,C3_14,0.056
,,00160.549520,C3_43,0.237
,,00160.549760,D2_42,0.031
,,00160.549920,C3_22,0.022
,,00160.550400,C3_14,0.04
,,00160.551440,C3_13,0.048
,,00160.552480,C3_24,0.03
,,00160.553120,C3_43,0.059
,,00160.553440,C3_14,0.109
,,00160.556240,C3_14,0.028
,,00160.559280,D2_34,0.074
,,00160.559360,C3_24,0.239
,,00160.559600,C3_22,0.246
,,00160.559760,C3_12,0.037
,,00160.561120,C3_14,0.079
,,00160.561920,C3_24,0.026
,,00160.562000,C3_22,0.021
,,00160.563680,C3_13,0.032
,,00160.563840,A2_44,0.057
,,00160.564320,C3_14,0.108
,,00160.568800,C3_24,0.045
,,00160.569680,C3_14,0.027
,,00160.580000,C3_14,0.054
,,00160.584160,C3_14,0.061
,,00160.584240,C3_24,0.263
,,00160.584640,C3_22,0.179
,,00160.586960,C3_24,0.027
,,00160.587200,C3_22,0.037
,,00160.590640,D2_21,0.076
,,00160.601200,C3_14,0.052
,,00160.604800,C3_14,0.072
,,00160.605600,C3_22,0.197
,,00160.608080,C3_22,0.028
,,00160.612320,D2_21,0.094
,,00160.620880,C3_14,0.044
,,00160.622160,C3_24,0.255
,,00160.623840,C3_22,0.187
,,00160.624720,C3_24,0.028
,,00160.626400,C3_13,0.037
,,00160.626400,C3_22,0.026
,,00160.627600,C3_14,0.126
,,00160.630880,C3_14,0.025
,,00160.633360,C3_43,0.045
,,00160.635520,C3_14,0.082
,,00160.639280,D1_42,0.041
,,00160.642400,C3_14,0.059
,,00160.656640,D2_21,0.068
,,00160.669280,C3_14,0.054
,,00160.676080,D2_34,0.073
,,00160.700640,C3_14,0.049
,,00160.722640,C3_14,0.054
,,00160.775040,A2_44,0.056
,,00160.800480,B3_44,0.06
,,00160.840000,A1_43,0.07
,,00160.867760,B2_32,0.037
,,00160.869360,C3_22,0.158
,,00160.870880,B3_32,0.056
,,00160.871920,C3_22,0.043
,,00160.873360,B3_22,0.148
,,00160.877280,C3_14,0.059
,,00160.881440,B3_32,0.043
,,00160.882880,B3_22,0.038
,,00160.885680,B3_42,0.061
,,00160.887120,B3_22,0.102
,,00160.891440,B3_42,0.052
,,00160.893920,B3_22,0.143
,,00160.896880,B3_22,0.042
,,00160.901040,B3_22,0.086
,,00160.907920,C3_14,0.047
,,00160.913040,B3_22,0.031
,,00160.916880,B3_32,0.063
,,00160.935600,B3_32,0.041
,,00160.938240,A2_44,0.054
,,00160.938240,C3_14,0.046
,,00160.939040,D2_34,0.07
,,00160.981680,D4_23,0.039
,,00160.983520,C3_22,0.155
,,00160.986000,C3_22,0.023
,,00160.989200,C3_14,0.042
,,00160.989760,C3_12,0.048
,,00161.034400,D4_23,0.042
,,00161.058560,C3_13,0.043
,,00161.069360,C3_22,0.088
,,00161.072560,C3_22,0.033
,,00161.081840,C3_43,0.104
,,00161.085760,C3_43,0.035
,,00161.096800,C3_43,0.084
,,00161.097520,C3_24,0.059
,,00161.101520,C3_43,0.04
,,00161.105920,C3_24,0.049
,,00161.116800,C3_24,0.066
,,00161.140080,C3_24,0.326
,,00161.140960,C3_12,0.137
,,00161.142640,C3_24,0.028
,,00161.144640,C3_12,0.036
,,00161.152800,A2_44,0.062
,,00161.160320,C3_12,0.103
,,00161.163280,C3_43,0.079
,,00161.163600,C3_24,0.059
,,00161.164880,C3_12,0.038
,,00161.167440,C3_24,0.036
,,00161.169600,C3_43,0.089
,,00161.177360,C3_24,0.275
,,00161.179760,C3_43,0.072
,,00161.180000,C3_24,0.051
,,00161.182480,C3_43,0.081
,,00161.183680,C3_24,0.027
,,00161.186000,C3_22,0.172
,,00161.186880,C3_43,0.044
,,00161.188400,C3_22,0.027
,,00161.198880,C3_24,0.054
,,00161.201520,C3_24,0.264
,,00161.203120,C3_12,0.055
,,00161.204160,C3_24,0.034
,,00161.232320,C3_24,0.276
,,00161.234880,C3_24,0.031
,,00161.237920,C3_22,0.131
,,00161.238640,C3_12,0.099
,,00161.240320,C3_22,0.034
,,00161.268720,C3_22,0.081
,,00161.272080,C3_22,0.034
,,00161.289600,A2_44,0.052
,,00161.294880,C3_24,0.268
,,00161.297520,C3_24,0.034
,,00161.297600,C3_12,0.03
,,00161.335840,B5_22,0.043
,,00161.336400,C3_24,0.263
,,00161.339120,C3_24,0.04
,,00161.382400,B6_23,0.063
,,00161.402240,C3_24,0.236
,,00161.404800,C3_24,0.037
,,00161.421200,C3_22,0.157
,,00161.423760,C3_22,0.025
,,00161.480320,C3_22,0.141
,,00161.482800,C3_22,0.021
,,00161.483520,C3_24,0.297
,,00161.485840,C3_24,0.037
,,00161.540400,C3_24,0.261
,,00161.543040,C3_24,0.028
,,00161.548080,A2_44,0.052
,,00161.581840,B3_22,0.165
,,00161.583600,B6_23,0.055
,,00161.592320,B2_32,0.029
,,00161.594320,B6_23,0.046
,,00161.612080,C3_24,0.222
,,00161.614720,C3_24,0.025
,,00161.660880,A2_44,0.051
,,00161.686640,C3_22,0.158
,,00161.689280,C3_22,0.024
,,00161.702160,C3_13,0.045
,,00161.724880,C3_43,0.108
,,00161.730000,C3_43,0.206
,,00161.731680,C3_24,0.268
,,00161.733600,C3_43,0.031
,,00161.734400,C3_24,0.029
,,00161.734640,C3_12,0.121
,,00161.736160,C3_43,0.067
,,00161.737280,C3_24,0.061
,,00161.737520,C3_12,0.034
,,00161.738480,C3_43,0.19
,,00161.742320,C3_43,0.022
,,00161.748000,C3_24,0.055
,,00161.748320,C3_43,0.161
,,00161.751280,C3_43,0.066
,,00161.756160,C3_43,0.058
,,00161.759040,C3_12,0.1
,,00161.760320,C3_24,0.227
,,00161.760560,C3_43,0.037
,,00161.762720,C3_12,0.041
,,00161.762960,C3_24,0.042
,,00161.763360,C3_11,0.04
,,00161.767840,C3_24,0.032
,,00161.770240,C3_43,0.173
,,00161.773520,C3_43,0.063
,,00161.776080,C3_12,0.064
,,00161.783280,C3_43,0.086
,,00161.786080,C3_43,0.091
,,00161.787360,C3_24,0.237
,,00161.788800,C3_14,0.041
,,00161.790000,C3_24,0.031
,,00161.790480,C3_43,0.048
,,00161.791600,A2_44,0.058
,,00161.793680,C3_43,0.065
,,00161.797360,C3_43,0.051
,,00161.798960,C3_14,0.101
,,00161.799360,C3_12,0.047
,,00161.803200,C3_14,0.026
,,00161.804240,C3_12,0.073
,,00161.805120,C3_24,0.231
,,00161.807840,C3_24,0.053
,,00161.808880,C3_22,0.093
,,00161.811760,C3_22,0.018
,,00161.823760,C3_11,0.039
,,00161.826880,C3_14,0.081
,,00161.828480,C3_43,0.148
,,00161.832640,C3_43,0.04
,,00161.833360,C3_24,0.171
,,00161.835840,C3_24,0.037
,,00161.838320,C3_14,0.061
,,00161.844720,C3_22,0.084
,,00161.847360,C3_22,0.025
,,00161.849600,C3_24,0.195
,,00161.852080,C3_24,0.044
,,00161.857200,C3_43,0.056
,,00161.862480,C3_11,0.042
,,00161.868960,C3_12,0.069
,,00161.869040,C3_22,0.157
,,00161.883120,C3_14,0.071
,,00161.884560,C3_24,0.183
,,00161.887040,C3_24,0.026
,,00161.896960,C3_12,0.07
,,00161.902800,B3_22,0.161
,,00161.913360,C3_24,0.205
,,00161.915840,C3_24,0.025
,,00161.932400,C3_12,0.051
,,00161.934640,C3_12,0.04
,,00161.941760,C3_24,0.21
,,00161.944320,C3_24,0.032
,,00161.948240,C3_14,0.058
,,00161.948800,C3_24,0.034
,,00161.955120,C3_12,0.066
,,00161.955520,C3_11,0.036
,,00161.961920,C3_24,0.13
,,00161.964400,C3_24,0.029
,,00161.976560,C3_22,0.157
,,00161.989120,D3_22,0.047
,,00161.992320,C3_12,0.045
,,00161.998880,C3_24,0.221
,,00162.000480,C3_12,0.046
,,00162.001520,C3_24,0.03
,,00162.006640,B3_44,0.065
,,00162.012640,C3_12,0.31
,,00162.013760,C3_14,0.051
,,00162.016000,C3_12,0.033
,,00162.020080,C3_12,0.063
,,00162.020320,A2_44,0.049
,,00162.020720,C3_43,0.241
,,00162.023360,C3_43,0.038
,,00162.024240,C3_14,0.072
,,00162.027040,C3_14,0.096
,,00162.027840,C3_43,0.078
,,00162.029280,C3_14,0.062
,,00162.029520,C3_24,0.162
,,00162.031680,C3_14,0.059
,,00162.032080,C3_24,0.024
,,00162.034400,C3_14,0.085
,,00162.034880,C3_43,0.179
,,00162.035600,C3_12,0.262
,,00162.037920,C3_43,0.028
,,00162.038560,C3_14,0.047
,,00162.038720,C3_12,0.045
,,00162.041120,C3_14,0.071
,,00162.041440,C3_43,0.037
,,00162.042320,C3_22,0.181
,,00162.044000,C3_14,0.089
,,00162.044880,C3_22,0.033
,,00162.047440,C3_43,0.085
,,00162.048400,C3_14,0.041
,,00162.050320,C3_43,0.032
,,00162.051600,C3_12,0.227
,,00162.051760,C3_14,0.109
,,00162.053280,C3_24,0.147
,,00162.054400,C3_43,0.037
,,00162.054800,C3_12,0.025
,,00162.054880,C3_14,0.04
,,00162.055680,C3_24,0.02
,,00162.064400,C3_43,0.04
,,00162.065680,A5_13,0.066
,,00162.067280,C3_43,0.115
,,00162.067600,C3_14,0.085
,,00162.067760,C3_12,0.209
,,00162.069520,C3_43,0.071
,,00162.069840,C3_14,0.054
,,00162.071520,C3_12,0.048
,,00162.073520,C3_14,0.037
,,00162.074640,B2_32,0.033
,,00162.075040,C3_24,0.096
,,00162.077600,C3_24,0.024
,,00162.078000,C3_14,0.033
,,00162.080640,C3_14,0.047
,,00162.080960,C3_12,0.041
,,00162.085040,C3_43,0.084
,,00162.086160,C3_12,0.187
,,00162.087840,C3_43,0.042
,,00162.088480,C3_12,0.088
,,00162.088480,C3_14,0.056
,,00162.091200,C3_14,0.05
,,00162.094800,C3_24,0.122
,,00162.095120,C3_43,0.062
,,00162.096640,A5_13,0.064
,,00162.100080,C3_43,0.097
,,00162.103040,C3_14,0.051
,,00162.103440,C3_43,0.038
,,00162.105200,A5_13,0.029
,,00162.105280,C3_12,0.19
,,00162.107760,C3_24,0.053
,,00162.107840,C3_14,0.061
,,00162.109280,C3_12,0.118
,,00162.113760,C3_14,0.033
,,00162.117040,C3_43,0.114
,,00162.117600,C3_14,0.054
,,00162.120000,C3_43,0.045
,,00162.120160,C3_14,0.054
,,00162.124400,C3_14,0.04
,,00162.131280,B2_31,0.063
,,00162.136640,C3_12,0.14
,,00162.140000,C3_14,0.086
,,00162.141440,C3_12,0.03
,,00162.142240,C3_14,0.063
,,00162.145040,B2_31,0.062
,,00162.146240,B6_23,0.048
,,00162.148160,C3_24,0.082
,,00162.150720,C3_24,0.024
,,00162.155440,C3_14,0.073
,,00162.157920,B6_23,0.044
,,00162.159600,C3_14,0.051
,,00162.163040,C3_12,0.172
,,00162.166880,C3_12,0.029
,,00162.167920,C3_43,0.084
,,00162.169200,C3_24,0.118
,,00162.170240,C3_14,0.098
,,00162.171760,C3_43,0.028
,,00162.172000,C3_24,0.035
,,00162.174640,C3_41,0.012
,,00162.188240,C3_14,0.068
,,00162.192320,C3_12,0.107
,,00162.205200,C3_24,0.151
,,00162.207600,C3_12,0.168
,,00162.207680,C3_24,0.023
,,00162.211760,C3_12,0.025
,,00162.215280,A2_44,0.054
,,00162.215920,C3_12,0.085
,,00162.220640,C3_12,0.044
,,00162.245360,C3_12,0.191
,,00162.245440,C3_14,0.046
,,00162.261040,C3_14,0.054
,,00162.266080,C3_14,0.058
,,00162.281680,C3_12,0.178
,,00162.286960,C3_14,0.025
,,00162.304640,C3_14,0.037
,,00162.319280,C3_14,0.034
,,00162.346720,C3_22,0.149
,,00162.350400,C3_14,0.034
,,00162.358720,A2_44,0.063
,,00162.366880,A6_23,0.041
,,00162.372240,C3_12,0.094
,,00162.376080,C3_12,0.055
,,00162.416640,A6_23,0.057
,,00162.418560,A6_13,0.038
,,00162.422400,A6_24,0.044
,,00162.439440,A6_13,0.027
,,00162.466720,A6_24,0.036
,,00162.468240,A6_23,0.037
,,00162.487200,C3_22,0.135
,,00162.511040,A6_24,0.036
,,00162.568000,A6_24,0.036
,,00162.614880,B3_42,0.038
,,00162.618400,A6_24,0.043
,,00162.624160,B6_23,0.062
,,00162.636480,A2_44,0.066
,,00162.672960,C3_22,0.119
,,00162.763280,A2_44,0.05
,,00162.996640,C3_43,0.053
,,00163.005120,A2_44,0.056
,,00163.074880,B3_22,0.165
,,00163.128080,D3_24,0.042
,,00163.162000,C3_43,0.052
,,00163.167360,A2_44,0.054
,,00163.196720,C3_43,0.055
,,00163.220960,B6_23,0.061
,,00163.269440,C3_43,0.044
,,00163.322640,A2_44,0.055
,,00163.389040,C3_43,0.05
,,00163.431680,D2_21,0.057
,,00163.434320,C3_12,0.122
,,00163.439440,C3_13,0.045
,,00163.442160,D2_34,0.114
,,00163.458880,D2_34,0.074
,,00163.461120,A2_44,0.064
,,00163.482960,C3_43,0.054
,,00163.492080,A1_43,0.065
,,00163.496000,D2_21,0.036
,,00163.507440,C3_12,0.106
,,00163.517600,A1_44,0.045
,,00163.527040,A1_44,0.056
,,00163.543840,C3_43,0.058
,,00163.586800,C3_22,0.217
,,00163.589120,C3_22,0.021
,,00163.624800,B6_23,0.054
,,00163.633200,A2_44,0.06
,,00163.635360,D3_42,0.042
,,00163.674880,B3_22,0.161
,,00163.677840,D3_24,0.039
,,00163.680880,B3_44,0.066
,,00163.698880,D3_42,0.051
,,00163.723680,D3_24,0.048
,,00163.738720,D3_24,0.043
,,00163.810240,C3_43,0.053
,,00163.854800,A2_44,0.06
,,00163.917840,B3_32,0.049
,,00163.924400,B3_32,0.049
,,00163.930720,B3_22,0.068
,,00163.937520,B3_22,0.092
,,00163.942320,B3_42,0.072
,,00163.963120,B2_32,0.031
,,00163.976720,D1_11,0.026
,,00164.004000,D1_42,0.035
,,00164.007440,C3_43,0.043
,,00164.074720,A2_44,0.061
