Investigator,Lena and Yossi,Time (s),Electrode,Amplitude (mV)
,,00003.881520,C3_12,0.144
,,00003.885920,C3_24,0.315
,,00003.888400,C3_24,0.026
,,00003.908160,B6_23,0.032
,,00003.912960,B6_23,0.058
,,00003.915760,C3_12,0.127
,,00003.920800,C3_12,0.077
,,00003.920880,C3_24,0.324
,,00003.923440,C3_24,0.024
,,00003.926400,C3_43,0.054
,,00003.926640,C3_24,0.023
,,00003.928000,B6_21,0.042
,,00003.929600,C3_43,0.056
,,00003.932160,C3_43,0.079
,,00003.935040,C3_43,0.353
,,00003.937600,C3_12,0.111
,,00003.938320,C3_43,0.024
,,00003.938560,C3_24,0.309
,,00003.941520,C3_24,0.037
,,00003.942320,B6_41,0.025
,,00003.943920,C3_14,0.1
,,00003.950560,C3_14,0.102
,,00003.959440,B6_41,0.022
,,00003.960000,A2_44,0.057
,,00003.961360,C3_14,0.08
,,00003.968320,B6_21,0.031
,,00003.972880,B2_32,0.041
,,00003.987760,B6_23,0.056
,,00004.010640,B2_32,0.034
,,00004.017520,B6_43,0.043
,,00004.021120,B6_23,0.055
,,00004.024800,B6_21,0.034
,,00004.043680,C3_22,0.274
,,00004.046160,C3_22,0.026
,,00004.056800,B2_32,0.039
,,00004.066080,B6_41,0.016
,,00004.117120,B6_23,0.052
,,00004.141760,A1_43,0.055
,,00004.244320,A2_44,0.057
,,00004.258560,B6_41,0.022
,,00004.270240,C3_22,0.256
,,00004.272560,C3_22,0.033
,,00004.273920,B2_32,0.034
,,00004.309680,B6_23,0.056
,,00004.325520,B2_32,0.031
,,00004.343920,B2_31,0.063
,,00004.351280,B2_22,0.034
,,00004.356640,B2_31,0.052
,,00004.360480,B2_34,0.052
,,00004.363440,B2_32,0.04
,,00004.368880,B2_31,0.053
,,00004.371120,B2_32,0.033
,,00004.384480,B2_31,0.048
,,00004.390240,B2_32,0.03
,,00004.439200,B2_32,0.036
,,00004.466800,D3_43,0.034
,,00004.564800,A2_44,0.06
,,00004.565200,A4_41,0.014
,,00004.585440,B2_32,0.032
,,00004.640960,C3_13,0.043
,,00004.839120,A1_43,0.053
,,00004.859680,D6_33,0.045
,,00005.094320,A5_13,0.065
,,00005.120560,A5_43,0.026
,,00005.124480,A5_13,0.078
,,00005.129200,D3_32,0.031
,,00005.135600,D3_24,0.055
,,00005.137040,A5_12,0.032
,,00005.139200,A5_13,0.056
,,00005.165120,A5_13,0.065
,,00005.165920,A5_43,0.038
,,00005.217840,A5_24,0.086
,,00005.221520,A5_13,0.059
,,00005.260800,D1_42,0.044
,,00005.274400,D1_42,0.032
,,00005.281040,D1_22,0.033
,,00005.291440,D1_22,0.036
,,00005.361600,B6_23,0.063
,,00005.391840,D1_42,0.036
,,00005.470080,C1_11,0.038
,,00005.475520,A1_31,0.034
,,00005.534080,C1_24,0.03
,,00005.553840,C1_43,0.04
,,00005.562800,C1_24,0.036
,,00005.573840,C1_43,0.036
,,00005.576400,B2_32,0.033
,,00005.596560,C1_24,0.033
,,00005.602720,C1_22,0.032
,,00005.617280,C1_11,0.037
,,00005.622080,C1_23,0.032
,,00005.622640,C1_42,0.041
,,00005.633760,C1_11,0.044
,,00005.643440,C1_23,0.028
,,00005.646080,C1_22,0.039
,,00005.648480,C1_31,0.037
,,00005.653440,C1_42,0.026
,,00005.698400,C3_13,0.051
,,00005.812720,A2_44,0.054
,,00005.957520,B6_23,0.057
