Investigator,Or,Time (s),Electrode,Amplitude (mV)
,,00316.287280,A3_31,0.029
,,00316.289680,B5_24,0.071
,,00316.316320,B1_23,0.051
,,00316.318240,B4_23,0.051
,,00316.318400,A3_31,0.071
,,00316.321280,A3_31,0.019
,,00316.325600,B4_23,0.032
,,00316.327040,C1_31,0.035
,,00316.337600,A1_24,0.03
,,00316.351200,B1_23,0.089
,,00316.363760,C1_22,0.082
,,00316.387360,C1_11,0.019
,,00316.410160,A3_24,0.065
,,00316.419680,A4_33,0.018
,,00316.448240,A1_24,0.034
,,00316.450720,A1_24,0.032
,,00316.458160,B1_23,0.051
,,00316.510160,C1_31,0.035
,,00316.532560,B5_24,0.069
,,00316.542800,B5_24,0.06
,,00316.551040,B2_21,0.041
,,00316.552960,A3_31,0.076
,,00316.603200,B1_23,0.028
,,00316.608640,B1_23,0.054
,,00316.618560,B1_23,0.083
,,00316.628480,B5_42,0.04
,,00316.649760,B1_23,0.058
,,00316.680960,B4_24,0.045
,,00316.724720,B1_23,0.051
,,00316.730480,C1_31,0.039
,,00316.736880,A1_12,0.028
,,00316.750160,A3_24,0.062
,,00316.761600,A3_31,0.063
,,00316.791520,A3_24,0.047
,,00316.842480,B5_42,0.174
,,00316.843760,B1_23,0.051
,,00316.845520,B5_42,0.017
,,00316.849840,A2_14,0.019
,,00316.850800,C1_31,0.033
,,00316.855360,B5_24,0.035
,,00316.856720,A3_41,0.019
,,00316.857280,A3_24,0.047
,,00316.883840,B2_21,0.035
,,00316.885600,A3_31,0.028
,,00316.890240,A3_42,0.028
,,00316.890720,B1_23,0.085
,,00316.896640,B5_24,0.03
,,00316.902160,A3_41,0.026
,,00316.905440,A3_41,0.014
,,00316.906640,A3_24,0.035
,,00316.908720,A3_42,0.021
,,00316.914560,A1_24,0.03
,,00316.919520,B1_23,0.063
,,00316.920160,A3_31,0.03
,,00316.929360,A3_41,0.021
,,00316.940160,A3_24,0.035
,,00316.958240,A3_31,0.028
,,00316.968960,A3_41,0.032
,,00316.971200,A3_41,0.019
,,00316.971840,A3_31,0.034
,,00316.974400,A3_31,0.025
,,00316.976480,A3_24,0.049
,,00316.976640,A3_31,0.04
,,00316.977760,A3_21,0.037
,,00316.979680,A3_42,0.043
,,00316.980000,A3_24,0.074
,,00316.980240,A3_31,0.019
,,00316.981280,A3_41,0.034
,,00316.982240,A3_42,0.074
,,00316.983200,A3_24,0.034
,,00316.983600,A3_41,0.027
,,00316.986240,A3_41,0.025
,,00316.998480,A3_42,0.028
,,00317.005760,A3_31,0.043
,,00317.010400,A3_31,0.024
,,00317.016640,B5_31,0.098
,,00317.019280,B5_31,0.018
,,00317.022640,A3_41,0.023
,,00317.025120,A3_24,0.051
,,00317.032560,C1_31,0.037
,,00317.034880,A3_21,0.034
,,00317.064560,A3_31,0.026
,,00317.067040,A3_41,0.024
,,00317.068320,A3_31,0.052
,,00317.069680,A3_41,0.039
,,00317.070480,A3_24,0.043
,,00317.070480,A3_42,0.034
,,00317.071280,A3_31,0.042
,,00317.071920,A3_41,0.025
,,00317.072960,A3_24,0.05
,,00317.074000,A3_42,0.053
,,00317.074160,A3_41,0.038
,,00317.074800,A3_31,0.036
,,00317.076160,A3_24,0.036
,,00317.076800,A3_41,0.026
,,00317.077600,A3_42,0.031
,,00317.077760,A3_31,0.053
,,00317.079520,A3_24,0.066
,,00317.079840,A3_14,0.023
,,00317.081920,A3_24,0.026
,,00317.086560,A3_24,0.054
,,00317.088640,A3_31,0.041
,,00317.089760,A3_41,0.023
,,00317.095840,B5_24,0.025
,,00317.097920,A3_24,0.045
,,00317.104400,A3_21,0.04
,,00317.119840,C1_21,0.028
,,00317.130400,B4_11,0.023
,,00317.135440,B2_31,0.046
,,00317.143360,B2_31,0.034
,,00317.148960,B5_24,0.073
,,00317.149680,C1_31,0.03
,,00317.158560,B5_33,0.05
,,00317.161120,B2_21,0.046
,,00317.162240,B1_23,0.048
,,00317.163760,B5_33,0.043
,,00317.164080,B2_31,0.035
,,00317.173280,B5_33,0.04
,,00317.180480,B5_33,0.032
,,00317.189040,B1_23,0.06
,,00317.189520,B5_42,0.074
,,00317.189600,B5_32,0.041
,,00317.190320,B5_22,0.024
,,00317.190400,B2_24,0.036
,,00317.192160,B5_32,0.069
,,00317.195760,B5_32,0.024
,,00317.198400,A1_23,0.061
,,00317.201040,A1_23,0.017
,,00317.206160,B2_24,0.066
,,00317.211280,B1_23,0.083
,,00317.215120,B1_23,0.026
,,00317.217440,B1_23,0.047
,,00317.284960,A1_13,0.055
,,00317.289280,C1_22,0.097
,,00317.292320,C1_22,0.014
,,00317.303840,C1_31,0.032
,,00317.340000,B2_21,0.038
,,00317.352400,C1_22,0.085
,,00317.397280,B2_21,0.047
,,00317.413360,B1_13,0.031
,,00317.420080,A1_24,0.036
,,00317.423280,A1_12,0.024
,,00317.432000,B1_23,0.091
,,00317.435120,B1_23,0.017
,,00317.438000,C1_31,0.029
,,00317.446720,A3_24,0.071
,,00317.452720,B5_24,0.079
,,00317.468160,B1_23,0.058
,,00317.484720,B4_23,0.033
,,00317.497600,B2_21,0.022
,,00317.498080,A3_31,0.023
,,00317.514400,C1_22,0.08
,,00317.517280,C1_22,0.018
,,00317.526960,B1_13,0.023
,,00317.531200,B1_13,0.117
,,00317.533760,B1_13,0.07
,,00317.536400,B1_13,0.157
,,00317.539440,B1_13,0.071
,,00317.540080,B1_23,0.071
,,00317.542240,B1_13,0.039
,,00317.542320,B1_23,0.06
,,00317.542960,B5_42,0.028
,,00317.543760,B1_11,0.044
,,00317.553840,B1_23,0.081
,,00317.570960,C1_31,0.032
,,00317.589440,A3_31,0.056
,,00317.596000,B5_33,0.025
,,00317.599600,B4_24,0.052
,,00317.675360,C1_31,0.031
,,00317.676000,A3_24,0.058
,,00317.694080,B1_23,0.03
,,00317.703920,B2_24,0.031
,,00317.724240,A1_24,0.04
,,00317.734880,A3_24,0.055
,,00317.768480,A1_12,0.028
,,00317.788560,B5_24,0.068
,,00317.795360,C1_21,0.031
,,00317.802480,B5_31,0.109
,,00317.805040,B5_31,0.015
,,00317.809760,B1_23,0.052
,,00317.849040,C1_31,0.031
,,00317.853280,B2_21,0.033
,,00317.895280,B1_23,0.041
,,00317.904480,A1_23,0.108
,,00317.910880,A3_31,0.053
,,00317.921440,C1_31,0.031
,,00317.978720,A1_24,0.029
,,00318.039280,B1_23,0.056
,,00318.079040,B5_24,0.07
,,00318.085360,A3_24,0.067
,,00318.085840,B4_23,0.027
,,00318.089520,C1_31,0.029
,,00318.103040,B2_21,0.044
,,00318.123120,B5_24,0.061
,,00318.126880,B1_23,0.084
,,00318.129440,B5_42,0.032
,,00318.134640,B2_24,0.028
,,00318.139040,A1_24,0.029
,,00318.141440,B1_23,0.067
,,00318.141600,B5_31,0.1
,,00318.151840,B5_31,0.051
,,00318.166880,A1_13,0.056
,,00318.178560,A3_31,0.052
,,00318.220960,C1_31,0.029
,,00318.231360,B2_21,0.038
,,00318.250800,B2_24,0.042
,,00318.259040,B1_23,0.05
,,00318.313200,A3_31,0.026
,,00318.326640,B1_23,0.077
,,00318.348400,A3_24,0.064
,,00318.390320,B1_23,0.047
,,00318.392480,C1_31,0.034
,,00318.400720,C2_13,0.033
,,00318.401440,A3_24,0.053
,,00318.403360,C2_13,0.023
,,00318.405440,C2_22,0.031
,,00318.425200,A3_31,0.051
,,00318.446400,B1_23,0.048
,,00318.446560,A3_42,0.024
,,00318.470720,C1_22,0.104
,,00318.499440,B5_22,0.049
,,00318.504240,B2_24,0.126
,,00318.523600,B5_24,0.064
,,00318.526400,A1_12,0.025
,,00318.549040,B1_23,0.088
,,00318.550880,C1_31,0.034
,,00318.552640,B1_23,0.021
,,00318.564080,A1_24,0.027
,,00318.584800,B2_21,0.035
,,00318.588800,B2_24,0.031
,,00318.617840,B5_42,0.028
,,00318.628880,B5_31,0.104
,,00318.631600,B5_31,0.018
,,00318.644160,B1_23,0.053
,,00318.666560,B1_23,0.044
,,00318.680800,A1_23,0.064
,,00318.697760,A1_12,0.022
,,00318.714880,B1_23,0.058
,,00318.715760,B2_31,0.041
,,00318.721520,A3_31,0.028
,,00318.725920,C1_31,0.03
,,00318.729200,A3_31,0.023
,,00318.732720,B1_23,0.063
,,00318.744160,B2_31,0.029
,,00318.777120,B2_31,0.046
,,00318.779520,A3_24,0.059
,,00318.782000,A3_31,0.052
,,00318.785120,B2_31,0.042
,,00318.789120,B5_24,0.029
,,00318.805040,A2_24,0.029
,,00318.806720,B2_31,0.045
,,00318.825760,B2_31,0.046
,,00318.838960,C1_22,0.098
,,00318.849440,B2_21,0.05
,,00318.858880,B2_21,0.037
,,00318.861440,B2_21,0.045
,,00318.865200,C1_31,0.04
,,00318.907120,B1_23,0.05
,,00318.908240,B4_24,0.051
,,00318.911200,B5_42,0.194
,,00318.914400,B5_42,0.015
,,00318.932000,B1_23,0.087
,,00318.940560,A2_32,0.029
,,00318.960400,A4_33,0.028
,,00319.035840,A3_31,0.052
,,00319.047040,B1_23,0.054
,,00319.050640,B1_13,0.034
,,00319.058800,C1_31,0.036
,,00319.064240,B1_23,0.05
,,00319.069360,B1_23,0.059
,,00319.078080,B1_23,0.082
,,00319.082960,A1_24,0.04
,,00319.098160,B2_21,0.042
,,00319.101680,B5_24,0.07
,,00319.101760,B2_21,0.018
,,00319.110640,A1_23,0.085
,,00319.135600,A3_24,0.056
,,00319.138240,A3_24,0.025
,,00319.151840,C1_21,0.031
,,00319.164000,A3_24,0.051
,,00319.176800,C1_31,0.037
,,00319.214960,A1_12,0.026
,,00319.239360,A3_24,0.038
,,00319.260080,B5_31,0.1
,,00319.262640,B5_31,0.018
,,00319.266240,B1_23,0.048
,,00319.281520,B1_13,0.034
,,00319.282720,C1_22,0.096
,,00319.298800,A3_24,0.047
,,00319.308400,C1_31,0.03
,,00319.325600,A3_31,0.024
,,00319.336960,B5_42,0.071
,,00319.337520,B5_32,0.027
,,00319.351120,B5_22,0.042
,,00319.361680,B5_42,0.062
,,00319.366000,B5_42,0.047
,,00319.366320,B5_24,0.045
,,00319.392320,A1_24,0.031
,,00319.399280,A1_23,0.022
,,00319.412720,B1_23,0.11
,,00319.415440,B1_23,0.014
,,00319.446480,C1_31,0.032
,,00319.454560,B2_21,0.038
,,00319.458320,B2_41,0.027
,,00319.464960,B1_23,0.083
,,00319.475840,B4_23,0.028
,,00319.487280,B4_23,0.049
,,00319.496480,B4_23,0.028
,,00319.510080,A3_31,0.051
,,00319.517600,A3_24,0.061
,,00319.518560,B5_24,0.072
,,00319.533600,B2_21,0.045
,,00319.536800,B5_24,0.062
,,00319.556560,C1_31,0.026
,,00319.574160,A3_24,0.047
,,00319.590240,A1_12,0.019
,,00319.597200,B5_42,0.033
,,00319.607680,B2_21,0.052
,,00319.610800,B2_21,0.016
,,00319.735440,B1_23,0.087
,,00319.736560,C1_31,0.034
,,00319.743360,B1_23,0.044
,,00319.777600,B1_23,0.063
,,00319.781120,B2_21,0.034
,,00319.786720,B5_24,0.076
,,00319.806000,B5_24,0.054
,,00319.838240,B2_31,0.052
,,00319.845680,B2_31,0.035
,,00319.879760,B5_31,0.101
,,00319.885040,A3_24,0.079
,,00319.889040,A3_24,0.035
,,00319.903920,A3_42,0.028
,,00319.905520,A3_31,0.058
,,00319.908000,A3_31,0.018
,,00319.925120,C1_31,0.033
,,00319.940720,B2_12,0.24
,,00319.943440,B2_12,0.021
,,00319.958400,B2_24,0.089
,,00319.960720,B2_24,0.021
,,00319.973600,A3_31,0.032
,,00319.990240,A3_24,0.066
,,00320.014160,C1_22,0.101
,,00320.021680,B1_23,0.048
,,00320.038160,B1_23,0.067
,,00320.044640,A3_24,0.051
,,00320.045440,B1_23,0.053
,,00320.075360,C1_31,0.032
,,00320.076800,A3_31,0.072
,,00320.079600,A3_41,0.029
,,00320.080080,A3_31,0.021
,,00320.094000,A3_42,0.043
,,00320.096320,B2_21,0.036
,,00320.096560,A3_42,0.04
,,00320.097600,A3_41,0.032
,,00320.098960,A3_42,0.025
,,00320.099840,A3_31,0.035
,,00320.100240,C1_11,0.024
,,00320.100480,A3_24,0.044
,,00320.102720,A3_41,0.014
,,00320.102960,A3_21,0.036
,,00320.102960,A3_24,0.032
,,00320.103600,A3_42,0.031
,,00320.105440,A3_24,0.038
,,00320.105680,A3_41,0.016
,,00320.140880,B2_24,0.039
,,00320.150640,A3_24,0.054
,,00320.167200,B5_24,0.067
,,00320.172880,B1_23,0.048
,,00320.177840,B5_24,0.053
,,00320.207040,C1_21,0.03
,,00320.211200,C1_31,0.037
,,00320.264960,C2_13,0.025
,,00320.278160,B2_41,0.024
,,00320.292400,B5_42,0.174
,,00320.295600,B5_42,0.015
,,00320.305120,B1_23,0.06
,,00320.309040,B1_23,0.014
,,00320.314000,A1_24,0.035
,,00320.346880,C1_31,0.03
,,00320.399040,B1_23,0.057
,,00320.405760,B2_21,0.037
,,00320.407600,B5_24,0.063
,,00320.442880,B1_23,0.051
,,00320.462160,C1_31,0.028
,,00320.463600,B4_24,0.046
,,00320.466400,A3_24,0.058
,,00320.528480,A1_12,0.027
,,00320.579760,B1_23,0.045
,,00320.583040,B5_24,0.073
,,00320.606640,C1_31,0.033
,,00320.608240,B4_23,0.026
,,00320.608240,B5_42,0.079
,,00320.614320,B2_21,0.028
,,00320.620320,A3_31,0.049
,,00320.632400,B1_23,0.084
,,00320.653200,B5_31,0.105
,,00320.655760,A3_24,0.058
,,00320.665120,B5_42,0.036
,,00320.687360,B1_23,0.051
,,00320.690640,A1_12,0.025
,,00320.692320,B1_23,0.067
,,00320.709280,B5_21,0.042
,,00320.724240,C1_31,0.035
,,00320.729280,B5_42,0.069
,,00320.733760,B2_12,0.032
,,00320.733840,A3_24,0.048
,,00320.735360,A1_24,0.027
,,00320.748000,B5_42,0.026
,,00320.749200,B2_31,0.053
,,00320.757680,B2_31,0.038
,,00320.793280,A3_24,0.047
,,00320.802480,B2_31,0.042
,,00320.814000,C1_21,0.029
,,00320.828480,B2_21,0.053
,,00320.850160,C1_31,0.03
,,00320.876880,B5_24,0.073
,,00320.891120,B5_24,0.057
,,00320.901760,A1_13,0.058
,,00320.943920,A3_24,0.043
,,00320.963200,C1_31,0.03
,,00320.993920,C1_22,0.099
,,00321.032320,A3_31,0.058
,,00321.042800,B1_23,0.068
,,00321.063520,B2_21,0.037
,,00321.083760,A3_24,0.047
,,00321.086880,A3_24,0.026
,,00321.089280,A3_42,0.023
,,00321.091040,B5_42,0.166
,,00321.094160,B5_42,0.018
,,00321.095920,C1_22,0.093
,,00321.097840,C1_31,0.034
,,00321.098800,A3_24,0.066
,,00321.103360,A3_24,0.041
,,00321.105840,A3_31,0.069
,,00321.106400,A3_24,0.058
,,00321.106880,A3_42,0.032
,,00321.108160,A3_31,0.02
,,00321.109040,A3_41,0.025
,,00321.110320,A3_24,0.038
,,00321.110400,B1_23,0.049
,,00321.112000,A3_41,0.021
,,00321.112240,A3_31,0.068
,,00321.114000,A3_24,0.067
,,00321.114080,A3_42,0.036
,,00321.116320,A3_24,0.029
,,00321.118000,A1_12,0.021
,,00321.120640,A3_42,0.032
,,00321.120720,B1_13,0.192
,,00321.123040,B1_13,0.023
,,00321.125120,A3_31,0.03
,,00321.127600,A3_42,0.051
,,00321.128800,A3_24,0.028
,,00321.129520,B5_31,0.099
,,00321.129840,A3_41,0.024
,,00321.132160,B5_31,0.018
,,00321.135840,A3_42,0.023
,,00321.143760,A3_24,0.055
,,00321.148240,A4_32,0.047
,,00321.153280,C1_31,0.031
,,00321.188320,A3_21,0.039
,,00321.210480,B1_23,0.083
,,00321.213520,B2_12,0.039
,,00321.214480,B2_21,0.027
,,00321.215280,B2_31,0.051
,,00321.216880,B2_12,0.03
,,00321.217040,B2_21,0.054
,,00321.219120,B2_12,0.077
,,00321.219440,B2_31,0.132
,,00321.220640,B2_21,0.044
,,00321.220800,B2_24,0.061
,,00321.221920,B2_12,0.028
,,00321.222160,B2_31,0.018
,,00321.224080,B2_24,0.054
,,00321.225200,B2_31,0.049
,,00321.227840,B2_24,0.057
,,00321.229040,B2_31,0.131
,,00321.229600,B2_21,0.025
,,00321.231440,B2_31,0.015
,,00321.233760,B2_31,0.031
,,00321.234320,B5_24,0.074
,,00321.239040,B2_31,0.048
,,00321.242400,B2_31,0.034
,,00321.246240,B5_24,0.054
,,00321.253040,B2_24,0.042
,,00321.255520,B2_24,0.131
,,00321.258480,B2_24,0.032
,,00321.267120,C1_22,0.091
,,00321.269440,B1_23,0.121
,,00321.272080,B1_23,0.014
,,00321.285600,B1_23,0.063
,,00321.288560,B1_23,0.05
,,00321.295760,C1_31,0.03
,,00321.300320,A3_24,0.059
,,00321.301520,B1_23,0.053
,,00321.304400,B1_23,0.052
,,00321.311440,A1_12,0.027
,,00321.321040,B1_23,0.038
,,00321.348480,B1_23,0.07
,,00321.351760,B1_23,0.019
,,00321.357280,B5_31,0.096
,,00321.366320,A4_33,0.044
,,00321.369200,B1_23,0.035
,,00321.371840,B1_23,0.018
,,00321.391200,B1_23,0.04
,,00321.394400,B1_23,0.014
,,00321.397520,B1_23,0.061
,,00321.401200,A3_24,0.054
,,00321.418320,B1_23,0.048
,,00321.422400,B1_23,0.062
,,00321.425600,B1_23,0.041
,,00321.445840,B1_23,0.082
,,00321.479200,A3_24,0.051
,,00321.482960,B1_23,0.059
,,00321.485920,B1_23,0.019
,,00321.494880,C1_31,0.028
,,00321.496720,A1_24,0.038
,,00321.570800,C1_21,0.028
,,00321.590960,B2_21,0.037
,,00321.593680,B2_21,0.018
,,00321.608160,B1_23,0.048
,,00321.622800,B5_24,0.073
,,00321.624720,C1_31,0.033
,,00321.632080,B1_23,0.03
,,00321.632160,A3_31,0.05
,,00321.637760,A3_31,0.03
,,00321.640080,B4_23,0.029
,,00321.647200,B1_23,0.061
,,00321.741520,C1_31,0.03
,,00321.778640,B5_24,0.07
,,00321.779520,A3_24,0.058
,,00321.785520,A1_24,0.052
,,00321.788000,C1_31,0.027
,,00321.788880,A1_24,0.038
,,00321.801760,B5_42,0.073
,,00321.814880,A1_23,0.065
,,00321.824240,A3_31,0.048
,,00321.834160,B2_21,0.027
,,00321.841120,B1_13,0.039
,,00321.897120,B1_23,0.087
,,00321.947600,C1_22,0.091
,,00321.954960,C1_31,0.033
,,00321.972480,B5_42,0.048
,,00322.000640,C1_31,0.03
,,00322.002800,B4_23,0.032
,,00322.006720,A3_31,0.046
,,00322.016240,B1_23,0.049
,,00322.022880,B2_21,0.039
,,00322.026880,B1_23,0.064
,,00322.054480,A2_14,0.019
,,00322.057440,B5_24,0.07
,,00322.110720,B5_42,0.029
,,00322.125520,A1_23,0.034
,,00322.157600,C1_31,0.027
,,00322.175280,B5_31,0.103
,,00322.177840,B5_31,0.016
,,00322.188400,A3_24,0.06
,,00322.190880,A1_24,0.03
,,00322.225040,A3_24,0.053
,,00322.229840,A3_31,0.068
,,00322.260000,B1_23,0.055
,,00322.264560,B1_23,0.096
,,00322.277040,A1_13,0.055
,,00322.296800,B5_24,0.073
,,00322.307520,A3_24,0.059
,,00322.310720,C1_31,0.031
,,00322.322720,B5_24,0.062
,,00322.328160,A3_31,0.047
,,00322.334640,B2_21,0.021
,,00322.335360,B5_24,0.047
,,00322.337040,B1_23,0.062
,,00322.418080,B5_42,0.198
,,00322.421440,B5_42,0.015
,,00322.455840,B2_31,0.046
,,00322.458320,C1_31,0.03
,,00322.464720,B2_21,0.045
,,00322.474560,B2_31,0.048
,,00322.477600,B2_41,0.023
,,00322.494560,B1_23,0.027
,,00322.503920,B2_31,0.046
,,00322.506240,B2_24,0.038
,,00322.512960,B2_31,0.031
,,00322.536880,B1_23,0.08
,,00322.540240,B1_23,0.016
,,00322.553120,B5_24,0.074
,,00322.554080,B1_23,0.053
,,00322.554800,A3_31,0.047
,,00322.595760,B1_23,0.069
,,00322.597440,B5_32,0.025
,,00322.599840,A1_24,0.032
,,00322.611120,B5_42,0.025
,,00322.616560,A3_24,0.062
,,00322.632960,C2_13,0.029
,,00322.640640,C2_21,0.017
,,00322.641280,C2_22,0.034
,,00322.645040,A1_23,0.084
,,00322.650080,B2_21,0.035
,,00322.656400,C2_34,0.048
,,00322.678240,A3_31,0.031
,,00322.701120,C2_34,0.043
,,00322.703600,C2_34,0.015
,,00322.708960,C2_22,0.114
,,00322.714160,A1_23,0.058
,,00322.732000,B1_23,0.046
,,00322.762160,B4_23,0.029
,,00322.768320,C1_31,0.03
,,00322.778560,A3_31,0.047
,,00322.797840,C1_31,0.033
,,00322.811440,C1_22,0.097
,,00322.813280,A3_24,0.061
,,00322.816400,C1_31,0.025
,,00322.820080,A3_31,0.029
,,00322.820640,B1_13,0.036
,,00322.829680,B1_23,0.086
,,00322.832880,B1_23,0.022
,,00322.850000,B1_23,0.047
,,00322.852960,B1_23,0.055
,,00322.854320,B5_24,0.074
,,00322.855520,A3_24,0.048
,,00322.865520,B4_23,0.055
,,00322.872880,B4_23,0.038
,,00322.920960,B1_23,0.063
,,00322.923200,B5_31,0.099
,,00322.925680,B5_31,0.019
,,00322.942800,B5_31,0.077
,,00322.946240,A3_24,0.077
,,00322.950160,A3_24,0.039
,,00322.978400,A3_42,0.027
,,00322.988720,C1_31,0.027
,,00322.990240,C1_22,0.089
,,00322.991040,B2_21,0.05
,,00323.023600,A1_23,0.096
,,00323.023920,B5_24,0.072
,,00323.043200,B1_13,0.036
,,00323.046480,B1_13,0.123
,,00323.048800,B1_13,0.197
,,00323.051040,B1_13,0.063
,,00323.053680,B1_23,0.07
,,00323.055520,B1_13,0.098
,,00323.056880,B1_23,0.039
,,00323.057440,B1_11,0.045
,,00323.059120,B1_23,0.025
,,00323.064160,A1_13,0.058
,,00323.064240,C1_11,0.021
,,00323.064800,B1_23,0.041
,,00323.097680,B5_42,0.198
,,00323.100960,B5_42,0.021
,,00323.101920,B2_21,0.037
,,00323.142640,A3_24,0.06
,,00323.154000,C1_31,0.032
,,00323.166800,A1_23,0.024
,,00323.169200,A1_24,0.031
,,00323.172800,B5_24,0.071
,,00323.198240,A3_24,0.049
,,00323.203760,C1_11,0.02
,,00323.204240,A3_31,0.05
,,00323.212320,A1_24,0.027
,,00323.277840,C1_31,0.035
,,00323.293600,B5_42,0.031
,,00323.318080,B2_41,0.022
,,00323.319360,B2_21,0.034
,,00323.323200,B2_31,0.034
,,00323.345440,B1_23,0.088
,,00323.374480,A1_23,0.055
,,00323.387840,A3_42,0.027
,,00323.399360,A3_24,0.067
,,00323.402800,A3_24,0.022
,,00323.405120,A3_24,0.032
,,00323.407760,B5_42,0.08
,,00323.407840,A3_24,0.04
,,00323.413120,A3_31,0.034
,,00323.414080,A3_24,0.035
,,00323.414160,A3_41,0.03
,,00323.414480,A3_42,0.029
,,00323.415680,A3_31,0.025
,,00323.416640,A3_24,0.028
,,00323.417440,A3_41,0.027
,,00323.418480,B2_21,0.046
,,00323.418720,A3_31,0.024
,,00323.419040,A3_42,0.035
,,00323.420160,A3_24,0.083
,,00323.423600,A3_31,0.034
,,00323.424320,A3_42,0.046
,,00323.433280,A2_14,0.018
,,00323.435760,A3_41,0.023
,,00323.435920,A3_42,0.037
,,00323.438080,A3_31,0.037
,,00323.440560,A3_31,0.026
,,00323.442000,A3_24,0.03
,,00323.444880,A3_41,0.022
,,00323.448560,A3_24,0.04
,,00323.450720,A3_42,0.029
,,00323.451360,B5_24,0.076
,,00323.458240,A3_21,0.039
,,00323.458800,A3_31,0.037
,,00323.462000,A3_24,0.04
,,00323.462160,A3_31,0.019
,,00323.463840,A3_42,0.039
,,00323.466800,A3_42,0.029
,,00323.470960,A3_41,0.026
,,00323.471600,A3_24,0.055
,,00323.472640,B5_24,0.066
,,00323.474960,A3_41,0.022
,,00323.476080,C1_31,0.028
,,00323.502000,B1_13,0.038
,,00323.506400,B1_23,0.046
,,00323.525680,B2_31,0.047
,,00323.527520,B1_23,0.049
,,00323.531920,B2_31,0.036
,,00323.553040,B2_31,0.041
,,00323.555600,A1_12,0.029
,,00323.566640,B4_31,0.046
,,00323.607360,B5_21,0.04
,,00323.615440,B5_22,0.05
,,00323.618320,B5_42,0.078
,,00323.624240,B2_21,0.031
,,00323.627280,B2_21,0.021
,,00323.638960,B2_31,0.043
,,00323.640320,B1_13,0.03
,,00323.652080,B2_31,0.036
,,00323.652960,B5_32,0.144
,,00323.653040,B5_42,0.075
,,00323.655600,B5_32,0.026
,,00323.656480,B5_33,0.026
,,00323.689600,C1_31,0.034
,,00323.748800,A1_24,0.019
,,00323.766720,B4_23,0.032
,,00323.772880,B1_23,0.09
,,00323.773040,A3_31,0.056
,,00323.793200,B1_23,0.029
,,00323.799680,B1_23,0.067
,,00323.807840,C1_31,0.036
,,00323.822240,B2_21,0.034
,,00323.832000,B5_24,0.074
,,00323.834880,B1_23,0.05
,,00323.861520,A3_24,0.031
,,00323.862720,B5_42,0.03
,,00323.875600,A3_31,0.02
,,00323.886160,A3_24,0.03
,,00323.886880,B2_41,0.019
,,00323.890080,C1_22,0.098
,,00323.890640,A3_24,0.064
,,00323.904560,A3_24,0.035
,,00323.911840,A3_24,0.043
,,00323.917680,A3_13,0.023
,,00323.919680,A3_24,0.033
,,00323.931200,A3_42,0.037
,,00323.937120,A3_42,0.02
,,00323.937920,B2_24,0.037
,,00323.942560,A3_24,0.053
,,00323.946000,A3_42,0.028
,,00323.961200,B1_23,0.05
,,00323.996480,A3_24,0.029
,,00323.998880,C1_31,0.035
,,00324.017680,B4_23,0.048
,,00324.024720,B4_23,0.024
,,00324.025120,A3_42,0.03
,,00324.031360,A3_13,0.029
,,00324.046560,A3_24,0.076
,,00324.049360,A3_24,0.063
,,00324.049840,A3_41,0.028
,,00324.051760,A3_24,0.033
,,00324.055680,A3_41,0.017
,,00324.056080,A3_42,0.032
,,00324.060720,A3_24,0.042
,,00324.060720,A3_33,0.034
,,00324.063120,A3_24,0.053
,,00324.066160,A3_24,0.044
,,00324.068400,A3_24,0.019
,,00324.069440,A3_33,0.03
,,00324.070000,A3_41,0.013
,,00324.071040,A3_12,0.047
,,00324.072800,A3_24,0.055
,,00324.076240,A3_42,0.021
,,00324.077840,B5_42,0.16
,,00324.081600,B5_42,0.019
,,00324.091520,A3_42,0.029
,,00324.092080,A3_12,0.041
,,00324.097680,A3_24,0.054
,,00324.102160,A3_24,0.041
,,00324.108240,A3_31,0.075
,,00324.112560,B1_23,0.085
,,00324.116000,A3_31,0.022
,,00324.121280,B2_31,0.128
,,00324.122560,C1_31,0.031
,,00324.123920,B2_31,0.036
,,00324.125920,A3_42,0.022
,,00324.130480,A3_13,0.033
,,00324.132880,B2_24,0.056
,,00324.133200,B1_13,0.039
,,00324.133280,B1_23,0.065
,,00324.133440,B2_31,0.046
,,00324.134160,A3_24,0.067
,,00324.135840,B2_31,0.104
,,00324.136560,A3_24,0.025
,,00324.136560,B2_21,0.021
,,00324.139920,B2_31,0.04
,,00324.140720,B2_21,0.024
,,00324.143040,B2_31,0.025
,,00324.144000,B2_24,0.039
,,00324.144400,A3_33,0.033
,,00324.145280,A3_24,0.06
,,00324.147040,A3_42,0.027
,,00324.148880,A3_24,0.065
,,00324.151200,A3_24,0.028
,,00324.151840,A3_13,0.033
,,00324.153200,A3_42,0.029
,,00324.153440,B2_31,0.059
,,00324.154640,A3_31,0.061
,,00324.155760,A3_42,0.03
,,00324.160080,B5_24,0.061
,,00324.164640,A3_24,0.024
,,00324.165600,B2_24,0.046
,,00324.166960,A3_24,0.036
,,00324.167600,A3_41,0.019
,,00324.168000,B2_24,0.071
,,00324.170160,B2_31,0.044
,,00324.170320,B2_24,0.081
,,00324.170640,B5_24,0.049
,,00324.172960,B2_24,0.053
,,00324.175440,B2_24,0.05
,,00324.177760,A3_12,0.039
