Investigator,,Time (s),Electrode,Amplitude (mV)
,,00024.857280,A1_25,0.021
,,00024.857280,A1_51,0.04
,,00024.857280,A1_53,0.02
,,00024.857360,A1_54,0.044
,,00024.857440,A1_48,0.026
,,00024.857520,A1_35,0.029
,,00024.857680,A1_56,0.027
,,00024.857920,A1_16,0.043
,,00024.858080,A1_36,0.029
,,00024.858160,A1_13,0.032
,,00024.858240,A1_11,0.022
,,00024.858240,A1_88,0.048
,,00024.858320,A1_41,0.018
,,00024.858400,A1_31,0.022
,,00024.858400,A1_62,0.04
,,00024.858800,A1_22,0.049
,,00024.858880,A1_21,0.03
,,00024.858880,A1_78,0.042
,,00024.858960,A1_82,0.04
,,00024.859120,A1_68,0.025
,,00024.859200,A1_46,0.023
,,00024.859280,A1_58,0.027
,,00024.859680,A1_15,0.033
,,00024.859840,A1_66,0.139
,,00024.860240,A1_23,0.045
,,00024.860240,A1_76,0.031
,,00024.860480,A1_24,0.023
,,00024.860640,A1_51,0.039
,,00024.860800,A1_77,0.027
,,00024.861360,A1_56,0.028
,,00024.861680,A1_28,0.031
,,00024.861840,A1_48,0.042
,,00024.862080,A1_18,0.026
,,00024.862080,A1_58,0.038
,,00024.862320,A1_53,0.035
,,00024.862400,A1_57,0.106
,,00024.862640,A1_76,0.029
,,00024.862800,A1_42,0.033
,,00024.862800,A1_66,0.025
,,00024.863280,A1_32,0.025
,,00024.863520,A1_51,0.027
,,00024.864320,A1_52,0.03
,,00024.865200,A1_76,0.029
,,00024.865840,A1_83,0.033
,,00024.866160,A1_15,0.026
,,00024.866480,A1_12,0.033
,,00024.866480,A1_38,0.024
,,00024.866480,A1_73,0.028
,,00024.866560,A1_57,0.025
,,00024.866560,A1_63,0.023
,,00024.866640,A1_11,0.029
,,00024.866640,A1_75,0.04
,,00024.866960,A1_17,0.023
,,00024.867120,A1_84,0.025
,,00024.867280,A1_67,0.029
,,00024.867360,A1_72,0.028
,,00024.867440,A1_66,0.082
,,00024.867520,A1_18,0.022
,,00024.867520,A1_64,0.031
,,00024.867600,A1_23,0.028
,,00024.867680,A1_55,0.04
,,00024.867920,A1_56,0.029
,,00024.868160,A1_21,0.025
,,00024.868320,A1_88,0.033
,,00024.868640,A1_35,0.036
,,00024.868880,A1_77,0.029
,,00024.869200,A1_76,0.024
,,00024.869760,A1_62,0.029
,,00024.869920,A1_46,0.031
,,00024.869920,A1_72,0.038
,,00024.869920,A1_82,0.031
,,00024.870000,A1_58,0.026
,,00024.870080,A1_73,0.028
,,00024.870320,A1_54,0.05
,,00024.870400,A1_24,0.029
,,00024.870400,A1_45,0.023
,,00024.870560,A1_71,0.034
,,00024.870720,A1_26,0.024
,,00024.870800,A1_34,0.059
,,00024.870880,A1_23,0.034
,,00024.870880,A1_33,0.035
,,00024.870960,A1_31,0.033
,,00024.870960,A1_88,0.027
,,00024.871040,A1_11,0.04
,,00024.871040,A1_22,0.041
,,00024.871040,A1_38,0.061
,,00024.871200,A1_12,0.023
,,00024.871200,A1_15,0.037
,,00024.871200,A1_51,0.04
,,00024.871520,A1_16,0.028
,,00024.871520,A1_85,0.031
,,00024.871600,A1_14,0.024
,,00024.871760,A1_78,0.067
,,00024.872400,A1_68,0.029
,,00024.872480,A1_67,0.022
,,00024.872560,A1_82,0.039
,,00024.872640,A1_48,0.028
,,00024.872720,A1_46,0.031
,,00024.872800,A1_56,0.025
,,00024.872960,A1_42,0.033
,,00024.873600,A1_13,0.024
,,00024.873840,A1_28,0.035
,,00024.874160,A1_51,0.055
,,00024.874560,A1_18,0.034
,,00024.874880,A1_32,0.023
,,00024.875440,A1_11,0.041
,,00024.875440,A1_17,0.023
,,00024.875520,A1_38,0.031
,,00024.875840,A1_15,0.032
,,00024.876080,A1_46,0.026
,,00024.876160,A1_77,0.03
,,00024.876240,A1_61,0.023
,,00024.876560,A1_35,0.03
,,00024.876720,A1_48,0.029
,,00024.876800,A1_64,0.064
,,00024.877360,A1_34,0.032
,,00024.877360,A1_45,0.025
,,00024.877600,A1_57,0.033
,,00024.877600,A1_74,0.028
,,00024.877760,A1_55,0.03
,,00024.877760,A1_72,0.025
,,00024.878080,A1_76,0.052
,,00024.878080,A1_87,0.028
,,00024.878400,A1_31,0.035
,,00024.878960,A1_53,0.035
,,00024.879520,A1_15,0.04
,,00024.879520,A1_22,0.033
,,00024.879600,A1_62,0.062
,,00024.879760,A1_12,0.05
,,00024.880000,A1_33,0.035
,,00024.880240,A1_55,0.03
,,00024.880320,A1_13,0.039
,,00024.880400,A1_27,0.024
,,00024.880480,A1_23,0.032
,,00024.880560,A1_11,0.026
,,00024.880720,A1_76,0.036
,,00024.880800,A1_51,0.035
,,00024.880880,A1_38,0.05
,,00024.880880,A1_52,0.026
,,00024.880960,A1_61,0.041
,,00024.881120,A1_83,0.031
,,00024.881200,A1_35,0.03
,,00024.881200,A1_54,0.04
,,00024.881200,A1_57,0.023
,,00024.881280,A1_26,0.028
,,00024.881360,A1_74,0.043
,,00024.881440,A1_36,0.021
,,00024.882160,A1_15,0.032
,,00024.882240,A1_72,0.041
,,00024.882320,A1_78,0.046
,,00024.882480,A1_68,0.056
,,00024.882560,A1_56,0.037
,,00024.882640,A1_46,0.04
,,00024.882640,A1_67,0.025
,,00024.882880,A1_28,0.028
,,00024.882960,A1_53,0.025
,,00024.883120,A1_66,0.106
,,00024.883200,A1_77,0.029
,,00024.883280,A1_75,0.044
,,00024.883360,A1_65,0.126
,,00024.883520,A1_58,0.03
,,00024.883600,A1_55,0.039
,,00024.883600,A1_88,0.036
,,00024.883760,A1_87,0.02
,,00024.883840,A1_64,0.022
,,00024.883840,A1_84,0.027
,,00024.883920,A1_51,0.045
,,00024.885120,A1_38,0.059
,,00024.885200,A1_46,0.021
,,00024.885360,A1_82,0.112
,,00024.885840,A1_13,0.022
,,00024.885920,A1_42,0.031
,,00024.886480,A1_58,0.028
,,00024.886640,A1_48,0.038
,,00024.887120,A1_72,0.021
,,00024.887520,A1_88,0.034
,,00024.887600,A1_46,0.059
,,00024.887920,A1_31,0.027
,,00024.888720,A1_11,0.031
,,00024.889760,A1_12,0.028
,,00024.889760,A1_13,0.031
,,00024.890000,A1_21,0.024
,,00024.890320,A1_31,0.029
,,00024.890320,A1_57,0.022
,,00024.890560,A1_15,0.049
,,00024.890720,A1_53,0.024
,,00024.890960,A1_51,0.049
,,00024.891680,A1_56,0.02
,,00024.892560,A1_62,0.025
,,00024.893200,A1_58,0.03
,,00024.893600,A1_34,0.051
,,00024.893920,A1_57,0.02
,,00024.894240,A1_33,0.02
,,00024.894400,A1_18,0.032
,,00024.894400,A1_28,0.05
,,00024.894720,A1_56,0.021
,,00024.895120,A1_55,0.031
,,00024.895440,A1_77,0.029
,,00024.895680,A1_83,0.032
,,00024.895840,A1_61,0.034
,,00024.895920,A1_52,0.042
,,00024.895920,A1_53,0.035
,,00024.896000,A1_72,0.022
,,00024.896160,A1_51,0.039
,,00024.896160,A1_54,0.041
,,00024.896480,A1_82,0.051
,,00024.896880,A1_23,0.035
,,00024.896960,A1_78,0.045
,,00024.897280,A1_11,0.037
,,00024.897360,A1_46,0.04
,,00024.897360,A1_66,0.089
,,00024.897360,A1_84,0.029
,,00024.897440,A1_45,0.031
,,00024.897440,A1_65,0.127
,,00024.897680,A1_56,0.032
,,00024.897760,A1_44,0.028
,,00024.897840,A1_35,0.027
,,00024.897840,A1_76,0.039
,,00024.898000,A1_55,0.027
,,00024.898480,A1_74,0.05
,,00024.898640,A1_64,0.059
,,00024.898800,A1_62,0.053
,,00024.898800,A1_82,0.032
,,00024.898880,A1_34,0.027
,,00024.899280,A1_57,0.031
,,00024.899360,A1_51,0.035
,,00024.899680,A1_52,0.041
,,00024.899680,A1_78,0.029
,,00024.899760,A1_15,0.03
,,00024.899840,A1_66,0.02
,,00024.899920,A1_14,0.023
,,00024.900080,A1_42,0.034
,,00024.900800,A1_41,0.022
,,00024.901040,A1_72,0.045
,,00024.901120,A1_55,0.031
,,00024.901120,A1_62,0.032
,,00024.901200,A1_35,0.036
,,00024.901280,A1_71,0.024
,,00024.901360,A1_53,0.03
,,00024.901520,A1_46,0.032
,,00024.901760,A1_36,0.021
,,00024.902160,A1_51,0.028
,,00024.902240,A1_23,0.032
,,00024.902560,A1_56,0.039
,,00024.902640,A1_11,0.03
,,00024.903600,A1_68,0.038
,,00024.904320,A1_65,0.024
,,00024.905680,A1_52,0.031
,,00024.905920,A1_53,0.026
,,00024.906000,A1_82,0.033
,,00024.906160,A1_51,0.039
,,00024.908320,A1_48,0.026
,,00024.908400,A1_77,0.031
,,00024.909200,A1_24,0.024
,,00024.909200,A1_76,0.018
,,00024.910240,A1_46,0.061
,,00024.910400,A1_35,0.024
,,00024.910640,A1_57,0.018
,,00024.911200,A1_61,0.027
,,00024.911760,A1_86,0.027
,,00024.912000,A1_87,0.033
,,00024.912160,A1_78,0.037
,,00024.912160,A1_83,0.029
,,00024.912320,A1_68,0.021
,,00024.912560,A1_22,0.025
,,00024.912720,A1_38,0.051
,,00024.912720,A1_82,0.026
,,00024.913280,A1_72,0.03
,,00024.913600,A1_42,0.034
,,00024.914400,A1_11,0.031
,,00024.914720,A1_67,0.038
,,00024.915120,A1_82,0.031
,,00024.915200,A1_73,0.016
,,00024.915680,A1_51,0.029
,,00024.916720,A1_46,0.026
,,00024.917040,A1_44,0.024
,,00024.917200,A1_12,0.037
,,00024.917600,A1_57,0.026
,,00024.917840,A1_55,0.031
,,00024.918640,A1_71,0.022
,,00024.920480,A1_77,0.034
,,00024.920720,A1_46,0.058
,,00024.921520,A1_74,0.032
,,00024.921680,A1_56,0.032
,,00024.921840,A1_28,0.048
,,00024.922960,A1_88,0.021
,,00024.923040,A1_47,0.027
,,00024.923280,A1_51,0.029
,,00024.924560,A1_78,0.043
,,00024.924640,A1_21,0.03
,,00024.924720,A1_82,0.022
,,00024.925120,A1_54,0.036
,,00024.925120,A1_56,0.021
,,00024.925680,A1_18,0.026
,,00024.925840,A1_52,0.03
,,00024.926560,A1_38,0.037
,,00024.926720,A1_63,0.019
,,00024.926720,A1_73,0.022
,,00024.926720,A1_83,0.02
,,00024.926880,A1_72,0.027
,,00024.927040,A1_53,0.03
,,00024.927280,A1_42,0.033
,,00024.928080,A1_44,0.031
,,00024.928960,A1_83,0.03
,,00024.929040,A1_63,0.021
,,00024.929040,A1_73,0.026
,,00024.930720,A1_64,0.027
,,00024.931280,A1_58,0.024
,,00024.931520,A1_11,0.019
,,00024.932160,A1_15,0.032
,,00024.932560,A1_72,0.046
,,00024.933040,A1_18,0.021
,,00024.933440,A1_57,0.024
,,00024.934160,A1_58,0.022
,,00024.935680,A1_23,0.016
,,00024.936240,A1_38,0.045
,,00024.936400,A1_78,0.031
,,00024.937120,A1_24,0.025
,,00024.938000,A1_51,0.03
,,00024.938720,A1_11,0.02
,,00024.938880,A1_52,0.03
,,00024.938880,A1_62,0.02
,,00024.939040,A1_22,0.034
,,00024.939040,A1_53,0.036
,,00024.939520,A1_31,0.023
,,00024.940000,A1_82,0.029
,,00024.941680,A1_46,0.027
,,00024.942160,A1_33,0.027
,,00024.942640,A1_38,0.03
,,00024.942720,A1_23,0.022
,,00024.943120,A1_18,0.027
,,00024.943360,A1_27,0.029
,,00024.943840,A1_31,0.028
,,00024.943920,A1_68,0.04
,,00024.945200,A1_77,0.034
,,00024.945680,A1_58,0.03
,,00024.947440,A1_57,0.031
,,00024.949920,A1_15,0.033
,,00024.949920,A1_42,0.034
,,00024.950480,A1_62,0.026
,,00024.951200,A1_53,0.026
,,00024.951600,A1_46,0.036
,,00024.953200,A1_27,0.024
,,00024.954320,A1_72,0.031
,,00024.955440,A1_83,0.031
,,00024.955760,A1_87,0.019
,,00024.955920,A1_18,0.025
,,00024.956880,A1_46,0.034
,,00024.957120,A1_51,0.025
,,00024.958000,A1_26,0.029
,,00024.958080,A1_27,0.023
,,00024.958320,A1_54,0.038
,,00024.961040,A1_51,0.036
,,00024.961120,A1_61,0.043
,,00024.961920,A1_65,0.021
,,00024.962160,A1_18,0.024
,,00024.962400,A1_74,0.044
,,00024.964080,A1_78,0.034
,,00024.964320,A1_68,0.023
,,00024.964720,A1_18,0.022
,,00024.966160,A1_57,0.033
,,00024.968000,A1_77,0.032
,,00024.968080,A1_58,0.027
,,00024.968400,A1_18,0.022
,,00024.969200,A1_38,0.057
,,00024.969200,A1_46,0.055
,,00024.971200,A1_13,0.026
,,00024.971200,A1_42,0.043
,,00024.971280,A1_41,0.024
,,00024.971920,A1_22,0.035
,,00024.973200,A1_33,0.027
,,00024.973360,A1_26,0.028
,,00024.974800,A1_52,0.024
,,00024.974960,A1_53,0.029
,,00024.975360,A1_51,0.028
,,00024.983520,A1_78,0.039
,,00024.983680,A1_68,0.024
,,00024.983760,A1_18,0.029
,,00024.984800,A1_23,0.025
,,00024.984800,A1_72,0.043
,,00024.986480,A1_58,0.029
,,00024.987920,A1_53,0.028
,,00024.988320,A1_32,0.023
,,00024.988800,A1_51,0.05
,,00024.989040,A1_52,0.028
,,00024.990480,A1_11,0.03
,,00024.991440,A1_57,0.05
,,00024.992640,A1_58,0.027
,,00024.992720,A1_74,0.031
,,00024.995360,A1_72,0.039
,,00024.997040,A1_18,0.026
,,00024.998080,A1_44,0.027
,,00024.998880,A1_46,0.035
,,00024.999840,A1_57,0.023
,,00025.000800,A1_18,0.018
,,00025.001840,A1_51,0.034
,,00025.002640,A1_56,0.033
,,00025.003440,A1_58,0.026
,,00025.004000,A1_53,0.032
,,00025.004560,A1_63,0.024
,,00025.004560,A1_83,0.032
,,00025.005200,A1_46,0.035
,,00025.005200,A1_65,0.132
,,00025.005440,A1_75,0.025
,,00025.005840,A1_26,0.027
,,00025.008640,A1_71,0.043
,,00025.009440,A1_67,0.086
,,00025.013600,A1_11,0.033
,,00025.013600,A1_34,0.021
,,00025.014720,A1_68,0.04
,,00025.017760,A1_72,0.052
,,00025.018720,A1_53,0.03
,,00025.018880,A1_32,0.022
,,00025.018880,A1_34,0.019
,,00025.020240,A1_46,0.027
,,00025.023600,A1_51,0.024
,,00025.025680,A1_58,0.031
,,00025.029840,A1_26,0.025
,,00025.030640,A1_56,0.024
,,00025.031920,A1_67,0.028
,,00025.034240,A1_11,0.029
,,00025.034240,A1_51,0.025
,,00025.034960,A1_53,0.024
,,00025.036640,A1_18,0.024
,,00025.037040,A1_72,0.064
,,00025.044640,A1_18,0.024
,,00025.044800,A1_46,0.031
,,00025.046160,A1_58,0.048
,,00025.053600,A1_57,0.035
,,00025.054160,A1_72,0.089
,,00025.060240,A1_51,0.028
,,00025.066240,A1_77,0.026
,,00025.066320,A1_58,0.036
,,00025.079280,A1_51,0.025
,,00025.079600,A1_53,0.027
,,00025.083040,A1_57,0.029
,,00025.087920,A1_58,0.044
,,00025.096560,A1_31,0.032
,,00025.106480,A1_17,0.032
,,00026.510400,A1_83,0.022
,,00026.613680,A1_15,0.023
,,00026.730000,A1_67,0.032
,,00027.071600,A1_71,0.054
,,00027.166480,A1_76,0.037
,,00027.175600,A1_75,0.023
,,00027.198560,A1_24,0.055
,,00027.220880,A1_24,0.053
,,00027.244800,A1_71,0.055
,,00027.248080,A1_83,0.015
,,00027.268880,A1_24,0.046
,,00027.310240,A1_24,0.053
,,00027.311280,A1_77,0.021
,,00027.347760,A1_83,0.023
,,00027.348560,A1_67,0.024
,,00028.005680,A1_67,0.028
,,00028.260960,A1_24,0.048
,,00028.386640,A1_67,0.019
,,00028.581120,A1_67,0.02
,,00028.638000,A1_71,0.059
,,00028.698240,A1_72,0.034
,,00028.703840,A1_71,0.053
,,00029.050000,A1_77,0.022
,,00029.050160,A1_67,0.03
,,00029.059040,A1_15,0.022
,,00029.392560,A1_72,0.045
,,00029.512080,A1_67,0.02
,,00029.847920,A1_83,0.021
,,00029.862480,A1_75,0.023
,,00030.367680,A1_77,0.025
,,00030.630240,A1_67,0.021
,,00030.700320,A1_25,0.037
,,00030.779440,A1_77,0.028
,,00030.811840,A1_77,0.024
,,00030.811920,A1_67,0.027
,,00031.089040,A1_76,0.037
,,00031.093680,A1_76,0.029
,,00031.095920,A1_75,0.023
,,00031.148400,A1_83,0.017
,,00031.362880,A1_67,0.023
,,00031.492640,A1_35,0.048
,,00031.496640,A1_28,0.03
,,00031.496880,A1_85,0.029
,,00031.497280,A1_17,0.033
,,00031.497280,A1_18,0.047
,,00031.498720,A1_35,0.028
,,00031.502080,A1_85,0.031
,,00031.502160,A1_78,0.026
,,00031.503200,A1_76,0.036
,,00031.503760,A1_46,0.022
,,00031.504160,A1_75,0.046
,,00031.504720,A1_53,0.069
,,00031.505680,A1_72,0.039
,,00031.505680,A1_76,0.031
,,00031.505920,A1_86,0.029
,,00031.507360,A1_37,0.038
,,00031.507520,A1_67,0.023
,,00031.507680,A1_17,0.025
,,00031.508320,A1_18,0.045
,,00031.508480,A1_53,0.032
,,00031.508640,A1_72,0.029
,,00031.508800,A1_82,0.037
,,00031.508880,A1_23,0.034
,,00031.509600,A1_68,0.044
,,00031.510080,A1_76,0.032
,,00031.510320,A1_86,0.028
,,00031.510560,A1_87,0.056
,,00031.510640,A1_28,0.036
,,00031.510640,A1_67,0.068
,,00031.510880,A1_18,0.043
,,00031.512000,A1_82,0.035
,,00031.512160,A1_38,0.047
,,00031.512240,A1_35,0.033
,,00031.512400,A1_32,0.025
,,00031.512480,A1_33,0.025
,,00031.512480,A1_34,0.019
,,00031.513120,A1_18,0.022
,,00031.513920,A1_23,0.033
,,00031.514240,A1_68,0.037
,,00031.514320,A1_54,0.038
,,00031.514320,A1_75,0.034
,,00031.514880,A1_77,0.028
,,00031.515200,A1_13,0.027
,,00031.515280,A1_81,0.022
,,00031.516240,A1_21,0.037
,,00031.516560,A1_52,0.022
,,00031.516640,A1_72,0.036
,,00031.516720,A1_11,0.029
,,00031.517040,A1_58,0.029
,,00031.517200,A1_67,0.047
,,00031.517280,A1_61,0.054
,,00031.518000,A1_71,0.051
,,00031.518080,A1_53,0.043
,,00031.518160,A1_76,0.036
,,00031.518400,A1_87,0.025
,,00031.518560,A1_23,0.026
,,00031.518560,A1_68,0.109
,,00031.518720,A1_64,0.094
,,00031.518720,A1_82,0.045
,,00031.518800,A1_74,0.046
,,00031.519040,A1_77,0.051
,,00031.519200,A1_15,0.021
,,00031.519680,A1_48,0.03
,,00031.519840,A1_11,0.029
,,00031.520000,A1_54,0.049
,,00031.520240,A1_18,0.034
,,00031.520320,A1_78,0.097
,,00031.520400,A1_28,0.087
,,00031.520400,A1_72,0.055
,,00031.520480,A1_33,0.034
,,00031.520480,A1_34,0.038
,,00031.520880,A1_71,0.032
,,00031.521040,A1_13,0.07
,,00031.521520,A1_64,0.031
,,00031.522240,A1_48,0.028
,,00031.522320,A1_25,0.022
,,00031.522720,A1_44,0.078
,,00031.522720,A1_45,0.027
,,00031.522800,A1_11,0.048
,,00031.523040,A1_12,0.05
,,00031.523040,A1_14,0.023
,,00031.523040,A1_23,0.029
,,00031.523120,A1_17,0.021
,,00031.523360,A1_85,0.04
,,00031.523520,A1_33,0.033
,,00031.523520,A1_34,0.052
,,00031.523600,A1_51,0.038
,,00031.523600,A1_76,0.034
,,00031.523680,A1_35,0.053
,,00031.523680,A1_54,0.055
,,00031.523760,A1_18,0.028
,,00031.523760,A1_36,0.027
,,00031.523760,A1_75,0.063
,,00031.523920,A1_64,0.034
,,00031.524400,A1_13,0.033
,,00031.524400,A1_67,0.033
,,00031.524400,A1_82,0.043
,,00031.524480,A1_15,0.036
,,00031.524560,A1_77,0.039
,,00031.524560,A1_81,0.021
,,00031.524640,A1_71,0.026
,,00031.524880,A1_22,0.025
,,00031.524960,A1_56,0.026
,,00031.525200,A1_11,0.034
,,00031.525360,A1_12,0.023
,,00031.525440,A1_24,0.051
,,00031.525600,A1_58,0.024
,,00031.525680,A1_46,0.026
,,00031.525680,A1_86,0.023
,,00031.525840,A1_51,0.035
,,00031.526080,A1_87,0.039
,,00031.526160,A1_75,0.069
,,00031.526320,A1_32,0.026
,,00031.526400,A1_44,0.038
,,00031.526480,A1_52,0.028
,,00031.526480,A1_54,0.047
,,00031.526560,A1_64,0.028
,,00031.526640,A1_82,0.026
,,00031.526720,A1_18,0.03
,,00031.526720,A1_78,0.036
,,00031.527040,A1_68,0.089
,,00031.527200,A1_67,0.137
,,00031.527280,A1_17,0.031
,,00031.527280,A1_45,0.035
,,00031.527280,A1_63,0.021
,,00031.527360,A1_33,0.035
,,00031.527360,A1_34,0.029
,,00031.527360,A1_55,0.076
,,00031.527440,A1_38,0.031
,,00031.527680,A1_24,0.036
,,00031.527680,A1_48,0.024
,,00031.527680,A1_66,0.094
,,00031.527760,A1_28,0.02
,,00031.527760,A1_47,0.024
,,00031.527760,A1_74,0.036
,,00031.527920,A1_65,0.143
,,00031.527920,A1_86,0.039
,,00031.528000,A1_62,0.034
,,00031.528080,A1_11,0.023
,,00031.528080,A1_72,0.143
,,00031.528160,A1_51,0.04
,,00031.528160,A1_85,0.023
,,00031.528160,A1_88,0.024
,,00031.528240,A1_61,0.047
,,00031.528400,A1_53,0.032
,,00031.528400,A1_76,0.038
,,00031.528400,A1_83,0.044
,,00031.528480,A1_46,0.033
,,00031.528480,A1_73,0.027
,,00031.528480,A1_75,0.046
,,00031.528640,A1_35,0.045
,,00031.528880,A1_23,0.017
,,00031.528960,A1_37,0.027
,,00031.529040,A1_81,0.021
,,00031.529040,A1_82,0.062
,,00031.529040,A1_87,0.029
,,00031.529200,A1_71,0.044
,,00031.529440,A1_32,0.019
,,00031.529600,A1_54,0.035
,,00031.529760,A1_58,0.032
,,00031.529920,A1_34,0.031
,,00031.530000,A1_17,0.044
,,00031.530000,A1_33,0.022
,,00031.530000,A1_78,0.028
,,00031.530160,A1_18,0.029
,,00031.530240,A1_68,0.029
,,00031.530480,A1_45,0.026
,,00031.530560,A1_48,0.059
,,00031.530720,A1_53,0.059
,,00031.530880,A1_72,0.029
,,00031.531360,A1_15,0.029
,,00031.531440,A1_46,0.054
,,00031.531520,A1_55,0.029
,,00031.531520,A1_65,0.127
,,00031.531600,A1_71,0.072
,,00031.531760,A1_75,0.033
,,00031.531920,A1_56,0.028
,,00031.532160,A1_37,0.027
,,00031.532240,A1_27,0.029
,,00031.532640,A1_26,0.037
,,00031.532720,A1_22,0.054
,,00031.532720,A1_32,0.028
,,00031.532720,A1_54,0.043
,,00031.532800,A1_48,0.032
,,00031.532960,A1_34,0.093
,,00031.532960,A1_36,0.038
,,00031.533040,A1_33,0.047
,,00031.533120,A1_21,0.029
,,00031.533120,A1_66,0.161
,,00031.533120,A1_85,0.024
,,00031.533200,A1_12,0.041
,,00031.533280,A1_72,0.052
,,00031.533360,A1_17,0.038
,,00031.533520,A1_88,0.054
,,00031.533600,A1_15,0.028
,,00031.533760,A1_16,0.038
,,00031.533760,A1_65,0.123
,,00031.533840,A1_71,0.03
,,00031.534000,A1_13,0.035
,,00031.534000,A1_38,0.023
,,00031.534000,A1_86,0.033
,,00031.534160,A1_23,0.042
,,00031.534160,A1_46,0.032
,,00031.534240,A1_57,0.029
,,00031.534320,A1_53,0.067
,,00031.534480,A1_44,0.057
,,00031.534480,A1_55,0.084
,,00031.534560,A1_14,0.025
,,00031.534640,A1_35,0.034
,,00031.534640,A1_56,0.05
,,00031.534800,A1_87,0.039
,,00031.534960,A1_51,0.034
,,00031.534960,A1_58,0.03
,,00031.535120,A1_26,0.026
,,00031.535120,A1_64,0.023
,,00031.535360,A1_52,0.042
,,00031.535360,A1_54,0.078
,,00031.535440,A1_62,0.026
,,00031.535520,A1_34,0.025
,,00031.535520,A1_72,0.047
,,00031.535600,A1_82,0.065
,,00031.535680,A1_12,0.029
,,00031.535920,A1_66,0.091
,,00031.535920,A1_81,0.026
,,00031.535920,A1_88,0.029
,,00031.536000,A1_45,0.034
,,00031.536000,A1_65,0.133
,,00031.536080,A1_68,0.035
,,00031.536160,A1_24,0.026
,,00031.536240,A1_13,0.068
,,00031.536560,A1_86,0.033
,,00031.536640,A1_57,0.024
,,00031.536880,A1_15,0.028
,,00031.537040,A1_78,0.028
,,00031.537120,A1_11,0.059
,,00031.537120,A1_35,0.105
,,00031.537120,A1_55,0.044
,,00031.537200,A1_37,0.036
,,00031.537200,A1_53,0.057
,,00031.537280,A1_76,0.056
,,00031.537360,A1_14,0.029
,,00031.537360,A1_46,0.045
,,00031.537600,A1_77,0.032
,,00031.537600,A1_85,0.039
,,00031.537680,A1_32,0.047
,,00031.537680,A1_56,0.03
,,00031.537760,A1_31,0.041
,,00031.537840,A1_22,0.025
,,00031.537840,A1_58,0.034
,,00031.537840,A1_63,0.022
,,00031.538000,A1_28,0.042
,,00031.538080,A1_75,0.04
,,00031.538240,A1_26,0.029
,,00031.538240,A1_41,0.045
,,00031.538320,A1_67,0.034
,,00031.538320,A1_71,0.06
,,00031.538400,A1_47,0.036
,,00031.538400,A1_48,0.035
,,00031.538480,A1_17,0.031
,,00031.538480,A1_65,0.069
,,00031.538480,A1_87,0.035
,,00031.538560,A1_51,0.082
,,00031.538560,A1_82,0.063
,,00031.538640,A1_18,0.03
,,00031.538640,A1_64,0.043
,,00031.538640,A1_74,0.035
,,00031.538800,A1_54,0.039
,,00031.538880,A1_86,0.027
,,00031.538960,A1_72,0.044
,,00031.538960,A1_81,0.017
,,00031.539040,A1_21,0.058
,,00031.539120,A1_68,0.077
,,00031.539200,A1_61,0.038
,,00031.539360,A1_36,0.074
,,00031.539440,A1_53,0.045
,,00031.539440,A1_73,0.041
,,00031.539520,A1_27,0.03
,,00031.539600,A1_16,0.039
,,00031.539600,A1_83,0.039
,,00031.539760,A1_11,0.035
,,00031.539840,A1_45,0.045
,,00031.539920,A1_57,0.026
,,00031.539920,A1_76,0.037
,,00031.540000,A1_33,0.03
,,00031.540000,A1_34,0.048
,,00031.540160,A1_22,0.044
,,00031.540160,A1_23,0.035
,,00031.540240,A1_24,0.045
,,00031.540240,A1_28,0.042
,,00031.540240,A1_44,0.09
,,00031.540320,A1_31,0.058
,,00031.540400,A1_85,0.023
,,00031.540560,A1_37,0.041
,,00031.540560,A1_71,0.057
,,00031.540720,A1_26,0.05
,,00031.540800,A1_46,0.068
,,00031.540800,A1_48,0.046
,,00031.540880,A1_51,0.341
,,00031.540960,A1_17,0.045
,,00031.540960,A1_32,0.037
,,00031.541040,A1_41,0.032
,,00031.541040,A1_42,0.027
,,00031.541040,A1_65,0.12
,,00031.541120,A1_58,0.031
,,00031.541200,A1_18,0.032
,,00031.541200,A1_56,0.053
,,00031.541360,A1_21,0.054
,,00031.541440,A1_55,0.056
,,00031.541520,A1_12,0.046
,,00031.541520,A1_38,0.039
,,00031.541680,A1_61,0.05
,,00031.541680,A1_62,0.071
,,00031.541760,A1_52,0.057
,,00031.541840,A1_64,0.043
,,00031.541840,A1_68,0.049
,,00031.541920,A1_53,0.061
,,00031.542000,A1_13,0.032
,,00031.542000,A1_78,0.1
,,00031.542080,A1_82,0.038
,,00031.542080,A1_86,0.057
,,00031.542240,A1_33,0.038
,,00031.542240,A1_45,0.041
,,00031.542240,A1_76,0.038
,,00031.542320,A1_27,0.026
,,00031.542320,A1_34,0.027
,,00031.542400,A1_74,0.05
,,00031.542560,A1_66,0.063
,,00031.542640,A1_67,0.163
,,00031.542800,A1_71,0.049
,,00031.542880,A1_22,0.029
,,00031.542960,A1_31,0.031
,,00031.543040,A1_46,0.03
,,00031.543040,A1_75,0.042
,,00031.543120,A1_24,0.024
,,00031.543120,A1_47,0.035
,,00031.543120,A1_48,0.029
,,00031.543280,A1_35,0.053
,,00031.543360,A1_58,0.043
,,00031.543360,A1_88,0.062
,,00031.543440,A1_18,0.035
,,00031.543680,A1_41,0.024
,,00031.543680,A1_55,0.039
,,00031.543760,A1_23,0.037
