Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
,,00000.186000,C4_34,24,0.14568
,,00000.146320,C4_42,16,0.10152
,,00000.175520,C4_32,11,0.11432
,,00000.109680,C4_44,62,0.2292
,,00000.090960,C4_41,33,0.1008
,,00000.177280,C4_22,30,0.1524
,,00000.135600,D4_14,38,0.11064
,,00000.141840,D4_12,11,0.02912
,,00000.107040,D4_41,25,0.0724
,,00000.167360,A5_12,38,0.16064
,,00000.088800,A5_41,19,0.06464
,,00000.166160,A5_31,30,0.15168
,,00000.178400,B5_12,14,0.10216
,,00000.173440,B5_23,5,0.05136
,,00000.239520,B5_24,19,0.07552
,,00000.071360,B5_43,29,0.22192
,,00000.068400,B5_32,42,0.14936
,,00000.107520,B5_44,55,0.20344
,,00000.194080,B5_22,5,0.05352
,,00000.169600,C5_24,26,0.1584
,,00000.087920,C5_43,24,0.21888
,,00000.087040,C5_44,71,0.26664
,,00000.159280,C5_21,30,0.09064
,,00000.297440,D5_14,9,0.07648
,,00000.174960,D5_24,29,0.16752
,,00000.239040,A6_14,23,0.07128
,,00000.116720,A6_12,51,0.2404
,,00000.260960,A6_13,6,0.01656
,,00000.121680,A6_33,29,0.0896
,,00000.250560,A6_23,20,0.05464
,,00000.128960,A6_24,35,0.10064
,,00000.250240,A6_42,14,0.04168
,,00000.117280,A6_43,40,0.18864
,,00000.115840,A6_32,34,0.18928
,,00000.083360,A6_44,24,0.06672
,,00000.112880,A6_41,35,0.19752
,,00000.250320,A6_31,24,0.08768
,,00000.190560,B6_14,10,0.03112
,,00000.130960,B6_12,24,0.0632
,,00000.119440,B6_11,36,0.20008
,,00000.113040,B6_23,24,0.08112
,,00000.250160,B6_34,39,0.11168
,,00000.134720,B6_24,13,0.04408
,,00000.130000,B6_42,33,0.17512
,,00000.076720,B6_43,21,0.08864
,,00000.232640,B6_44,30,0.10528
,,00000.250400,B6_41,11,0.034
,,00000.113040,B6_31,68,0.27024
,,00000.148080,C6_14,31,0.18976
,,00000.250640,C6_12,13,0.04496
,,00000.131600,C6_13,57,0.24936
,,00000.128960,C6_33,37,0.10392
,,00000.074000,C6_23,21,0.08176
,,00000.250080,C6_42,19,0.05512
,,00000.114880,C6_43,34,0.22312
,,00000.127440,C6_21,43,0.11168
,,00000.119200,C6_41,36,0.2188
,,00000.128960,C6_31,35,0.10536
,,00000.128960,D6_12,72,0.23912
,,00000.234880,D6_13,37,0.11776
,,00000.075360,D6_33,65,0.28024
,,00000.094880,D6_23,21,0.16832
,,00000.236240,D6_34,51,0.15312
,,00000.119440,D6_42,33,0.186
,,00000.118000,D6_43,40,0.22
,,00000.102320,D6_32,19,0.058
,,00000.128160,D6_21,78,0.24984
,,00000.200800,D6_31,31,0.11928
,,00000.452640,D1_33,12,0.10928
,,00000.154160,C1_41,51,0.31464
,,00000.226720,C1_24,80,0.40248
,,00000.174320,B1_31,38,0.314
,,00000.134400,B1_23,88,0.35688
,,00000.272400,B1_24,98,0.35496
,,00000.107920,A1_21,106,0.3336
,,00000.118080,A1_11,122,0.46384
,,00000.132880,A1_23,126,0.46056
,,00000.114880,A1_24,111,0.34288
,,00000.100000,A1_42,112,0.40888
,,00000.201920,D2_21,52,0.30312
,,00000.507440,D2_23,10,0.06808
,,00000.137120,C2_32,149,0.44816
,,00000.043600,B2_11,126,0.57272
,,00000.228240,B2_43,62,0.24072
,,00000.194480,A2_11,83,0.3468
,,00000.122720,A2_14,84,0.43712
,,00000.186960,A2_44,37,0.33912
,,00000.335520,D3_31,21,0.15824
,,00000.100880,D3_24,140,0.42672
,,00000.111120,C3_11,107,0.3748
,,00000.157840,C3_13,78,0.34792
,,00000.368640,C3_23,31,0.1636
,,00000.372240,C3_24,40,0.14656
,,00000.318720,B3_11,50,0.22168
,,00000.461040,B3_12,35,0.1736
,,00000.337680,B3_13,46,0.25248
,,00000.256080,B3_24,74,0.32896
,,00000.107840,B3_34,126,0.49368
,,00000.246480,B3_43,101,0.38064
,,00000.085520,A3_11,46,0.31544
,,00000.048240,A3_13,130,0.53368
,,00000.250240,A4_12,53,0.20976
,,00000.095600,A4_11,148,0.5372
,,00000.515760,A4_41,5,0.02136
,,00000.004400,B4_13,176,0.61608
,,00000.157840,B4_43,87,0.4752
,,00000.502880,B4_32,11,0.05128
,,00000.500080,C4_12,10,0.05472
,,00000.109680,C4_11,105,0.5108
,,00000.470240,C4_34,7,0.08528
,,00000.166800,C4_43,42,0.30216
,,00000.507920,C4_44,5,0.04624
,,00000.501120,D4_12,5,0.03192
,,00000.111120,D4_44,50,0.28896
,,00000.500800,A5_13,22,0.08856
,,00000.320560,A5_43,5,0.082
,,00000.500400,B5_24,11,0.08312
,,00000.159600,B5_42,92,0.47304
,,00000.163040,B5_21,50,0.36552
,,00000.267040,C5_12,43,0.14664
,,00000.332800,C5_13,14,0.1504
,,00000.471920,C5_24,9,0.06048
,,00000.500160,C5_44,39,0.12544
,,00000.202320,C5_41,105,0.4108
,,00000.145280,A6_11,115,0.45224
,,00000.503920,A6_42,28,0.1212
,,00000.502640,A6_31,12,0.08736
,,00000.484240,B6_34,7,0.0816
,,00000.285920,B6_24,27,0.12208
,,00000.117280,B6_21,95,0.32432
,,00000.173200,C6_32,49,0.2352
,,00000.221760,D6_11,60,0.2828
,,00000.505120,D6_23,19,0.14136
,,00000.502000,D6_21,5,0.0468
,,00000.144080,D6_22,111,0.44168
,,00000.060240,D1_43,252,0.82056
,,00000.128320,D1_42,160,0.75904
,,00000.754880,B1_41,7,0.03688
,,00000.147680,A1_22,134,0.55776
,,00000.126080,C2_31,160,0.75128
,,00000.750240,C2_32,11,0.06568
,,00000.359120,C2_43,95,0.53888
,,00000.141120,B2_41,217,0.73544
,,00000.152080,B2_44,157,0.70256
,,00000.604320,A2_23,13,0.12048
,,00000.140320,A2_42,195,0.70712
,,00000.522000,D3_11,32,0.2888
,,00000.500480,D3_12,73,0.3104
,,00000.739520,D3_13,6,0.05088
,,00000.750240,D3_22,12,0.03736
,,00000.750400,D3_33,11,0.03592
,,00000.500400,D3_42,86,0.32608
,,00000.710800,C3_31,7,0.05432
,,00000.500400,B3_21,78,0.3392
,,00000.507120,B3_31,69,0.33848
,,00000.668800,B3_22,31,0.12552
,,00000.750160,B3_23,6,0.02272
,,00000.750160,B3_32,7,0.0344
,,00000.317840,A3_21,101,0.35768
,,00000.244480,A3_31,168,0.60112
,,00000.507360,A3_11,96,0.31184
,,00000.750080,A3_23,5,0.01872
,,00000.666320,A3_34,18,0.13832
,,00000.102800,A3_44,177,0.7368
,,00000.750160,A3_42,18,0.04896
,,00000.750080,A4_12,16,0.07488
,,00000.551520,A4_42,28,0.23984
,,00000.752880,A4_41,11,0.13792
,,00000.774480,B4_32,7,0.11696
,,00000.090640,B4_44,129,0.78848
,,00000.756640,C4_44,9,0.07872
,,00000.420240,D4_24,38,0.34
,,00000.752880,D4_44,7,0.10744
,,00000.197520,B5_41,134,0.5452
,,00000.160000,C5_33,152,0.60344
,,00000.167760,C5_34,45,0.52792
,,00000.662480,C5_24,6,0.09048
,,00000.470640,C5_42,25,0.2764
,,00000.607680,C5_43,12,0.19952
,,00000.344320,D5_11,24,0.40448
,,00000.160160,D5_42,103,0.58752
,,00000.453040,D5_31,71,0.28968
,,00000.194080,D5_22,67,0.52728
,,00000.432960,A6_14,43,0.33016
,,00000.761840,A6_11,17,0.11328
,,00000.750640,A6_42,27,0.14024
,,00000.601440,A6_43,12,0.14168
,,00000.562000,B6_12,16,0.14848
,,00000.438880,B6_42,37,0.30696
,,00000.613360,C6_11,27,0.12232
,,00000.750160,C6_34,15,0.06728
,,00000.075360,C6_44,143,0.658
,,00000.576240,C6_21,43,0.24432
,,00000.594960,C6_31,8,0.16392
,,00000.435280,C6_22,31,0.30896
,,00000.503360,D6_13,74,0.31752
,,00000.750400,D6_23,5,0.02344
,,00000.751520,D6_34,5,0.02576
