Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.701040,B2_32,5,0.09424
Description,after infection overnight,00002.297440,A2_44,11,0.16848
,,00002.740640,D5_33,10,0.1352
Maestro Edge Settings,,00002.780000,D5_43,7,0.11584
   Original File Time,08/26/2020 03:32:59,00004.527680,D1_22,5,0.05024
   Sampling Frequency,12.5 kHz,00004.548880,B2_41,7,0.06296
   Voltage Scale,-5.48486178148311E-08 V/sample,00004.450560,B2_32,7,0.17296
   Experiment Start Time,08/25/2020 15:32:43,00004.202160,A2_44,13,0.2608
   Referencing Method,Median,00004.523360,D1_42,8,0.13744
   Analog Mode Setting,Neural Spikes,00004.500080,B2_31,10,0.2516
   Plate Type,BioCircuit MEA 24,00004.573760,B2_11,11,0.13312
   Digital Low Pass Filter,3 kHz Kaiser Window,00004.551600,B2_22,8,0.1828
   Digital High Pass Filter,200 Hz IIR,00004.497680,B2_34,6,0.19456
   Temperature Set Point,37.0 Degrees C,00004.578000,B6_23,9,0.24736
   Current Temperature,37.0 Degrees C,00005.079280,A6_23,6,0.11416
   Heater Power,On,00005.377520,D2_21,8,0.15184
   Barcode Plate Type,TwentyFourWellCircuit,00005.486080,B2_31,6,0.25792
   Plate Serial Number,66-1901,00006.020080,B2_11,6,0.07392
   CO2 Conc. Set Point,5.0 %,00005.957040,B2_32,6,0.13472
   Actual CO2 Conc.,4.9 %,00007.025760,A2_44,5,0.10952
   Gas Mixer Status,Regulating,00007.104080,B2_31,8,0.23912
   AxIS Version,3.0.3.2,00008.011840,B2_31,6,0.12952
   Maestro Edge Firmware,3.0.3.2,00007.941680,C3_24,5,0.02296
   Maestro Edge BioCore Version,4B,00007.918640,C3_43,5,0.02224
,,00009.276480,A2_21,5,0.1032
AxIS Batch Process,,00009.259520,A2_33,8,0.19408
   AxIS Version,3.0.3.2,00009.054080,A2_44,60,1.0308
   File Name,o.n experimet read 6.raw,00009.721120,A4_41,7,0.2176
   Plate Type,BioCircuit MEA 24,00010.930080,A2_44,5,0.198
   Requested File Section,0s to 10m0s,00010.986000,C3_12,15,0.13192
