Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.350960,B3_22,10,0.12488
Description,after infection overnight,00000.267120,C6_13,5,0.17312
,,00001.917440,D2_21,5,0.17472
Maestro Edge Settings,,00002.463680,B3_41,5,0.0804
   Original File Time,08/25/2020 21:32:59,00002.333520,B3_22,36,0.36112
   Sampling Frequency,12.5 kHz,00002.398000,B3_42,17,0.27224
   Voltage Scale,-5.48486178148311E-08 V/sample,00002.826960,B3_22,7,0.26832
   Experiment Start Time,08/25/2020 15:32:43,00002.901440,D4_21,7,0.17168
   Referencing Method,Median,00002.764480,A2_44,12,0.39848
   Analog Mode Setting,Neural Spikes,00003.312720,B3_22,37,0.4748
   Plate Type,BioCircuit MEA 24,00003.442560,B3_42,11,0.33128
   Digital Low Pass Filter,3 kHz Kaiser Window,00004.249760,C3_24,7,0.06416
   Digital High Pass Filter,200 Hz IIR,00004.160480,B3_22,14,0.51648
   Temperature Set Point,37.0 Degrees C,00004.782480,B3_22,8,0.31896
   Current Temperature,37.0 Degrees C,00005.214640,B3_22,8,0.40688
   Heater Power,On,00006.060000,B3_22,5,0.24352
   Barcode Plate Type,TwentyFourWellCircuit,00007.440320,A2_44,10,0.23664
   Plate Serial Number,66-1901,00007.606240,B5_14,5,0.08792
   CO2 Conc. Set Point,5.0 %,00007.597520,B5_42,8,0.19536
   Actual CO2 Conc.,5.0 %,00007.604960,B5_22,19,0.18888
   Gas Mixer Status,Regulating,00007.665040,B5_23,20,0.29216
   AxIS Version,3.0.3.2,00007.633760,B5_24,16,0.29544
   Maestro Edge Firmware,3.0.3.2,00008.498480,D4_43,6,0.09376
   Maestro Edge BioCore Version,4B,00008.544000,D4_32,5,0.07992
,,00007.623360,B5_44,71,0.89848
AxIS Batch Process,,00008.449920,D4_21,16,0.24624
   AxIS Version,3.0.3.2,00008.640240,B5_22,6,0.16192
   File Name,o.n experimet read 3.raw,00009.115600,A4_41,7,0.24312
   Plate Type,BioCircuit MEA 24,00009.070880,B5_23,17,0.30184
   Requested File Section,0s to 10m0s,00008.946560,B5_42,6,0.30136
   Actual File Section Run,0s to 10m0s,00008.959680,B5_22,16,0.39608
   Recording Offset from File Start,0s,00009.459200,B6_21,8,0.19048
,,00007.604560,B5_12,171,2.06992
Spike Detector Settings,,00008.834960,B5_44,77,0.83528
   Method,Adaptive Threshold Crossing,00009.911920,A2_44,15,0.30816
   Threshold,6,00010.566080,C3_24,7,0.10904
   Threshold Status,Variable,00010.637360,C3_43,6,0.05696
   Threshold Crossing Only,True,00011.279520,B4_23,18,0.08576
   Pre-Spike Duration,0.84 ms,00011.218800,B4_43,20,0.17896
   Post-Spike Duration,2.16 ms,00011.298720,B4_44,6,0.04928
   Coincident Event Filter,Default (Well),00011.311440,B4_31,6,0.1108
   Coincidence Occurrence Threshold,4 Electrodes,00011.739120,B2_31,6,0.13576
   Coincidence Event Window,160 µs,00011.851360,B2_11,5,0.08552
   Allow Sample Overlap,false,00011.777520,B2_32,9,0.2888
   Spike Count Interval,1 s,00012.206400,D2_21,5,0.1684
,,00012.128880,D2_23,20,0.25344
Burst Detector Settings,,00012.184160,B4_43,7,0.14936
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00012.843600,A1_41,6,0.16688
   Maximum Inter-Spike Interval,100 ms,00012.838720,A1_43,7,0.12
   Minimum Number of Spikes,5,00012.906480,B2_31,7,0.15864
   Enable Network Burst Detection,True,00014.037760,D5_43,5,0.0892
   Maximum Inter-Spike Interval (network bursts),100 ms,00013.772800,A4_33,13,0.432
   Minimum Number of Spikes (network bursts),50,00014.949840,B2_31,6,0.14008
   Minimum Participating Electrodes (%),35,00014.956880,B2_11,10,0.18448
   Synchrony Window,20 ms,00014.841760,B2_32,8,0.19672
,,00015.163600,A2_44,9,0.22776
,,00015.747760,D2_34,9,0.126
,,00016.346240,B2_31,5,0.12848
,,00016.457360,A3_34,6,0.17904
,,00016.750960,A4_23,5,0.11872
,,00016.676160,A4_41,8,0.17056
,,00016.981920,B2_11,7,0.12296
,,00017.037280,C3_43,10,0.10664
,,00017.152640,C3_24,7,0.05504
,,00016.837600,A4_33,23,0.38384
,,00018.276160,B2_31,5,0.07984
,,00018.748000,D4_32,17,0.14792
,,00018.745760,D4_44,7,0.08664
,,00018.770560,D4_31,8,0.1152
,,00018.992880,A4_41,5,0.1236
,,00018.738800,D4_43,27,0.22952
,,00018.677200,D4_21,33,0.30336
,,00019.320800,B5_14,7,0.22832
,,00019.402400,B5_12,18,0.21976
,,00019.363920,B5_23,6,0.13424
,,00019.397920,B5_22,11,0.1296
,,00019.489360,D5_33,5,0.09376
,,00020.062640,D4_43,5,0.27896
,,00019.396400,D4_21,22,0.80816
,,00020.533680,A2_44,5,0.12512
,,00020.596320,D4_43,14,0.1796
,,00020.646640,D4_44,5,0.12448
,,00020.747280,D2_21,6,0.2656
,,00020.311280,D4_21,26,0.59424
,,00021.858960,A4_41,7,0.22536
,,00023.446880,A3_33,5,0.09952
,,00023.446400,A3_32,10,0.14464
,,00023.360160,A2_44,8,0.28992
,,00023.677760,C3_13,6,0.2844
,,00023.355040,A3_34,50,1.05088
,,00024.773120,D5_13,6,0.07904
,,00024.870240,B5_12,11,0.15768
,,00024.788480,D5_12,5,0.11448
,,00024.851120,D5_43,5,0.07176
,,00026.208160,A2_44,17,0.3844
,,00026.391440,B5_12,7,0.13944
,,00027.447520,C3_12,10,0.09816
,,00027.472880,C3_14,5,0.05664
,,00027.473840,C3_24,6,0.05376
,,00027.486160,C3_22,15,0.24832
,,00027.767600,D1_42,9,0.23984
,,00028.338880,D1_42,5,0.09032
,,00028.910560,C3_43,6,0.02592
,,00028.953280,C3_22,9,0.24224
,,00029.308240,A2_44,10,0.18392
,,00031.205600,B2_32,8,0.25352
