Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.167440,B4_23,18,0.1052
Description,after infection overnight,00000.117360,B4_43,17,0.13096
,,00000.487280,D3_42,5,0.146
Maestro Edge Settings,,00000.503840,B3_32,6,0.14536
   Original File Time,08/25/2020 19:32:59,00000.139040,D5_12,12,0.35328
   Sampling Frequency,12.5 kHz,00000.337280,B3_22,31,0.56112
   Voltage Scale,-5.48486178148311E-08 V/sample,00000.498720,B3_42,10,0.15864
   Experiment Start Time,08/25/2020 15:32:43,00001.250480,B5_22,5,0.14776
   Referencing Method,Median,00001.180560,B5_12,11,0.27024
   Analog Mode Setting,Neural Spikes,00001.339840,B3_22,17,0.64312
   Plate Type,BioCircuit MEA 24,00001.663680,D5_12,7,0.35224
   Digital Low Pass Filter,3 kHz Kaiser Window,00006.243200,C6_33,6,0.04136
   Digital High Pass Filter,200 Hz IIR,00006.191840,C6_34,5,0.11056
   Temperature Set Point,37.0 Degrees C,00006.687280,A6_24,9,0.2124
   Current Temperature,37.0 Degrees C,00006.843360,A6_23,5,0.12888
   Heater Power,On,00007.996560,B3_22,15,0.19384
   Barcode Plate Type,TwentyFourWellCircuit,00008.047600,B3_32,6,0.14368
   Plate Serial Number,66-1901,00008.541600,B6_21,7,0.17184
   CO2 Conc. Set Point,5.0 %,00008.446160,B6_41,7,0.3512
   Actual CO2 Conc.,5.0 %,00010.019840,A4_33,13,0.34352
   Gas Mixer Status,Regulating,00012.314720,B6_21,10,0.17688
   AxIS Version,3.0.3.2,00012.805280,B6_14,6,0.28136
   Maestro Edge Firmware,3.0.3.2,00012.789840,B6_24,5,0.29256
   Maestro Edge BioCore Version,4B,00013.103120,B2_31,6,0.10544
,,00013.124080,B6_21,5,0.14192
AxIS Batch Process,,00013.168400,B2_32,7,0.2948
   AxIS Version,3.0.3.2,00013.376480,D4_43,5,0.13304
   File Name,o.n experimet read 2.raw,00013.332800,D4_32,7,0.1788
   Plate Type,BioCircuit MEA 24,00013.200880,D4_21,10,0.25936
   Requested File Section,0s to 10m0s,00013.673040,A4_41,5,0.13248
   Actual File Section Run,0s to 10m0s,00012.322960,B6_23,39,1.57632
   Recording Offset from File Start,0s,00012.565360,B6_41,31,1.23168
,,00013.572240,A4_33,25,0.57512
Spike Detector Settings,,00015.068720,B6_41,5,0.30928
   Method,Adaptive Threshold Crossing,00015.102000,B6_23,15,0.43288
   Threshold,6,00015.140560,B6_21,13,0.328
   Threshold Status,Variable,00016.235040,B2_32,9,0.19888
   Threshold Crossing Only,True,00016.202080,B6_23,14,0.28336
   Pre-Spike Duration,0.84 ms,00016.233280,B6_41,5,0.25272
   Post-Spike Duration,2.16 ms,00017.139520,A4_33,5,0.21688
   Coincident Event Filter,Default (Well),00017.738240,B3_22,7,0.04064
   Coincidence Occurrence Threshold,4 Electrodes,00017.458400,A4_33,8,0.2116
   Coincidence Event Window,160 µs,00018.652160,C1_21,6,0.08616
   Allow Sample Overlap,false,00018.644080,C1_11,24,0.16648
   Spike Count Interval,1 s,00018.651360,C1_22,10,0.15504
,,00018.664640,C1_23,6,0.07072
Burst Detector Settings,,00018.622640,C1_43,9,0.17624
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00018.640880,C1_42,12,0.12224
   Maximum Inter-Spike Interval,100 ms,00018.629120,D5_33,5,0.064
   Minimum Number of Spikes,5,00018.642160,B6_21,7,0.11824
   Enable Network Burst Detection,True,00019.589760,B2_31,7,0.15032
   Maximum Inter-Spike Interval (network bursts),100 ms,00021.256160,C3_12,10,0.05136
   Minimum Number of Spikes (network bursts),50,00021.276400,C3_22,8,0.11752
   Minimum Participating Electrodes (%),35,00021.263600,C3_14,14,0.10136
   Synchrony Window,20 ms,00021.094480,C3_24,22,0.23768
,,00021.252320,C3_43,12,0.04424
,,00022.290000,B2_31,6,0.2136
,,00023.730000,C6_41,5,0.04312
,,00024.643680,D4_43,8,0.14024
,,00024.654400,D4_32,8,0.13488
,,00024.572560,D4_21,10,0.1988
,,00025.133200,B2_31,6,0.10104
,,00025.835200,C1_21,12,0.05392
,,00025.794960,C1_24,6,0.07656
,,00025.819200,C1_11,33,0.272
,,00025.815920,C1_22,14,0.1348
,,00025.830800,C1_23,17,0.1468
,,00025.799600,C1_43,15,0.21824
,,00025.820240,C1_42,36,0.23592
,,00027.709360,C1_11,15,0.14424
,,00027.741680,C1_23,6,0.04872
,,00027.681040,C1_42,26,0.35864
,,00027.932720,A2_44,7,0.21256
,,00028.128800,D2_21,13,0.38072
,,00028.333200,D2_34,6,0.12832
,,00029.175040,D5_13,5,0.04448
,,00029.184320,D5_33,6,0.0756
,,00029.535120,D4_32,5,0.0512
,,00029.424320,D4_21,11,0.17824
,,00029.454320,D4_43,6,0.19704
,,00031.356240,D4_43,17,0.2228
,,00031.460480,D4_32,7,0.18496
,,00031.395760,D4_21,11,0.14544
,,00032.261200,D4_21,6,0.13368
,,00032.539680,B2_31,7,0.078
,,00032.305440,C5_13,10,0.15512
,,00032.418320,B1_14,32,0.27208
,,00032.515040,B1_43,16,0.17192
,,00033.455840,D5_13,5,0.05312
,,00033.476320,D5_33,6,0.08136
,,00033.878560,D4_21,7,0.17816
,,00034.646880,A6_23,6,0.07912
,,00034.669680,A6_24,8,0.17816
,,00034.767120,B2_32,9,0.28184
,,00036.800080,D2_31,8,0.17704
,,00036.697760,D2_23,27,0.31208
,,00036.766880,D2_21,34,0.88184
,,00036.738160,D2_34,37,0.86072
,,00037.743680,C3_12,7,0.08736
,,00037.779440,C3_22,11,0.19776
,,00038.363440,B2_31,5,0.14384
,,00038.653200,D2_34,5,0.1392
,,00038.702480,B6_21,8,0.17288
,,00038.617040,B6_23,9,0.32896
,,00038.952320,B6_41,5,0.23568
,,00039.383200,C3_12,5,0.04184
,,00039.559200,C3_22,5,0.05152
,,00039.393760,C3_43,6,0.03296
,,00038.530480,A3_34,53,1.07408
,,00039.631840,D2_21,9,0.29592
,,00040.199440,B3_22,10,0.15952
,,00040.228480,B3_32,5,0.07664
,,00040.763440,A3_34,15,0.35664
,,00042.724800,B2_41,5,0.08192
,,00042.645920,B2_31,11,0.13136
,,00042.694800,B2_11,6,0.08856
,,00042.622080,B2_32,10,0.35624
