Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.290160,B5_24,7,0.0676
Description,after infection overnight,00000.241680,B5_22,11,0.11824
,,00000.139840,A1_44,7,0.32624
Maestro Edge Settings,,00000.227680,B5_12,25,0.17896
   Original File Time,08/27/2020 09:32:59,00000.301280,B5_44,15,0.14744
   Sampling Frequency,12.5 kHz,00001.258880,B6_23,6,0.05456
   Voltage Scale,-5.48486178148311E-08 V/sample,00001.333680,D3_41,6,0.18488
   Experiment Start Time,08/25/2020 15:32:43,00001.392320,D3_33,7,0.21424
   Referencing Method,Median,00001.535440,A1_43,6,0.1844
   Analog Mode Setting,Neural Spikes,00001.606480,A4_33,7,0.07176
   Plate Type,BioCircuit MEA 24,00001.470080,D3_24,21,0.59936
   Digital Low Pass Filter,3 kHz Kaiser Window,00002.288080,A1_43,6,0.16352
   Digital High Pass Filter,200 Hz IIR,00002.283760,C3_22,6,0.13032
   Temperature Set Point,37.0 Degrees C,00007.410160,B5_12,12,0.23576
   Current Temperature,37.0 Degrees C,00007.409840,B5_22,7,0.26944
   Heater Power,On,00008.354160,B3_22,7,0.04384
   Barcode Plate Type,TwentyFourWellCircuit,00008.719440,C3_22,8,0.182
   Plate Serial Number,66-1901,00011.167200,B3_22,9,0.05848
   CO2 Conc. Set Point,5.0 %,00011.974320,A3_34,8,0.13016
   Actual CO2 Conc.,5.1 %,00013.073120,C3_22,6,0.13328
   Gas Mixer Status,Regulating,00013.320720,C3_22,5,0.14264
   AxIS Version,3.0.3.2,00013.730960,B3_22,11,0.13072
   Maestro Edge Firmware,3.0.3.2,00013.577040,B5_12,22,0.18856
   Maestro Edge BioCore Version,4B,00013.646480,B5_44,12,0.12784
,,00013.583440,B5_22,11,0.18872
AxIS Batch Process,,00013.878320,D1_22,7,0.15024
   AxIS Version,3.0.3.2,00014.165760,A4_33,8,0.15176
   File Name,o.n experimet read 21.raw,00015.082640,B3_22,6,0.06976
   Plate Type,BioCircuit MEA 24,00016.385040,A3_34,6,0.11696
   Requested File Section,0s to 10m0s,00016.810080,D1_42,7,0.20368
   Actual File Section Run,0s to 10m0s,00016.953760,C2_41,22,0.20208
   Recording Offset from File Start,0s,00017.262960,A1_43,12,0.30136
,,00017.261280,A1_44,6,0.24816
Spike Detector Settings,,00018.550400,C3_22,6,0.26232
   Method,Adaptive Threshold Crossing,00018.983200,C3_22,5,0.11168
   Threshold,6,00019.222080,B2_32,6,0.15688
   Threshold Status,Variable,00019.925520,D1_22,5,0.13696
   Threshold Crossing Only,True,00019.948320,D1_42,15,0.34512
   Pre-Spike Duration,0.84 ms,00020.909120,A6_14,5,0.13024
   Post-Spike Duration,2.16 ms,00021.041040,B3_22,42,0.52704
   Coincident Event Filter,Default (Well),00021.209680,B3_42,20,0.68248
   Coincidence Occurrence Threshold,4 Electrodes,00021.698160,B3_22,10,0.298
   Coincidence Event Window,160 µs,00022.211520,B3_22,5,0.04504
   Allow Sample Overlap,false,00022.434640,D3_24,5,0.2292
   Spike Count Interval,1 s,00022.834960,A1_43,6,0.11488
,,00022.998800,B3_44,8,0.26896
Burst Detector Settings,,00022.998480,B3_42,10,0.20696
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00022.427920,B3_22,70,1.05456
   Maximum Inter-Spike Interval,100 ms,00024.813280,D3_24,5,0.1252
   Minimum Number of Spikes,5,00023.892960,B3_22,55,2.17888
   Enable Network Burst Detection,True,00026.172320,B3_22,7,0.21816
   Maximum Inter-Spike Interval (network bursts),100 ms,00026.537120,B3_22,6,0.27528
   Minimum Number of Spikes (network bursts),50,00026.585520,B5_12,14,0.25168
   Minimum Participating Electrodes (%),35,00026.684240,B5_44,10,0.034
   Synchrony Window,20 ms,00026.617200,B5_22,8,0.16264
,,00026.725360,D5_41,7,0.16656
,,00026.925120,D3_24,7,0.17016
,,00026.826320,D5_33,5,0.08736
,,00026.750720,D5_43,5,0.16464
,,00026.954640,B3_22,6,0.20952
,,00027.134880,B6_23,5,0.17448
,,00027.697440,B5_12,13,0.29056
,,00027.797040,B5_22,6,0.13592
,,00027.893200,B3_22,6,0.2832
,,00028.269760,B6_21,7,0.12008
,,00028.167760,B6_23,11,0.23896
,,00028.600800,B6_41,7,0.29768
,,00029.006240,A3_34,6,0.0812
,,00028.278960,B6_24,19,0.67928
,,00028.535120,B6_23,28,0.86136
,,00029.554320,D2_21,5,0.03992
,,00030.241680,B6_23,17,0.48
,,00030.742240,B3_22,6,0.23768
,,00030.930800,B6_24,11,0.35832
,,00031.712000,B3_22,9,0.16224
,,00032.257840,A3_34,6,0.12024
,,00033.222800,A1_41,10,0.07528
,,00033.094560,A1_43,10,0.19032
,,00034.290160,B3_22,6,0.2284
,,00034.970560,B6_23,8,0.3068
,,00036.507280,C3_24,9,0.10472
,,00036.432960,C3_43,5,0.068
,,00036.968000,D3_24,5,0.12296
,,00036.980160,A3_34,7,0.13552
,,00037.013040,C3_22,10,0.29616
,,00037.097360,B5_12,23,0.24728
,,00037.193920,B5_22,6,0.11152
,,00037.711200,B3_22,5,0.08496
,,00037.697040,A3_34,15,0.51584
,,00039.258480,B5_22,5,0.05368
