Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.144320,A2_44,11,0.24888
Description,after infection overnight,00000.151200,B4_23,12,0.18408
,,00000.152400,B4_43,21,0.27792
Maestro Edge Settings,,00000.687520,C3_12,8,0.12072
   Original File Time,08/26/2020 11:32:59,00000.756320,C3_14,5,0.05952
   Sampling Frequency,12.5 kHz,00002.241120,D2_21,7,0.10208
   Voltage Scale,-5.48486178148311E-08 V/sample,00002.154000,A4_41,8,0.28536
   Experiment Start Time,08/25/2020 15:32:43,00002.900640,A1_43,5,0.108
   Referencing Method,Median,00003.082640,A1_41,6,0.17664
   Analog Mode Setting,Neural Spikes,00003.174240,A2_44,14,0.18472
   Plate Type,BioCircuit MEA 24,00003.651840,A1_43,13,0.34824
   Digital Low Pass Filter,3 kHz Kaiser Window,00004.408800,D6_33,7,0.23
   Digital High Pass Filter,200 Hz IIR,00004.954240,A2_44,10,0.12264
   Temperature Set Point,37.0 Degrees C,00005.548080,A1_12,7,0.14472
   Current Temperature,37.0 Degrees C,00005.601280,A1_44,10,0.23424
   Heater Power,On,00005.602960,A1_43,20,0.42376
   Barcode Plate Type,TwentyFourWellCircuit,00005.990880,A1_44,6,0.23576
   Plate Serial Number,66-1901,00006.344800,A2_44,10,0.18808
   CO2 Conc. Set Point,5.0 %,00006.662560,A1_43,5,0.18672
   Actual CO2 Conc.,5.1 %,00006.618160,D5_33,17,0.15672
   Gas Mixer Status,Regulating,00006.644640,D5_43,12,0.15624
   AxIS Version,3.0.3.2,00007.113520,B5_12,7,0.1036
   Maestro Edge Firmware,3.0.3.2,00007.396640,A1_43,6,0.23232
   Maestro Edge BioCore Version,4B,00008.062880,A2_44,11,0.20552
,,00008.289680,A1_43,5,0.144
AxIS Batch Process,,00009.618800,A2_44,12,0.2388
   AxIS Version,3.0.3.2,00009.451280,B6_23,5,0.20848
   File Name,o.n experimet read 10.raw,00010.950880,A2_44,8,0.2072
   Plate Type,BioCircuit MEA 24,00011.114320,A6_24,9,0.12416
   Requested File Section,0s to 10m0s,00013.106880,A2_44,5,0.17712
   Actual File Section Run,0s to 10m0s,00013.140480,B3_22,5,0.12296
   Recording Offset from File Start,0s,00013.816080,B5_12,7,0.13528
,,00013.977280,B5_44,11,0.04256
Spike Detector Settings,,00014.180560,C1_11,7,0.1052
   Method,Adaptive Threshold Crossing,00014.201680,C1_42,8,0.09056
   Threshold,6,00015.388800,A2_44,14,0.1776
   Threshold Status,Variable,00015.482080,D5_33,28,0.384
   Threshold Crossing Only,True,00015.501440,D5_43,15,0.27424
   Pre-Spike Duration,0.84 ms,00015.622880,D5_44,6,0.1004
   Post-Spike Duration,2.16 ms,00015.519120,D5_41,22,0.29568
   Coincident Event Filter,Default (Well),00015.600560,D5_34,18,0.32584
   Coincidence Occurrence Threshold,4 Electrodes,00016.355120,D3_24,5,0.11728
   Coincidence Event Window,160 µs,00018.744160,D1_42,5,0.1476
   Allow Sample Overlap,false,00018.947920,D3_33,5,0.09496
   Spike Count Interval,1 s,00018.881680,D3_24,7,0.15032
,,00019.157200,C1_21,7,0.11744
Burst Detector Settings,,00019.132080,C1_11,20,0.19736
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00019.159120,C1_22,16,0.12816
   Maximum Inter-Spike Interval,100 ms,00019.150320,C1_23,12,0.17904
   Minimum Number of Spikes,5,00019.140320,C1_42,31,0.26296
   Enable Network Burst Detection,True,00019.385920,B3_22,7,0.0796
   Maximum Inter-Spike Interval (network bursts),100 ms,00020.545920,A2_44,14,0.18248
   Minimum Number of Spikes (network bursts),50,00020.781280,C3_43,6,0.23784
   Minimum Participating Electrodes (%),35,00021.518480,D1_22,6,0.07208
   Synchrony Window,20 ms,00022.127840,D4_23,6,0.2256
,,00022.629600,A2_44,8,0.0828
,,00024.672000,D5_33,6,0.17192
,,00024.748400,A1_43,5,0.16032
,,00024.957040,A2_44,9,0.15976
,,00025.044000,B6_23,5,0.22488
,,00025.416480,A3_34,11,0.11128
,,00025.758240,B5_44,7,0.02904
,,00026.049920,B3_32,5,0.04432
,,00026.575040,D3_24,5,0.10216
,,00026.824640,A2_44,10,0.25408
,,00027.299040,A6_23,6,0.07712
,,00027.569920,B5_12,9,0.20288
,,00027.752960,B5_44,9,0.05592
,,00028.686960,D5_33,9,0.17504
,,00028.732160,D5_43,7,0.11968
,,00029.640720,A2_44,15,0.26136
,,00030.225760,C3_22,12,0.4584
,,00031.108400,A2_44,16,0.1816
,,00032.458800,D1_42,5,0.10936
,,00032.788080,C3_24,8,0.05488
,,00032.768240,C3_43,6,0.02464
,,00033.181200,B6_21,5,0.09824
,,00034.184560,B2_32,6,0.26328
,,00034.196960,C3_43,6,0.26304
,,00034.890400,A2_21,7,0.11024
,,00034.880240,A2_22,6,0.0956
,,00034.867600,D5_33,7,0.16936
,,00034.867040,A2_44,58,0.55304
,,00036.195440,A2_44,8,0.34544
,,00036.900080,B6_23,6,0.25632
,,00037.144800,A2_44,6,0.29616
,,00037.788160,A2_44,8,0.39528
,,00039.291680,B6_23,5,0.03744
,,00039.586880,A2_44,5,0.20904
,,00039.960080,A1_43,7,0.10144
,,00039.958480,A1_44,7,0.22704
,,00041.625360,B1_42,6,0.02328
,,00041.390400,D3_24,5,0.06544
,,00041.617760,B1_31,12,0.08424
,,00041.630640,B1_12,15,0.0952
,,00041.632320,B1_13,9,0.05904
,,00041.634160,B1_34,9,0.0496
,,00041.618160,B1_43,20,0.09888
