Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.556160,A3_34,9,0.17296
Description,after infection overnight,00002.302640,A1_43,5,0.182
,,00002.285040,A1_44,5,0.198
Maestro Edge Settings,,00003.371920,A3_34,9,0.21936
   Original File Time,08/26/2020 13:32:59,00005.100480,C3_12,5,0.05664
   Sampling Frequency,12.5 kHz,00005.151120,C3_24,5,0.01928
   Voltage Scale,-5.48486178148311E-08 V/sample,00006.205440,C1_21,11,0.16704
   Experiment Start Time,08/25/2020 15:32:43,00006.224560,C1_31,7,0.13136
   Referencing Method,Median,00006.211280,C1_11,25,0.13912
   Analog Mode Setting,Neural Spikes,00006.220800,C1_23,19,0.1176
   Plate Type,BioCircuit MEA 24,00006.186320,C1_43,9,0.1524
   Digital Low Pass Filter,3 kHz Kaiser Window,00006.220320,C1_22,16,0.22352
   Digital High Pass Filter,200 Hz IIR,00006.209680,C1_42,30,0.21456
   Temperature Set Point,37.0 Degrees C,00006.486560,A1_12,5,0.10568
   Current Temperature,37.0 Degrees C,00006.414960,A1_43,12,0.18648
   Heater Power,On,00006.413440,A1_44,8,0.19088
   Barcode Plate Type,TwentyFourWellCircuit,00007.414000,C1_11,9,0.32584
   Plate Serial Number,66-1901,00007.545040,C1_42,7,0.2636
   CO2 Conc. Set Point,5.0 %,00007.642480,B3_42,13,0.13368
   Actual CO2 Conc.,4.8 %,00007.627360,B3_22,20,0.27816
   Gas Mixer Status,Regulating,00008.039680,B3_22,5,0.07976
   AxIS Version,3.0.3.2,00007.710960,B3_44,12,0.39672
   Maestro Edge Firmware,3.0.3.2,00008.619680,A1_43,7,0.12496
   Maestro Edge BioCore Version,4B,00008.643840,A1_44,5,0.13208
,,00008.342320,B3_22,16,0.31816
AxIS Batch Process,,00009.473440,D5_33,12,0.14688
   AxIS Version,3.0.3.2,00009.468960,D5_43,11,0.17248
   File Name,o.n experimet read 11.raw,00009.338160,B3_42,26,0.52792
   Plate Type,BioCircuit MEA 24,00009.661680,B3_44,6,0.26264
   Requested File Section,0s to 10m0s,00008.942640,B3_22,75,1.2344
   Actual File Section Run,0s to 10m0s,00010.292320,D2_21,8,0.23912
   Recording Offset from File Start,0s,00010.593920,A1_43,7,0.25696
,,00011.556560,C3_12,9,0.1028
Spike Detector Settings,,00011.618880,C3_22,10,0.10328
   Method,Adaptive Threshold Crossing,00011.594000,C3_14,6,0.05608
   Threshold,6,00010.573600,B3_22,47,1.32464
   Threshold Status,Variable,00011.833120,C3_22,6,0.17536
   Threshold Crossing Only,True,00012.485840,D5_33,22,0.27232
   Pre-Spike Duration,0.84 ms,00012.524640,D5_34,13,0.2772
   Post-Spike Duration,2.16 ms,00012.630720,D5_43,19,0.11432
   Coincident Event Filter,Default (Well),00012.631040,D5_44,7,0.09944
