Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.044480,B3_22,9,0.20224
Description,after infection overnight,00003.070080,B3_22,10,0.16312
,,00003.216480,D6_33,12,0.23664
Maestro Edge Settings,,00003.344240,D6_32,9,0.18928
   Original File Time,08/26/2020 07:32:59,00003.801360,C3_12,8,0.13624
   Sampling Frequency,12.5 kHz,00003.836640,C3_24,14,0.10488
   Voltage Scale,-5.48486178148311E-08 V/sample,00003.828400,C3_43,6,0.10992
   Experiment Start Time,08/25/2020 15:32:43,00003.870240,B6_23,6,0.24688
   Referencing Method,Median,00003.841120,B6_21,5,0.18368
   Analog Mode Setting,Neural Spikes,00004.273920,B2_32,6,0.16528
   Plate Type,BioCircuit MEA 24,00005.094320,A5_13,5,0.1272
   Digital Low Pass Filter,3 kHz Kaiser Window,00006.176800,B3_22,12,0.19216
   Digital High Pass Filter,200 Hz IIR,00007.624800,B2_32,6,0.076
   Temperature Set Point,37.0 Degrees C,00008.393040,D6_33,6,0.14664
   Current Temperature,37.0 Degrees C,00009.192480,B6_13,6,0.09024
   Heater Power,On,00009.089440,B6_23,7,0.12976
   Barcode Plate Type,TwentyFourWellCircuit,00009.135600,B6_21,8,0.12096
   Plate Serial Number,66-1901,00009.248160,B3_22,9,0.15448
   CO2 Conc. Set Point,5.0 %,00009.488000,B6_41,8,0.37872
   Actual CO2 Conc.,5.0 %,00009.762320,B6_23,7,0.39512
   Gas Mixer Status,Regulating,00011.571520,C3_12,9,0.06712
   AxIS Version,3.0.3.2,00011.587840,C3_14,10,0.042
   Maestro Edge Firmware,3.0.3.2,00011.586320,C3_24,7,0.02392
   Maestro Edge BioCore Version,4B,00011.566800,C3_43,8,0.03776
,,00011.105920,B6_23,14,0.38832
AxIS Batch Process,,00011.254400,B6_41,10,0.48008
   AxIS Version,3.0.3.2,00011.618800,C3_22,17,0.54264
   File Name,o.n experimet read 8.raw,00013.934000,A1_41,17,0.15192
   Plate Type,BioCircuit MEA 24,00016.129840,A1_41,7,0.12968
   Requested File Section,0s to 10m0s,00016.095280,A1_12,8,0.25616
   Actual File Section Run,0s to 10m0s,00015.885680,A1_44,10,0.34296
   Recording Offset from File Start,0s,00015.962960,A1_43,20,0.55496
,,00016.329360,A1_44,6,0.18488
Spike Detector Settings,,00016.922240,D2_31,7,0.11504
   Method,Adaptive Threshold Crossing,00016.914400,D2_23,19,0.32
   Threshold,6,00017.296880,A1_43,5,0.12848
   Threshold Status,Variable,00016.951600,D2_34,36,0.69016
   Threshold Crossing Only,True,00016.954320,D2_21,27,0.76592
   Pre-Spike Duration,0.84 ms,00017.889840,D2_21,5,0.0592
   Post-Spike Duration,2.16 ms,00019.076720,D2_34,6,0.1764
   Coincident Event Filter,Default (Well),00019.084640,D5_13,5,0.06768
   Coincidence Occurrence Threshold,4 Electrodes,00019.087840,D5_33,10,0.08512
   Coincidence Event Window,160 µs,00019.048160,D5_43,8,0.11824
   Allow Sample Overlap,false,00019.055520,D5_41,7,0.16888
   Spike Count Interval,1 s,00020.016400,D2_21,6,0.28472
,,00021.161440,C3_24,6,0.04128
Burst Detector Settings,,00021.333280,C3_22,7,0.17696
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00022.773040,D2_21,6,0.08744
   Maximum Inter-Spike Interval,100 ms,00023.274960,C3_12,5,0.0556
   Minimum Number of Spikes,5,00023.305600,C3_14,5,0.03296
   Enable Network Burst Detection,True,00023.270160,C3_24,12,0.06416
   Maximum Inter-Spike Interval (network bursts),100 ms,00023.891040,D1_42,12,0.35368
   Minimum Number of Spikes (network bursts),50,00024.392240,D1_42,8,0.18544
   Minimum Participating Electrodes (%),35,00025.070240,D2_21,7,0.14704
   Synchrony Window,20 ms,00024.767200,C2_41,25,0.44056
,,00025.423440,B5_12,16,0.17192
,,00025.496320,B5_44,10,0.06096
,,00025.450480,B5_22,10,0.1264
,,00026.060160,C2_41,8,0.2256
,,00026.736720,C4_42,6,0.162
,,00027.180000,D1_22,14,0.186
,,00027.500560,A2_44,28,0.338
,,00027.437120,A4_33,8,0.24632
,,00028.064960,A4_33,7,0.28376
,,00028.014320,A5_13,7,0.3056
,,00028.985840,C3_24,10,0.11448
,,00029.207200,A4_41,11,0.29072
,,00031.006480,A2_44,17,0.19264
,,00031.240400,A4_41,6,0.0612
,,00031.252000,A4_33,13,0.24392
,,00031.800000,B3_22,5,0.03576
,,00032.002480,A6_23,8,0.1544
,,00032.017360,A6_24,11,0.24872
,,00033.072960,B6_23,6,0.2324
,,00033.552240,B1_14,19,0.21088
,,00033.897520,A3_32,6,0.0876
,,00033.960720,A4_33,15,0.5592
,,00034.579760,A2_44,7,0.18272
,,00034.755680,C3_12,6,0.09776
,,00034.792640,C3_14,5,0.06264
,,00034.874000,C3_22,6,0.17728
,,00033.873680,A3_34,53,1.21472
,,00035.217920,B4_31,5,0.07872
,,00035.321920,B4_43,6,0.14128
,,00036.921280,A1_44,5,0.14136
,,00037.307120,D1_22,9,0.08336
,,00037.555440,C3_22,6,0.17768
,,00038.084640,A2_44,7,0.11808
,,00039.015760,B1_14,35,0.20592
,,00039.039360,B1_43,12,0.11272
,,00039.697840,A5_13,6,0.25376
,,00040.528640,B4_43,9,0.08944
,,00041.385360,A3_34,5,0.05768
,,00042.040400,B3_22,6,0.048
,,00042.404640,A2_44,13,0.25208
,,00044.009520,C5_32,7,0.13872
,,00044.550560,B1_21,5,0.03968
,,00044.508400,B1_31,9,0.09496
,,00044.538320,B1_12,8,0.0908
,,00044.531680,B1_13,8,0.08744
,,00044.520960,B1_43,29,0.25744
,,00045.204320,D2_21,11,0.18688
,,00045.191760,A2_44,21,0.27184
,,00044.479920,B1_14,70,1.2484
,,00048.118480,D5_13,7,0.15992
,,00048.214480,D5_44,7,0.06904
,,00048.076640,D5_41,30,0.29312
,,00048.113760,D5_33,31,0.50752
,,00048.201040,D5_34,16,0.21872
,,00048.119520,D5_43,21,0.29752
,,00048.751040,B1_14,9,0.2592
,,00051.986080,C3_24,5,0.04072
,,00052.349280,A5_13,6,0.1616
,,00052.738480,A5_13,9,0.41096
,,00053.740720,D1_42,5,0.1708
,,00055.881680,B3_22,10,0.25248
,,00056.064240,A2_44,5,0.10952
,,00056.185760,A3_34,12,0.1344
,,00056.320080,B6_23,8,0.41896
,,00056.641200,D4_23,6,0.3308
,,00057.049040,B4_23,8,0.24768
,,00057.042800,B4_43,10,0.20904
,,00057.447520,B4_43,5,0.17504
,,00057.425200,B4_31,10,0.13704
,,00057.638480,D5_13,6,0.11512
,,00057.580560,D5_33,14,0.13592
,,00057.625280,D5_34,5,0.06432
,,00057.601680,D5_43,11,0.1328
,,00057.586880,D5_41,11,0.1368
,,00058.333200,B4_43,5,0.13448
,,00058.935280,B2_31,7,0.17928
,,00058.976960,B2_32,10,0.19528
,,00059.671600,B1_14,31,0.39008
,,00059.922000,B1_43,15,0.12672
,,00061.058160,D5_13,5,0.0292
,,00061.020240,D5_33,13,0.12456
,,00061.034960,D5_43,8,0.07648
,,00061.018880,D5_41,6,0.1236
,,00061.228000,A1_41,11,0.13472
