Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.271840,B5_13,5,0.12376
Description,after infection overnight,00000.269760,B5_12,29,0.26616
,,00000.312720,B5_44,9,0.10096
Maestro Edge Settings,,00000.289440,B5_22,12,0.13512
   Original File Time,08/27/2020 03:32:59,00000.740720,D2_34,6,0.09784
   Sampling Frequency,12.5 kHz,00002.438480,D2_21,6,0.09416
   Voltage Scale,-5.48486178148311E-08 V/sample,00003.055920,C3_24,17,0.1668
   Experiment Start Time,08/25/2020 15:32:43,00003.667200,A1_43,6,0.11136
   Referencing Method,Median,00004.508960,D3_41,5,0.02624
   Analog Mode Setting,Neural Spikes,00004.514960,D3_33,6,0.0928
   Plate Type,BioCircuit MEA 24,00004.503280,D3_24,16,0.31488
   Digital Low Pass Filter,3 kHz Kaiser Window,00004.723120,A3_34,7,0.17896
   Digital High Pass Filter,200 Hz IIR,00004.933200,D3_24,11,0.31048
   Temperature Set Point,37.0 Degrees C,00005.535440,D2_21,7,0.16816
   Current Temperature,37.0 Degrees C,00006.149440,D3_24,6,0.18048
   Heater Power,On,00006.641520,B3_22,5,0.11232
   Barcode Plate Type,TwentyFourWellCircuit,00006.734560,A5_24,5,0.14488
   Plate Serial Number,66-1901,00007.125520,A1_44,5,0.25032
   CO2 Conc. Set Point,5.0 %,00010.239680,D2_21,5,0.0192
   Actual CO2 Conc.,5.2 %,00010.480160,B5_12,16,0.16328
   Gas Mixer Status,Regulating,00010.472720,B5_42,5,0.07704
   AxIS Version,3.0.3.2,00010.546880,B5_44,9,0.07864
   Maestro Edge Firmware,3.0.3.2,00010.482160,B5_22,8,0.16224
   Maestro Edge BioCore Version,4B,00010.852160,B2_32,5,0.1408
,,00011.517840,C3_24,19,0.13192
AxIS Batch Process,,00011.522160,C3_43,12,0.10144
   AxIS Version,3.0.3.2,00011.505840,C3_12,8,0.16192
   File Name,o.n experimet read 18.raw,00011.571600,C3_22,6,0.10304
   Plate Type,BioCircuit MEA 24,00011.521920,C3_14,25,0.24192
   Requested File Section,0s to 10m0s,00011.843920,C2_41,15,0.18368
   Actual File Section Run,0s to 10m0s,00012.098640,D1_42,7,0.23112
   Recording Offset from File Start,0s,00012.750800,B3_22,10,0.05472
,,00012.796640,C3_43,22,0.33704
Spike Detector Settings,,00013.013440,C3_12,6,0.25968
   Method,Adaptive Threshold Crossing,00012.378000,C3_24,49,0.84624
   Threshold,6,00013.758080,D3_24,5,0.13944
   Threshold Status,Variable,00015.524000,A2_44,6,0.1148
   Threshold Crossing Only,True,00016.546080,B5_13,7,0.14992
   Pre-Spike Duration,0.84 ms,00016.565440,B5_11,5,0.21448
   Post-Spike Duration,2.16 ms,00016.525760,B5_22,12,0.1648
   Coincident Event Filter,Default (Well),00016.527040,D5_33,13,0.19112
   Coincidence Occurrence Threshold,4 Electrodes,00016.594320,D5_34,6,0.23544
