Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.102400,D3_24,5,0.07328
Description,after infection overnight,00001.076320,B3_22,7,0.1184
,,00001.961760,A2_44,8,0.16696
Maestro Edge Settings,,00002.388880,A1_41,13,0.1152
   Original File Time,08/26/2020 15:32:59,00002.289120,A1_43,6,0.19904
   Sampling Frequency,12.5 kHz,00002.821200,A3_32,5,0.03648
   Voltage Scale,-5.48486178148311E-08 V/sample,00002.786080,A3_34,15,0.15584
   Experiment Start Time,08/25/2020 15:32:43,00003.310480,B6_23,11,0.328
   Referencing Method,Median,00003.403200,B6_24,6,0.05664
   Analog Mode Setting,Neural Spikes,00003.320400,B6_21,10,0.13416
   Plate Type,BioCircuit MEA 24,00003.388640,B6_41,7,0.1684
   Digital Low Pass Filter,3 kHz Kaiser Window,00003.750400,A3_34,5,0.1148
   Digital High Pass Filter,200 Hz IIR,00003.678960,B6_41,6,0.22792
   Temperature Set Point,37.0 Degrees C,00004.563120,B3_22,7,0.12216
   Current Temperature,37.0 Degrees C,00004.906080,B1_14,11,0.13496
   Heater Power,On,00004.738240,A2_44,14,0.17832
   Barcode Plate Type,TwentyFourWellCircuit,00004.172880,B6_23,31,0.77344
   Plate Serial Number,66-1901,00006.151280,B3_22,7,0.09976
   CO2 Conc. Set Point,5.0 %,00006.476560,A4_41,5,0.03064
   Actual CO2 Conc.,5.0 %,00006.422560,B6_13,6,0.19888
   Gas Mixer Status,Regulating,00006.486320,B6_21,7,0.10776
   AxIS Version,3.0.3.2,00006.395200,B6_41,7,0.22656
   Maestro Edge Firmware,3.0.3.2,00006.503360,B6_14,12,0.38856
   Maestro Edge BioCore Version,4B,00006.497680,B6_24,10,0.31576
,,00006.427600,B6_23,23,0.48776
AxIS Batch Process,,00007.225440,B6_23,6,0.1844
   AxIS Version,3.0.3.2,00009.265520,D3_24,15,0.33776
   File Name,o.n experimet read 12.raw,00009.337680,B6_23,5,0.17288
   Plate Type,BioCircuit MEA 24,00009.261680,B6_41,5,0.24472
   Requested File Section,0s to 10m0s,00009.576640,A2_44,10,0.26088
   Actual File Section Run,0s to 10m0s,00010.293520,C3_12,5,0.15688
   Recording Offset from File Start,0s,00010.340880,C3_14,5,0.11472
,,00011.293120,A4_41,6,0.09808
Spike Detector Settings,,00011.373120,D2_23,9,0.13128
   Method,Adaptive Threshold Crossing,00012.252880,D3_24,6,0.13696
   Threshold,6,00012.023120,C3_43,6,0.23936
   Threshold Status,Variable,00012.478640,B1_14,19,0.24424
   Threshold Crossing Only,True,00012.546000,D2_21,13,0.29696
   Pre-Spike Duration,0.84 ms,00012.764960,A2_44,14,0.13344
   Post-Spike Duration,2.16 ms,00013.874640,C3_22,5,0.13904
   Coincident Event Filter,Default (Well),00014.276400,A2_44,13,0.19536
   Coincidence Occurrence Threshold,4 Electrodes,00015.995760,A2_44,9,0.18224
   Coincidence Event Window,160 µs,00017.886880,C3_12,6,0.09456
   Allow Sample Overlap,false,00017.888160,C3_14,14,0.07568
   Spike Count Interval,1 s,00017.889840,C3_24,11,0.11248
,,00017.851600,C3_43,13,0.0928
Burst Detector Settings,,00018.321040,B2_32,8,0.32888
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00019.427680,A2_44,9,0.18296
   Maximum Inter-Spike Interval,100 ms,00019.744640,B3_22,5,0.09952
   Minimum Number of Spikes,5,00019.947680,B3_22,6,0.11872
   Enable Network Burst Detection,True,00021.384400,B6_23,8,0.18472
   Maximum Inter-Spike Interval (network bursts),100 ms,00021.405440,B6_21,5,0.018
   Minimum Number of Spikes (network bursts),50,00022.147920,A2_22,5,0.05624
   Minimum Participating Electrodes (%),35,00023.175040,D2_21,5,0.13224
   Synchrony Window,20 ms,00023.243840,B3_22,13,0.09968
,,00023.287840,B3_42,5,0.01952
,,00021.985120,A2_44,77,1.42744
,,00026.502320,A1_41,5,0.07576
,,00026.523120,A1_43,10,0.12864
,,00026.340720,A2_44,11,0.41624
,,00027.780320,B3_22,12,0.29552
,,00027.902080,D1_42,11,0.26128
,,00030.254720,A2_44,5,0.1872
,,00030.309440,C3_43,6,0.18344
,,00031.510720,B3_22,14,0.22808
,,00031.900640,C3_22,5,0.23472
,,00031.851040,C3_24,5,0.07128
,,00032.248320,C3_22,6,0.0976
,,00032.836480,D1_22,7,0.13456
,,00033.649360,D2_23,13,0.1848
,,00034.387120,C1_11,13,0.14424
,,00034.414480,C1_23,10,0.10512
,,00034.443040,C1_43,5,0.10024
,,00034.427200,C1_42,15,0.14952
,,00034.766640,C6_41,6,0.17344
,,00035.302080,D3_24,5,0.16728
,,00035.997120,A2_44,8,0.43864
,,00036.655360,B3_22,17,0.1692
,,00036.654080,B3_42,6,0.14488
,,00037.794080,B3_22,14,0.24928
,,00037.871680,B3_32,6,0.1776
,,00037.820480,D3_24,22,0.73488
,,00038.940240,A1_41,5,0.05664
,,00038.957440,A1_12,5,0.07096
,,00038.841040,A1_43,8,0.18912
,,00038.948640,A1_44,5,0.07952
,,00039.559360,B5_12,16,0.268
,,00039.677520,B5_13,5,0.15488
,,00040.928080,A4_41,7,0.13624
,,00041.206320,C3_12,8,0.09816
,,00041.268800,C3_14,5,0.04992
,,00041.232080,C3_24,5,0.08712
,,00040.973760,C3_43,5,0.22152
,,00041.675040,C3_22,6,0.13536
,,00041.962640,D3_24,8,0.14712
,,00041.807760,B3_22,10,0.21056
,,00043.378480,D3_24,18,0.58704
,,00045.252960,C1_22,5,0.05744
,,00045.144320,C1_42,13,0.18096
,,00045.210160,C3_43,5,0.15664
,,00045.082000,B3_42,16,0.27656
,,00044.990800,B3_22,28,0.4472
,,00045.478240,B5_24,10,0.16088
,,00045.472880,B5_42,5,0.06384
,,00045.454800,B5_22,10,0.16184
,,00045.141840,B3_44,26,0.67568
,,00045.536080,B5_11,7,0.266
,,00045.491200,B5_23,8,0.33744
,,00045.507440,B5_44,38,0.26184
,,00045.538000,B3_22,23,0.39984
,,00045.749040,B5_24,9,0.3244
,,00045.871360,B5_44,6,0.08904
,,00045.444320,B5_12,60,0.74864
,,00046.070560,B5_44,16,0.102
,,00046.330960,B5_12,6,0.2096
,,00046.083120,B3_22,43,1.00864
,,00047.968720,B6_21,5,0.16128
,,00048.125040,D3_24,5,0.12832
,,00048.659600,D2_21,5,0.22608
