Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.815840,B2_32,6,0.13224
Description,after infection overnight,00001.185520,A1_41,5,0.05328
,,00001.339040,D2_21,5,0.1712
Maestro Edge Settings,,00001.713120,A1_41,19,0.37272
   Original File Time,08/27/2020 07:32:59,00001.760800,A1_44,8,0.20864
   Sampling Frequency,12.5 kHz,00002.156720,B2_32,6,0.14512
   Voltage Scale,-5.48486178148311E-08 V/sample,00001.673840,A1_43,45,1.2572
   Experiment Start Time,08/25/2020 15:32:43,00003.520240,B1_31,6,0.07472
   Referencing Method,Median,00003.395440,A2_44,5,0.15544
   Analog Mode Setting,Neural Spikes,00003.504880,B1_43,20,0.20168
   Plate Type,BioCircuit MEA 24,00003.890400,B2_32,5,0.08936
   Digital Low Pass Filter,3 kHz Kaiser Window,00003.468160,B1_14,47,0.80648
   Digital High Pass Filter,200 Hz IIR,00005.247120,A1_43,5,0.13888
   Temperature Set Point,37.0 Degrees C,00005.015360,A2_44,8,0.17824
   Current Temperature,37.0 Degrees C,00005.304960,B6_23,6,0.0892
   Heater Power,On,00005.960640,B2_32,10,0.2472
   Barcode Plate Type,TwentyFourWellCircuit,00006.856880,C2_41,12,0.1648
   Plate Serial Number,66-1901,00007.297520,D2_21,7,0.14112
   CO2 Conc. Set Point,5.0 %,00008.619680,A2_44,17,0.19864
   Actual CO2 Conc.,4.9 %,00008.641200,B5_12,11,0.14576
   Gas Mixer Status,Regulating,00008.678160,B5_44,6,0.214
   AxIS Version,3.0.3.2,00008.641760,B5_22,9,0.14624
   Maestro Edge Firmware,3.0.3.2,00009.853920,A2_44,5,0.17856
   Maestro Edge BioCore Version,4B,00010.200480,B3_22,14,0.1388
,,00010.731760,A2_44,9,0.39648
AxIS Batch Process,,00011.696640,A2_44,5,0.13
   AxIS Version,3.0.3.2,00013.652400,A2_44,7,0.17192
   File Name,o.n experimet read 20.raw,00014.383040,A2_44,6,0.13344
   Plate Type,BioCircuit MEA 24,00014.410560,A4_33,7,0.19216
   Requested File Section,0s to 10m0s,00015.088720,D2_21,7,0.17504
   Actual File Section Run,0s to 10m0s,00015.364880,A2_44,5,0.2252
   Recording Offset from File Start,0s,00015.567040,B2_32,10,0.29784
,,00017.485440,B3_22,12,0.27272
Spike Detector Settings,,00018.075040,A2_44,7,0.35144
   Method,Adaptive Threshold Crossing,00018.919360,C3_22,7,0.11264
   Threshold,6,00018.891840,C3_14,6,0.0304
   Threshold Status,Variable,00018.886400,C3_24,7,0.04344
   Threshold Crossing Only,True,00018.919440,C3_43,5,0.01504
