Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.344800,A2_44,10,0.22808
Description,after infection overnight,00001.095680,D3_24,11,0.12576
,,00001.672880,A2_44,9,0.20648
Maestro Edge Settings,,00001.546400,C3_12,7,0.12976
   Original File Time,08/26/2020 19:32:59,00001.617200,C3_14,6,0.0608
   Sampling Frequency,12.5 kHz,00001.529840,C3_43,9,0.12024
   Voltage Scale,-5.48486178148311E-08 V/sample,00001.843040,B3_22,13,0.14984
   Experiment Start Time,08/25/2020 15:32:43,00003.371120,B5_13,5,0.06088
   Referencing Method,Median,00003.327200,B5_23,7,0.14312
   Analog Mode Setting,Neural Spikes,00003.316640,B5_42,6,0.1092
   Plate Type,BioCircuit MEA 24,00003.333440,B5_22,8,0.14888
   Digital Low Pass Filter,3 kHz Kaiser Window,00003.327680,B5_12,63,0.75856
   Digital High Pass Filter,200 Hz IIR,00003.360480,B5_24,21,0.54056
   Temperature Set Point,37.0 Degrees C,00003.348560,B5_44,64,0.86144
   Current Temperature,37.0 Degrees C,00004.145440,B5_22,5,0.13064
   Heater Power,On,00004.304160,B6_23,9,0.19464
   Barcode Plate Type,TwentyFourWellCircuit,00004.575520,A2_44,6,0.12312
   Plate Serial Number,66-1901,00004.981440,B5_12,32,0.36896
   CO2 Conc. Set Point,5.0 %,00005.033360,B5_13,6,0.18592
   Actual CO2 Conc.,5.0 %,00005.158880,B5_44,27,0.15624
   Gas Mixer Status,Regulating,00005.036320,B5_22,14,0.23432
   AxIS Version,3.0.3.2,00005.989600,A1_43,5,0.11256
   Maestro Edge Firmware,3.0.3.2,00006.283680,B1_14,9,0.11624
   Maestro Edge BioCore Version,4B,00007.126640,A2_44,5,0.07016
,,00007.582400,C3_12,9,0.05232
AxIS Batch Process,,00007.624160,C3_14,7,0.02288
   AxIS Version,3.0.3.2,00007.590240,C3_43,6,0.04688
   File Name,o.n experimet read 14.raw,00007.613840,C3_24,11,0.0648
   Plate Type,BioCircuit MEA 24,00009.197120,A2_44,13,0.15712
   Requested File Section,0s to 10m0s,00010.008960,B5_13,5,0.11832
   Actual File Section Run,0s to 10m0s,00009.963040,B5_12,42,0.30072
   Recording Offset from File Start,0s,00010.031440,B5_11,5,0.31088
,,00010.084160,B5_44,17,0.10968
Spike Detector Settings,,00009.937920,B5_22,12,0.2708
   Method,Adaptive Threshold Crossing,00010.418240,B6_23,8,0.27336
   Threshold,6,00011.034720,A2_44,7,0.15568
   Threshold Status,Variable,00012.191760,D3_24,7,0.15616
   Threshold Crossing Only,True,00013.339200,D2_31,9,0.12768
   Pre-Spike Duration,0.84 ms,00013.345200,D2_23,18,0.22368
   Post-Spike Duration,2.16 ms,00013.402960,D2_21,21,0.42872
   Coincident Event Filter,Default (Well),00013.845120,A2_44,8,0.1472
   Coincidence Occurrence Threshold,4 Electrodes,00014.120240,B1_14,28,0.25872
   Coincidence Event Window,160 µs,00014.192480,B1_43,6,0.14152
   Allow Sample Overlap,false,00013.946080,D2_23,11,0.26928
   Spike Count Interval,1 s,00013.232400,D2_34,33,0.9316
,,00014.343120,D2_21,24,0.63016
Burst Detector Settings,,00014.728000,D2_34,11,0.37352
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00015.587520,D2_34,6,0.31352
   Maximum Inter-Spike Interval,100 ms,00016.358640,A1_43,5,0.12016
   Minimum Number of Spikes,5,00016.277600,D2_34,5,0.2792
   Enable Network Burst Detection,True,00016.335280,A2_44,8,0.18488
   Maximum Inter-Spike Interval (network bursts),100 ms,00016.476320,B5_12,16,0.16336
   Minimum Number of Spikes (network bursts),50,00016.500080,B5_24,5,0.06536
   Minimum Participating Electrodes (%),35,00016.554880,B5_44,8,0.06528
   Synchrony Window,20 ms,00016.500000,B5_22,7,0.118
,,00017.518000,D3_24,5,0.14392
,,00018.797280,A2_44,14,0.10616
,,00019.336640,D5_33,26,0.21856
,,00019.356080,D5_34,19,0.1952
,,00019.328400,D5_43,24,0.23672
,,00019.306640,D5_41,24,0.18808
,,00019.655840,D1_22,5,0.11328
,,00020.087520,B3_22,10,0.1248
,,00020.599440,A5_24,6,0.14368
,,00021.075600,A1_43,6,0.12848
,,00020.989600,A2_44,13,0.18648
,,00020.193280,A3_34,37,1.08496
,,00022.263920,C3_12,5,0.03832
,,00022.286320,C3_24,12,0.1184
,,00023.190800,A1_43,7,0.14112
,,00023.189440,A1_44,5,0.13672
,,00023.142240,C3_12,5,0.04416
,,00023.156720,C3_24,11,0.17624
,,00023.206160,C3_43,5,0.08664
,,00024.354560,D5_33,6,0.28616
,,00025.237040,A2_44,9,0.14024
,,00025.243760,B4_23,6,0.05336
,,00025.166720,B4_43,17,0.15472
,,00025.135520,B4_31,11,0.22024
,,00025.555920,B4_31,5,0.13272
,,00025.885760,A3_34,5,0.09256
,,00026.117520,B5_12,13,0.20368
,,00026.147760,B5_22,7,0.16808
,,00027.014240,D3_24,6,0.1188
,,00027.350400,A3_34,5,0.14784
,,00027.854320,A2_44,12,0.2236
,,00027.878080,C3_12,6,0.11392
,,00027.889600,C3_24,6,0.0552
,,00029.408800,A1_41,13,0.08664
,,00029.323920,A1_43,7,0.12424
,,00029.185280,A2_44,10,0.29784
,,00030.797440,D2_21,6,0.09128
,,00030.822720,A2_44,11,0.15792
,,00032.004080,A1_43,8,0.24696
,,00032.826160,A2_22,6,0.05368
,,00032.859760,A2_33,8,0.06072
,,00032.674240,A2_44,58,0.81272
,,00034.285360,C3_24,8,0.07168
,,00034.057280,C3_43,9,0.21408
,,00034.413040,A2_44,6,0.25656
,,00034.550320,C3_22,6,0.1884
,,00036.005600,D2_21,6,0.1208
,,00038.110160,D1_22,7,0.2256
,,00038.247840,D1_42,5,0.12896
,,00038.015040,A1_43,6,0.18464
,,00038.492480,C3_12,5,0.12232
,,00038.508800,C3_14,5,0.13176
,,00038.497200,C3_24,6,0.09456
,,00038.450720,C3_43,8,0.1248
,,00038.407120,A2_44,15,0.36288
,,00038.559040,C3_22,10,0.23256
,,00038.921040,C3_22,6,0.09728
,,00039.552000,A2_44,6,0.16712
,,00039.621200,B3_22,10,0.1204
,,00039.667520,B3_32,5,0.20008
,,00040.914560,D2_31,6,0.09056
,,00040.924640,D2_23,14,0.20064
,,00040.850400,B6_23,8,0.12992
,,00040.982480,D2_21,9,0.22416
,,00040.902640,D2_34,11,0.33944
,,00041.380240,B2_32,6,0.1796
,,00041.807280,A2_44,8,0.24856
,,00042.150800,C5_32,5,0.2028
,,00042.180480,D2_34,8,0.2248
,,00042.212720,D2_21,27,0.528
,,00043.074640,C3_12,5,0.03496
,,00043.102480,C3_24,10,0.1036
,,00043.900000,A2_44,10,0.3092
,,00044.478720,B6_23,7,0.1276
,,00044.584160,C3_43,6,0.20992
,,00045.204560,B3_22,7,0.0908
,,00045.206640,B3_32,5,0.17168
,,00047.312960,C1_21,17,0.10576
,,00047.324640,C1_11,13,0.09456
,,00047.324160,C1_22,14,0.09224
,,00047.309360,C1_23,19,0.32632
,,00047.321920,C1_42,23,0.19576
,,00047.622960,B6_23,9,0.1976
,,00047.707360,B6_21,5,0.1736
,,00047.791840,B6_41,7,0.34352
,,00048.359280,D1_22,5,0.09744
,,00049.315120,D1_22,6,0.06944
,,00049.944240,C3_24,15,0.15096
,,00051.444080,A6_24,15,0.31104
,,00053.146480,D1_22,5,0.1516
,,00053.793040,D2_21,7,0.11312
,,00054.029360,B6_23,8,0.16008
,,00055.339840,B6_23,8,0.06688
,,00055.342640,B6_21,10,0.17104
,,00056.231280,A2_44,5,0.12616
,,00055.970320,B6_23,11,0.38992
,,00055.376240,B6_41,18,0.8616
,,00056.572480,A2_22,6,0.0488
,,00056.511840,A2_44,22,0.1604
,,00056.595120,C3_24,7,0.0776
,,00056.970080,A2_44,18,0.69472
,,00058.315680,A5_24,6,0.21536
,,00058.898560,C5_32,8,0.16704
,,00059.772640,B5_12,16,0.20592
,,00059.768240,B5_13,6,0.15968
,,00059.878720,B5_44,12,0.10072
,,00059.797200,B5_22,10,0.16344
,,00061.464640,D1_22,5,0.10984
