Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.254960,B3_22,5,0.11824
Description,after infection overnight,00000.498720,B3_22,6,0.07816
,,00001.298160,B5_12,20,0.28976
Maestro Edge Settings,,00001.406160,B5_42,7,0.14064
   Original File Time,08/26/2020 21:32:59,00001.328400,B5_22,10,0.24152
   Sampling Frequency,12.5 kHz,00001.658400,B6_23,9,0.12768
   Voltage Scale,-5.48486178148311E-08 V/sample,00002.227680,D2_21,6,0.1676
   Experiment Start Time,08/25/2020 15:32:43,00003.341600,A1_41,5,0.07864
   Referencing Method,Median,00004.932320,B3_22,10,0.12392
   Analog Mode Setting,Neural Spikes,00005.303120,C3_43,5,0.01472
   Plate Type,BioCircuit MEA 24,00005.398480,C3_22,6,0.12176
   Digital Low Pass Filter,3 kHz Kaiser Window,00005.317760,C3_24,11,0.11296
   Digital High Pass Filter,200 Hz IIR,00005.674640,C3_22,7,0.15848
   Temperature Set Point,37.0 Degrees C,00005.550080,B5_12,22,0.1884
   Current Temperature,37.0 Degrees C,00005.610560,B5_44,5,0.04112
   Heater Power,On,00005.574480,B5_22,10,0.09328
   Barcode Plate Type,TwentyFourWellCircuit,00006.078400,A2_33,7,0.06264
   Plate Serial Number,66-1901,00006.094160,A2_43,5,0.0352
   CO2 Conc. Set Point,5.0 %,00006.062160,A2_22,7,0.08856
   Actual CO2 Conc.,5.0 %,00005.907600,B3_22,10,0.26112
   Gas Mixer Status,Regulating,00007.118640,B6_23,10,0.18192
   AxIS Version,3.0.3.2,00007.150240,B6_24,5,0.13144
   Maestro Edge Firmware,3.0.3.2,00007.128080,B6_21,10,0.14144
   Maestro Edge BioCore Version,4B,00007.123840,B6_41,5,0.06144
,,00006.030400,A2_44,67,1.55872
AxIS Batch Process,,00007.298800,B6_41,8,0.36448
   AxIS Version,3.0.3.2,00007.687360,B3_22,9,0.28664
   File Name,o.n experimet read 15.raw,00009.447840,B3_22,7,0.15032
   Plate Type,BioCircuit MEA 24,00011.386320,C5_32,9,0.1192
   Requested File Section,0s to 10m0s,00011.752320,D2_21,5,0.1328
   Actual File Section Run,0s to 10m0s,00011.724320,D1_42,5,0.23224
   Recording Offset from File Start,0s,00012.450320,C3_12,10,0.04464
,,00012.462400,C3_22,6,0.05496
Spike Detector Settings,,00012.444480,C3_24,13,0.07528
   Method,Adaptive Threshold Crossing,00012.422240,C3_43,17,0.0864
   Threshold,6,00012.521920,B5_22,8,0.12496
   Threshold Status,Variable,00012.461360,C3_14,24,0.28552
   Threshold Crossing Only,True,00012.815440,B3_22,10,0.03928
   Pre-Spike Duration,0.84 ms,00012.486000,B5_12,17,0.21808
   Post-Spike Duration,2.16 ms,00012.518560,B5_42,5,0.13664
   Coincident Event Filter,Default (Well),00012.643120,C3_12,18,0.46064
   Coincidence Occurrence Threshold,4 Electrodes,00013.027600,C3_43,8,0.05136
   Coincidence Event Window,160 µs,00012.836080,B3_42,8,0.16976
   Allow Sample Overlap,false,00013.084480,C3_22,13,0.41104
   Spike Count Interval,1 s,00012.982800,C3_24,36,0.63536
,,00014.794800,C3_12,5,0.05168
Burst Detector Settings,,00014.745360,C3_43,5,0.02712
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00014.938400,A2_44,12,0.20752
   Maximum Inter-Spike Interval,100 ms,00014.761280,C3_24,14,0.18592
   Minimum Number of Spikes,5,00015.041680,B5_22,5,0.09072
   Enable Network Burst Detection,True,00015.137120,B3_22,10,0.06656
   Maximum Inter-Spike Interval (network bursts),100 ms,00015.005520,B5_12,14,0.22112
   Minimum Number of Spikes (network bursts),50,00015.587200,B6_23,8,0.2124
