Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.286400,C3_12,6,0.08808
Description,after infection overnight,00000.285120,C3_14,5,0.11176
,,00000.319040,C3_43,7,0.04904
Maestro Edge Settings,,00000.317040,C3_24,7,0.09048
   Original File Time,08/26/2020 17:32:59,00000.685200,D5_41,10,0.20176
   Sampling Frequency,12.5 kHz,00000.803680,D1_42,11,0.2116
   Voltage Scale,-5.48486178148311E-08 V/sample,00000.705360,D5_33,26,0.29064
   Experiment Start Time,08/25/2020 15:32:43,00000.770320,D5_34,5,0.18368
   Referencing Method,Median,00000.707600,D5_43,14,0.28104
   Analog Mode Setting,Neural Spikes,00000.769760,D3_24,26,0.55936
   Plate Type,BioCircuit MEA 24,00001.156080,A4_33,5,0.09536
   Digital Low Pass Filter,3 kHz Kaiser Window,00001.404720,D1_22,6,0.21824
   Digital High Pass Filter,200 Hz IIR,00001.215120,A2_44,13,0.30736
   Temperature Set Point,37.0 Degrees C,00001.171920,D1_42,12,0.54672
   Current Temperature,37.0 Degrees C,00001.965920,D1_22,16,0.47144
   Heater Power,On,00003.109280,B3_22,17,0.34664
   Barcode Plate Type,TwentyFourWellCircuit,00003.386800,B3_44,5,0.1484
   Plate Serial Number,66-1901,00003.211120,B3_42,12,0.194
   CO2 Conc. Set Point,5.0 %,00003.876880,B5_12,18,0.22128
   Actual CO2 Conc.,5.0 %,00003.912720,B5_22,10,0.19328
   Gas Mixer Status,Regulating,00003.978560,D5_33,22,0.26904
   AxIS Version,3.0.3.2,00004.094800,D5_34,15,0.1492
   Maestro Edge Firmware,3.0.3.2,00004.020480,D5_43,15,0.17448
   Maestro Edge BioCore Version,4B,00003.944320,D5_41,20,0.29864
,,00006.645440,A1_43,5,0.0748
AxIS Batch Process,,00006.617840,A1_44,6,0.15096
   AxIS Version,3.0.3.2,00006.629600,C3_24,11,0.18896
   File Name,o.n experimet read 13.raw,00006.903680,D3_24,6,0.17792
   Plate Type,BioCircuit MEA 24,00009.913520,D3_24,8,0.16216
   Requested File Section,0s to 10m0s,00010.152560,D1_22,11,0.12672
   Actual File Section Run,0s to 10m0s,00009.960720,B1_14,24,0.28304
   Recording Offset from File Start,0s,00010.711440,A5_24,5,0.1212
,,00010.447840,B5_12,15,0.28784
Spike Detector Settings,,00010.538480,B5_13,7,0.13056
   Method,Adaptive Threshold Crossing,00010.605200,B5_44,14,0.08264
   Threshold,6,00010.540800,B5_22,8,0.14656
   Threshold Status,Variable,00010.486160,D5_33,12,0.17872
   Threshold Crossing Only,True,00010.643520,D5_34,6,0.12512
   Pre-Spike Duration,0.84 ms,00010.476960,D5_43,13,0.40696
   Post-Spike Duration,2.16 ms,00010.940320,D3_24,5,0.1652
   Coincident Event Filter,Default (Well),00012.213600,C3_12,7,0.082
   Coincidence Occurrence Threshold,4 Electrodes,00012.356240,C3_22,5,0.0984
   Coincidence Event Window,160 µs,00013.311360,D2_21,11,0.14544
   Allow Sample Overlap,false,00015.463360,D3_24,7,0.15528
   Spike Count Interval,1 s,00016.032160,A1_43,7,0.16408
,,00018.726080,B6_23,5,0.06936
Burst Detector Settings,,00018.688240,B6_41,5,0.20968
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00020.290400,C3_12,8,0.08288
   Maximum Inter-Spike Interval,100 ms,00020.287760,C3_14,6,0.1356
   Minimum Number of Spikes,5,00020.262080,C3_24,7,0.13832
   Enable Network Burst Detection,True,00020.584720,D2_21,6,0.1212
   Maximum Inter-Spike Interval (network bursts),100 ms,00020.841840,B3_22,7,0.04448
   Minimum Number of Spikes (network bursts),50,00021.203360,A2_44,24,0.27416
   Minimum Participating Electrodes (%),35,00021.436400,C3_43,5,0.17224
   Synchrony Window,20 ms,00021.767200,C3_12,14,0.08328
,,00021.784400,C3_22,13,0.1132
,,00021.759760,C3_24,25,0.24336
,,00021.733040,C3_43,22,0.1976
,,00021.760480,C3_14,44,0.48224
,,00022.154000,C3_12,28,0.46792
,,00022.296880,C3_43,20,0.26912
,,00022.487760,C3_22,11,0.244
,,00022.315680,C3_24,35,0.4996
,,00023.224720,C3_43,39,0.33488
,,00023.272480,B3_22,12,0.15736
,,00023.309280,B3_42,8,0.22424
,,00023.293760,C3_12,35,0.4928
,,00023.373760,C3_14,47,0.4056
,,00023.259360,C3_24,39,0.43608
