Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.182640,C1_21,6,0.10584
Description,after infection overnight,00000.192160,C1_11,23,0.17088
,,00000.178240,C1_22,14,0.1132
Maestro Edge Settings,,00000.170640,C1_23,19,0.18232
   Original File Time,08/26/2020 05:32:59,00000.139840,C1_43,10,0.25
   Sampling Frequency,12.5 kHz,00000.130160,B3_22,10,0.19352
   Voltage Scale,-5.48486178148311E-08 V/sample,00000.178480,C1_42,34,0.24888
   Experiment Start Time,08/25/2020 15:32:43,00001.438080,B3_22,11,0.20448
   Referencing Method,Median,00001.443600,B3_42,7,0.19752
   Analog Mode Setting,Neural Spikes,00001.903520,C1_11,5,0.10152
   Plate Type,BioCircuit MEA 24,00002.016800,C1_42,5,0.17456
   Digital Low Pass Filter,3 kHz Kaiser Window,00004.078400,A4_33,13,0.30792
   Digital High Pass Filter,200 Hz IIR,00004.791600,C3_24,8,0.02928
   Temperature Set Point,37.0 Degrees C,00004.640720,C3_43,6,0.15424
   Current Temperature,37.0 Degrees C,00004.835840,C3_22,6,0.20704
   Heater Power,On,00005.258480,B2_22,5,0.10584
   Barcode Plate Type,TwentyFourWellCircuit,00005.152160,B2_32,7,0.14424
   Plate Serial Number,66-1901,00005.999840,B2_31,16,0.4448
   CO2 Conc. Set Point,5.0 %,00006.500960,D1_22,8,0.15952
   Actual CO2 Conc.,4.8 %,00006.458000,D1_42,6,0.20536
   Gas Mixer Status,Regulating,00007.506720,A4_41,5,0.05072
   AxIS Version,3.0.3.2,00009.005680,A2_44,5,0.13448
   Maestro Edge Firmware,3.0.3.2,00009.711360,B3_22,5,0.13416
   Maestro Edge BioCore Version,4B,00009.737920,B3_32,5,0.11184
,,00009.846240,C3_43,5,0.16744
AxIS Batch Process,,00011.562160,D1_42,7,0.1472
   AxIS Version,3.0.3.2,00011.735520,D6_33,6,0.15824
   File Name,o.n experimet read 7.raw,00011.935520,B3_22,12,0.11552
   Plate Type,BioCircuit MEA 24,00011.964160,B3_42,11,0.08904
   Requested File Section,0s to 10m0s,00012.417440,A3_34,17,0.14208
   Actual File Section Run,0s to 10m0s,00012.419440,A3_44,5,0.0752
   Recording Offset from File Start,0s,00013.307600,B2_31,7,0.11312
,,00013.346320,B2_34,5,0.15232
Spike Detector Settings,,00013.267520,B2_32,9,0.30968
   Method,Adaptive Threshold Crossing,00013.979360,A3_34,8,0.13312
   Threshold,6,00014.520160,B3_22,9,0.05336
   Threshold Status,Variable,00014.534160,B3_42,6,0.10112
   Threshold Crossing Only,True,00015.903440,B2_32,5,0.13656
   Pre-Spike Duration,0.84 ms,00016.177840,A3_44,5,0.0652
   Post-Spike Duration,2.16 ms,00015.806960,A3_34,57,0.9696
   Coincident Event Filter,Default (Well),00017.153520,D4_21,5,0.18432
   Coincidence Occurrence Threshold,4 Electrodes,00017.311840,B3_22,9,0.21272
   Coincidence Event Window,160 µs,00017.341680,D4_32,5,0.10136
   Allow Sample Overlap,false,00019.050640,B3_22,8,0.26008
   Spike Count Interval,1 s,00019.180400,B3_32,5,0.13848
,,00019.933040,B5_12,51,0.46696
Burst Detector Settings,,00020.006480,B5_11,5,0.15176
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00019.994560,B5_23,9,0.18744
   Maximum Inter-Spike Interval,100 ms,00019.865760,B5_22,15,0.3016
   Minimum Number of Spikes,5,00020.468400,B3_32,6,0.1448
   Enable Network Burst Detection,True,00020.002160,B5_24,14,0.52376
   Maximum Inter-Spike Interval (network bursts),100 ms,00019.873600,B5_44,52,0.642
   Minimum Number of Spikes (network bursts),50,00020.465600,B3_22,8,0.2012
   Minimum Participating Electrodes (%),35,00020.506000,B5_12,8,0.20224
   Synchrony Window,20 ms,00021.196000,C3_24,7,0.05808
,,00021.744960,B2_31,5,0.07048
,,00021.738000,B2_32,10,0.14712
,,00023.053040,D3_33,5,0.07864
,,00022.827760,B3_22,9,0.08768
,,00023.064560,D3_41,8,0.17592
,,00023.056080,D3_22,8,0.20648
,,00023.632240,A1_41,16,0.11368
,,00023.642320,A1_12,9,0.1952
,,00023.641440,A1_43,9,0.18776
,,00023.629600,A1_44,8,0.27952
,,00024.875360,D3_24,8,0.34272
,,00025.134240,D3_42,8,0.2128
,,00027.359760,B1_14,16,0.28512
,,00028.112960,B5_12,15,0.25296
,,00028.194000,B5_13,5,0.106
,,00028.238000,B5_44,8,0.0308
,,00028.224800,B5_22,6,0.07704
,,00029.214000,A3_34,5,0.03736
,,00029.901360,B5_12,6,0.1808
,,00029.989440,B5_44,10,0.15848
,,00029.914560,B5_22,5,0.14776
,,00030.772160,B5_42,5,0.08136
,,00030.945520,B5_44,14,0.1236
,,00030.844960,B5_11,6,0.31512
,,00030.764560,B5_22,19,0.55224
,,00031.292240,A5_13,8,0.12512
,,00030.691520,B5_12,39,0.71872
,,00035.415200,B5_12,6,0.22616
,,00035.588480,B5_44,7,0.0224
,,00036.175680,A2_44,12,0.13296
,,00037.569920,C3_12,8,0.05792
,,00037.591600,C3_24,6,0.0224
,,00037.531680,A6_24,7,0.20704
,,00040.076320,A1_41,27,0.63304
,,00040.448480,A1_44,9,0.41592
,,00040.492960,A1_43,21,0.54432
,,00041.281440,A1_43,9,0.1896
,,00041.396160,D6_33,6,0.13912
,,00041.527760,D2_21,18,0.32552
,,00042.029680,A1_43,5,0.28344
,,00042.121600,B3_22,6,0.10624
,,00042.523360,D5_21,5,0.09896
,,00042.665680,B2_31,6,0.13368
,,00042.369120,D5_33,27,0.48912
,,00042.521840,D5_34,12,0.22744
,,00042.515600,D5_43,20,0.27064
,,00042.513760,D5_41,31,0.28568
,,00044.353760,D2_21,5,0.09864
,,00044.755760,B3_22,6,0.03096
,,00044.999200,A3_34,7,0.1012
,,00045.320880,A4_41,5,0.05696
,,00045.394160,C3_13,5,0.2156
,,00045.906480,D2_34,6,0.1752
,,00046.765200,B3_22,5,0.1044
,,00047.538640,C3_22,5,0.10016
,,00047.410640,C3_24,6,0.10592
,,00047.403360,C3_43,8,0.11208
,,00047.720080,B5_23,5,0.1376
,,00047.826000,B5_42,5,0.06584
,,00047.790800,B5_24,10,0.23024
,,00047.799680,B5_44,32,0.20016
,,00047.743520,B5_22,12,0.21888
,,00047.724400,B5_12,33,0.53696
,,00048.343360,D1_12,5,0.0768
,,00048.373920,D1_42,10,0.11968
,,00048.364480,D6_33,5,0.11872
,,00048.492720,A2_44,27,0.27656
,,00049.005440,B2_32,9,0.34832
,,00049.826560,B2_34,6,0.31048
,,00049.878640,B2_32,5,0.21904
,,00049.809840,B2_31,14,0.55632
,,00050.149360,B5_12,15,0.2496
,,00050.223840,B5_42,5,0.12904
,,00050.196800,B5_22,6,0.1696
,,00051.579440,A2_44,6,0.12688
,,00051.565680,B3_22,6,0.10368
,,00052.042640,B1_14,13,0.15952
,,00052.064560,B1_43,5,0.15448
,,00052.800640,A5_13,5,0.06528
,,00052.774240,B3_41,8,0.25856
,,00052.661440,B3_42,18,0.35312
,,00052.798160,B3_44,15,0.38264
,,00052.663920,B3_22,58,1.04008
,,00053.476960,A5_13,11,0.36544
,,00053.991280,D2_31,7,0.10568
,,00053.592960,A2_44,10,0.36896
,,00053.943760,C3_12,8,0.11296
,,00053.942080,C3_24,6,0.06168
,,00053.838800,B5_12,12,0.11816
,,00053.993840,D2_21,19,0.3476
,,00053.964480,D2_23,20,0.30944
,,00054.059920,C3_22,6,0.19664
,,00053.995200,D2_34,32,0.60312
,,00054.191920,B3_22,13,0.6116
,,00054.850560,D5_33,5,0.10056
,,00054.948080,B3_22,5,0.28304
,,00055.125440,A3_34,6,0.12064
,,00055.569120,C3_12,5,0.06856
,,00055.584960,C3_24,6,0.05056
,,00055.689520,D2_34,5,0.18232
,,00055.595920,C3_22,7,0.16048
,,00055.734800,B3_22,5,0.18944
,,00056.302080,A2_44,6,0.19456
,,00056.671120,D2_21,21,0.4212
,,00056.810320,D2_34,6,0.1728
,,00056.806720,B3_22,22,0.17
,,00056.839120,B3_42,6,0.10864
,,00059.070560,B1_21,5,0.05936
,,00059.061120,B1_31,9,0.06224
,,00059.072160,B1_12,6,0.0588
,,00059.055520,B1_32,5,0.02112
,,00059.023040,B1_42,7,0.08672
,,00059.032640,B1_43,33,0.20016
,,00059.040480,A2_44,9,0.24224
,,00058.993280,B1_14,63,0.60032
,,00059.407040,B3_22,10,0.14376
,,00059.188560,B5_12,14,0.29664
,,00059.236400,B5_22,10,0.21768
,,00059.754720,B1_14,8,0.2356
,,00060.100000,B1_14,31,0.52104
,,00060.274000,B1_43,5,0.16072
,,00061.009360,B3_22,10,0.1344
,,00060.827520,D6_33,14,0.28024
,,00060.863120,D6_32,14,0.17592
,,00062.410480,D5_13,5,0.12096
,,00062.441920,D5_33,7,0.07328
,,00062.434480,D5_43,5,0.13304
,,00062.470000,D5_41,5,0.09016
,,00062.913040,B6_41,5,0.24552
,,00063.163040,A2_44,11,0.28008
,,00065.994800,C3_12,7,0.12248
,,00066.067760,C3_14,7,0.03152
,,00066.064800,C3_24,7,0.05368
,,00065.667760,C4_42,6,0.2348
,,00066.058640,C3_22,19,0.29296
,,00067.239520,C3_12,5,0.09384
,,00067.221680,C3_43,7,0.02624
,,00067.262560,C3_22,15,0.2244
,,00067.977440,A3_34,12,0.11216
,,00068.660960,D5_43,6,0.25096
,,00069.601520,B5_12,5,0.11824
,,00071.082480,A2_44,10,0.3172
,,00073.397280,B3_22,12,0.12592
,,00077.159200,A2_21,6,0.10784
,,00077.155840,A2_33,8,0.07952
,,00076.878800,D4_21,14,0.33456
,,00076.914720,A2_44,60,1.14456
,,00077.931680,C3_22,5,0.07064
,,00078.644640,A2_44,10,0.33632
,,00079.435440,B2_32,8,0.26456
,,00080.211840,B2_31,13,0.4312
,,00082.298480,C6_22,5,0.13104
,,00083.438400,B6_23,7,0.0644
,,00083.427680,B6_24,5,0.06328
,,00083.410160,B6_21,11,0.13096
,,00083.380160,A2_44,13,0.47696
,,00083.748400,D5_13,7,0.22016
,,00083.967760,B6_23,10,0.47632
,,00084.676880,C3_43,5,0.1816
,,00083.464320,B6_41,36,1.33184
,,00084.478800,A2_44,10,0.42512
,,00086.468080,B6_23,20,0.58544
,,00087.246640,A1_41,10,0.11768
,,00087.119920,A1_43,5,0.1752
,,00087.045280,C3_12,9,0.10984
,,00086.680480,B6_41,13,0.69848
,,00087.369200,B1_31,6,0.13656
,,00087.429760,B1_12,7,0.13328
,,00087.279280,B1_43,29,0.31992
,,00087.231120,A1_22,6,0.19984
,,00087.132080,B1_14,58,0.75744
,,00089.575840,D4_21,6,0.11136
,,00090.179440,B4_23,20,0.13832
,,00090.197840,B4_44,7,0.14072
,,00090.237840,B4_31,5,0.14496
,,00090.502160,A2_21,6,0.084
