Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00001.646240,A4_33,9,0.20712
Description,after infection overnight,00001.809120,A5_24,6,0.20296
,,00004.980240,B6_23,5,0.11696
Maestro Edge Settings,,00007.499920,A3_34,6,0.16016
   Original File Time,08/27/2020 05:32:59,00008.106640,B6_23,10,0.0988
   Sampling Frequency,12.5 kHz,00008.091760,B6_21,11,0.1888
   Voltage Scale,-5.48486178148311E-08 V/sample,00009.091840,B2_34,5,0.1508
   Experiment Start Time,08/25/2020 15:32:43,00009.075840,B2_32,9,0.26024
   Referencing Method,Median,00009.663600,A1_41,7,0.08424
   Analog Mode Setting,Neural Spikes,00009.591840,A1_43,9,0.13664
   Plate Type,BioCircuit MEA 24,00009.590320,A1_44,5,0.13712
   Digital Low Pass Filter,3 kHz Kaiser Window,00010.665680,C3_14,5,0.0424
   Digital High Pass Filter,200 Hz IIR,00010.580800,C3_24,9,0.13976
   Temperature Set Point,37.0 Degrees C,00012.482160,B6_23,9,0.15408
   Current Temperature,37.0 Degrees C,00012.944800,B3_22,6,0.06408
   Heater Power,On,00013.794960,C2_41,22,0.15936
   Barcode Plate Type,TwentyFourWellCircuit,00014.158240,A1_43,7,0.202
   Plate Serial Number,66-1901,00014.231280,A1_44,5,0.12752
   CO2 Conc. Set Point,5.0 %,00014.198960,A3_34,5,0.1448
   Actual CO2 Conc.,4.6 %,00014.917360,B6_23,6,0.26968
   Gas Mixer Status,Regulating,00016.239120,D1_42,7,0.17736
   AxIS Version,3.0.3.2,00016.416640,C3_12,7,0.05984
   Maestro Edge Firmware,3.0.3.2,00016.446400,C3_24,20,0.1876
   Maestro Edge BioCore Version,4B,00017.590480,C3_12,10,0.0616
,,00017.603040,C3_22,6,0.116
AxIS Batch Process,,00017.585200,C3_24,18,0.12696
   AxIS Version,3.0.3.2,00017.558080,C3_43,19,0.12616
   File Name,o.n experimet read 19.raw,00017.564480,C3_14,42,0.35496
   Plate Type,BioCircuit MEA 24,00017.847200,B6_23,7,0.07256
   Requested File Section,0s to 10m0s,00017.864800,B6_21,10,0.18856
   Actual File Section Run,0s to 10m0s,00018.154320,C3_43,9,0.1532
   Recording Offset from File Start,0s,00017.757360,C3_12,30,0.83056
,,00018.051680,C3_24,35,0.56808
Spike Detector Settings,,00018.460240,A3_34,11,0.10656
   Method,Adaptive Threshold Crossing,00018.617600,C3_22,5,0.218
   Threshold,6,00019.853280,C3_12,7,0.16696
   Threshold Status,Variable,00019.956800,C3_14,5,0.03168
   Threshold Crossing Only,True,00019.941040,C3_24,6,0.04976
   Pre-Spike Duration,0.84 ms,00019.856160,C3_43,27,0.17992
   Post-Spike Duration,2.16 ms,00019.627280,A3_34,10,0.34768
   Coincident Event Filter,Default (Well),00021.030000,C3_12,5,0.03752
   Coincidence Occurrence Threshold,4 Electrodes,00021.031680,C3_24,5,0.1136
   Coincidence Event Window,160 µs,00020.996640,C3_43,11,0.13416
   Allow Sample Overlap,false,00021.714080,D2_31,8,0.18312
   Spike Count Interval,1 s,00021.767680,D2_21,17,0.35728
,,00021.714720,D2_23,21,0.18592
Burst Detector Settings,,00021.710080,D2_34,27,0.63376
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00022.695600,A1_43,10,0.14048
   Maximum Inter-Spike Interval,100 ms,00022.714400,A1_44,5,0.12024
   Minimum Number of Spikes,5,00023.087680,D2_21,5,0.2284
   Enable Network Burst Detection,True,00023.428960,C3_43,8,0.17688
   Maximum Inter-Spike Interval (network bursts),100 ms,00023.438160,D2_21,10,0.42616
   Minimum Number of Spikes (network bursts),50,00023.544960,C3_22,5,0.17232
   Minimum Participating Electrodes (%),35,00024.056800,B3_22,8,0.0524
   Synchrony Window,20 ms,00023.852240,A4_33,9,0.13248
,,00025.306480,C3_22,6,0.2016
,,00026.472080,D1_22,5,0.10448
,,00027.009280,B2_32,9,0.18528
,,00027.265920,C3_24,9,0.0508
,,00027.204080,C3_43,11,0.09328
,,00028.329440,B6_21,6,0.06016
,,00028.318320,B6_23,7,0.13328
,,00028.658000,B2_32,5,0.18344
,,00028.296880,B3_42,15,0.46056
,,00028.237680,B3_22,41,0.66528
,,00029.121120,A1_43,9,0.11592
,,00029.752000,B5_22,5,0.146
,,00029.690000,B3_22,14,0.27544
,,00029.971040,B5_42,5,0.08536
,,00029.952720,B5_44,5,0.06912
,,00029.750000,B5_12,16,0.44536
,,00030.017440,B5_22,7,0.14416
,,00031.050480,A3_34,10,0.16392
,,00032.330800,C3_43,7,0.03904
,,00032.358400,C3_24,6,0.08304
,,00033.255120,A3_34,5,0.13624
,,00033.822560,B2_34,6,0.1952
,,00033.767680,B2_32,7,0.15704
,,00034.825920,D2_21,6,0.0684
,,00034.991600,A1_43,6,0.08728
,,00035.362560,B2_32,5,0.18648
,,00035.781520,C3_24,15,0.08424
,,00035.701200,C3_43,8,0.09576
,,00036.281680,D2_21,5,0.14872
,,00037.512080,B5_22,8,0.08016
,,00037.495760,B5_12,10,0.18112
,,00038.739360,A1_41,7,0.09192
,,00038.653040,A1_43,6,0.04344
,,00038.778320,A1_22,6,0.26376
,,00038.892880,A3_34,8,0.12576
,,00039.357920,A1_41,6,0.11016
,,00039.288320,A1_44,8,0.38752
,,00039.204720,A1_43,45,1.12008
,,00040.433360,A1_43,9,0.4128
,,00040.682240,B2_32,6,0.21712
,,00041.453200,D2_21,5,0.04264
,,00041.483280,B6_23,5,0.03992
,,00042.697840,C3_24,8,0.07048
,,00043.450800,B3_22,12,0.26248
,,00044.011600,A3_34,8,0.10512
,,00045.231760,B2_34,9,0.35024
,,00045.123200,B2_32,10,0.32088
,,00046.594000,D2_21,6,0.13664
,,00047.150720,B2_11,5,0.11848
,,00047.131280,B2_32,6,0.14744
,,00047.586160,A1_43,6,0.11528
,,00048.976400,C3_24,7,0.08888
,,00048.995280,C3_43,5,0.0252
,,00049.004000,A3_34,8,0.10136
,,00049.340960,B5_12,10,0.22544
,,00049.383760,B5_22,5,0.1316
,,00049.519680,D1_42,5,0.186
,,00050.060480,C5_32,6,0.15816
,,00050.320800,B3_22,11,0.11816
,,00050.674720,A5_24,5,0.12104
,,00053.112240,A1_43,7,0.20424
,,00053.283760,D2_21,6,0.2176
,,00054.006160,C1_11,8,0.0952
,,00054.043040,C1_22,7,0.09568
,,00054.040960,C1_42,6,0.09232
,,00056.821520,B6_23,5,0.08088
,,00057.117360,B5_12,15,0.27504
,,00057.199520,B5_22,8,0.23456
,,00058.315840,C3_24,6,0.03616
,,00058.621840,B6_23,9,0.08872
,,00058.618400,B6_21,6,0.1208
,,00058.848800,D2_21,7,0.14344
,,00059.235840,C3_43,5,0.18864
,,00059.714960,D2_21,6,0.26552
,,00062.273040,C3_43,7,0.01816
,,00063.108160,D2_21,7,0.16056
,,00063.517440,B5_12,5,0.1364
,,00063.775680,B5_13,5,0.12056
,,00063.792720,B5_42,7,0.09456
,,00063.560160,B5_22,5,0.10032
,,00063.831600,B5_11,5,0.12472
,,00063.852560,B5_23,12,0.22416
,,00063.775680,B5_22,16,0.338
,,00064.111600,B3_22,5,0.13784
,,00063.796480,B5_24,26,0.45256
,,00064.311440,A4_33,7,0.14464
,,00063.817680,B5_44,105,0.80848
,,00064.885120,D2_21,8,0.17952
,,00064.702480,B5_22,8,0.29528
,,00063.772480,B5_12,153,1.54704
,,00064.731040,B5_44,42,0.58776
,,00066.552400,B5_12,20,0.4256
,,00067.191120,B5_12,10,0.08256
,,00067.476800,A1_41,7,0.07928
,,00067.371440,A1_22,6,0.27824
,,00067.742080,A4_33,11,0.21904
,,00068.344080,D5_33,7,0.13912
,,00068.446080,D5_34,5,0.0848
,,00068.317760,D5_43,7,0.18408
,,00068.297360,D5_41,9,0.23408
,,00068.645520,C3_12,11,0.1036
,,00068.688800,C3_22,6,0.1252
,,00068.656000,C3_14,22,0.228
,,00068.654160,C3_24,24,0.16008
,,00068.654720,C3_43,13,0.072
,,00068.850880,A2_44,11,0.13488
,,00069.549920,C3_43,5,0.09456
,,00069.428400,C3_24,21,0.35432
,,00070.026160,C3_24,6,0.11944
,,00070.117840,D2_21,6,0.1916
,,00071.069200,A2_44,7,0.17
,,00071.061440,B3_22,14,0.15168
,,00071.460320,C2_41,21,0.17816
,,00072.327040,C1_42,5,0.07024
,,00072.423920,B1_31,17,0.18488
,,00072.443520,B1_12,8,0.05984
,,00072.454880,B1_34,5,0.09136
,,00072.422640,B3_22,13,0.22016
,,00072.370960,B1_43,30,0.39208
,,00072.705600,B4_23,8,0.04656
,,00072.691280,B4_43,11,0.05448
,,00072.528080,B4_31,20,0.304
,,00073.076400,B4_31,5,0.17672
,,00073.263680,B5_12,15,0.33056
,,00073.313760,B5_22,6,0.11216
,,00072.370480,B1_14,104,1.36928
,,00073.599840,B6_23,6,0.19256
,,00074.309040,A1_43,5,0.07192
,,00074.203280,A1_44,6,0.23584
,,00077.389440,A2_44,6,0.0552
,,00078.348560,C3_12,8,0.06336
,,00078.370160,C3_14,15,0.14016
,,00078.308240,C3_24,14,0.11632
,,00078.352240,C3_43,13,0.07408
,,00079.094320,A3_34,12,0.22248
,,00079.731040,D2_21,6,0.09344
,,00079.500960,A3_34,18,0.58568
,,00080.447200,B3_22,9,0.11776
,,00081.116560,B6_23,7,0.12352
,,00082.352720,B3_22,14,0.18784
,,00083.395280,A2_44,8,0.11088
,,00083.552160,C3_24,8,0.08856
,,00083.777440,A6_24,7,0.22072
,,00085.479120,C3_22,6,0.19824
,,00085.666400,B3_22,6,0.0652
,,00087.091280,B1_14,6,0.1912
,,00090.498000,B3_22,8,0.0912
,,00090.928880,B5_12,18,0.15736
,,00090.918480,B5_42,5,0.11368
,,00091.028000,B5_44,6,0.05968
,,00090.933040,B5_22,11,0.13824
,,00091.037920,C3_12,10,0.11248
,,00091.126080,C3_22,6,0.12816
,,00091.128720,C3_14,12,0.09384
,,00091.107040,C3_24,18,0.12056
,,00091.069200,C3_43,10,0.09432
,,00092.481520,C5_32,5,0.15016
,,00093.491680,D2_21,10,0.1652
,,00094.717440,A1_41,12,0.11728
,,00094.672560,A1_43,7,0.14632
,,00095.275840,D2_21,5,0.14592
,,00095.286080,A4_33,7,0.17192
,,00095.935600,D1_22,5,0.03752
,,00098.188400,C3_12,6,0.03432
,,00098.132320,C3_24,17,0.12272
,,00098.072240,C3_43,9,0.15504
,,00098.521920,A1_43,7,0.18056
,,00099.023040,C1_21,6,0.0808
,,00099.003840,C1_42,6,0.11568
,,00099.011600,C1_22,9,0.14528
,,00099.017040,C1_23,5,0.15288
,,00099.116720,C3_43,5,0.20536
,,00101.327760,B3_22,8,0.05184
,,00101.557120,A1_41,12,0.1976
,,00101.578960,B6_23,9,0.14264
,,00102.386480,A1_41,11,0.17384
,,00102.410080,A1_44,14,0.4888
,,00102.440800,A1_43,24,0.7108
,,00103.008800,A1_44,5,0.14152
,,00103.240400,D2_34,5,0.10944
,,00103.257200,A1_43,12,0.4692
,,00103.447920,A1_44,6,0.22184
,,00103.891600,B3_22,9,0.04256
,,00105.187200,A1_43,5,0.17192
,,00105.593440,C3_43,7,0.04208
,,00105.602400,D1_22,10,0.15376
,,00105.632080,C3_24,8,0.05784
,,00106.437360,A6_14,5,0.1136
,,00107.139040,A2_22,5,0.08152
,,00107.620720,D2_21,5,0.20224
,,00107.049840,A2_44,33,0.65976
,,00107.995040,B3_32,5,0.1048
,,00107.952160,B3_22,14,0.25528
,,00108.230320,B5_13,5,0.16856
,,00108.295040,B5_24,5,0.04792
,,00108.246880,B5_12,21,0.29272
,,00108.288480,B5_44,21,0.1256
,,00108.276080,B5_22,9,0.17808
,,00108.753760,B6_23,6,0.18336
,,00111.479440,C3_43,9,0.11448
,,00111.344640,B3_22,9,0.2156
,,00111.497760,C3_24,17,0.15392
,,00112.687120,C2_41,15,0.30248
,,00114.932560,D3_41,6,0.06224
,,00114.839680,B3_22,14,0.168
,,00114.863680,B3_42,5,0.1728
,,00114.929920,D3_24,16,0.49848
,,00115.466400,B5_12,5,0.02712
,,00115.553200,D3_24,13,0.36784
,,00116.225760,A1_43,6,0.10936
,,00115.830640,A2_44,15,0.4036
,,00116.068640,C3_12,11,0.13624
,,00116.088080,C3_24,18,0.1552
,,00116.087440,C3_43,9,0.11648
,,00116.353920,A2_44,6,0.13712
,,00116.806480,D3_24,10,0.32384
,,00117.767200,B3_22,9,0.15688
,,00118.896000,D2_31,8,0.17336
,,00118.898240,D2_23,16,0.19792
,,00118.953280,D2_21,12,0.23848
,,00118.887280,D2_34,33,0.76688
,,00119.750960,D2_23,10,0.27088
,,00120.259760,B3_22,11,0.11976
,,00119.561680,D2_21,33,0.93872
,,00120.312720,D2_34,13,0.39416
,,00121.228960,D2_21,5,0.19768
,,00121.385680,A6_24,5,0.19912
,,00121.634640,C1_21,7,0.0936
,,00121.617120,C1_11,7,0.0964
,,00121.620000,C1_22,8,0.15848
,,00121.626720,C1_23,5,0.11216
,,00121.620640,C1_42,9,0.0848
,,00123.303920,C1_22,15,0.08928
,,00123.273120,C1_21,11,0.17592
,,00123.301200,C1_11,15,0.16584
,,00123.288480,C1_23,12,0.15888
,,00123.292480,C1_42,8,0.10992
,,00124.697680,B3_22,8,0.04136
,,00124.884640,B3_22,8,0.14472
,,00126.085680,D3_24,5,0.14208
,,00126.079440,B3_22,6,0.12752
,,00127.862320,C3_43,6,0.03432
,,00128.018880,A1_41,6,0.06416
,,00127.958400,A1_43,11,0.14912
,,00127.950880,A4_33,7,0.12344
,,00127.964800,A1_44,5,0.2004
,,00128.194960,D3_24,6,0.15624
,,00129.050560,C3_43,5,0.21584
,,00129.567440,B5_12,20,0.18104
,,00129.634880,B5_44,6,0.04744
,,00129.578320,B5_22,9,0.13
,,00129.781840,B6_23,7,0.21304
,,00131.093520,C5_32,6,0.2216
,,00131.404400,A2_44,5,0.12104
,,00131.669440,B3_22,10,0.14528
,,00132.861200,C3_24,6,0.06656
,,00133.561760,A1_43,5,0.15496
,,00133.211840,A2_44,18,0.44832
,,00133.782880,A2_44,23,0.52648
,,00135.630560,A1_43,10,0.19032
,,00135.634640,A1_44,5,0.18456
,,00136.004240,B3_22,13,0.19368
,,00137.563120,C3_24,16,0.10344
,,00137.685360,B3_22,7,0.14304
,,00137.727440,B6_23,5,0.04088
,,00138.634240,A2_44,5,0.11224
,,00139.920560,B6_23,5,0.16024
,,00142.041200,B5_12,12,0.10192
,,00142.067440,B5_22,6,0.05712
,,00141.726640,A6_24,8,0.26384
,,00141.836160,A2_44,15,0.32976
,,00142.067760,D3_24,5,0.18392
,,00143.296160,B3_22,5,0.04048
,,00143.123760,B6_23,8,0.1208
,,00143.145680,B6_24,5,0.10312
,,00143.419600,C3_12,5,0.05936
,,00143.480960,C3_24,7,0.05416
,,00143.994320,B3_22,7,0.09904
,,00143.949040,A1_43,10,0.288
,,00144.061520,A1_44,5,0.17368
,,00144.181280,B6_23,7,0.21128
,,00144.932000,C3_43,5,0.21672
,,00145.404480,D2_21,7,0.19104
,,00144.679600,A2_44,28,0.73376
,,00145.883920,D1_11,5,0.0532
,,00146.297680,C3_12,5,0.06392
,,00146.307680,C3_14,11,0.1064
,,00146.303680,C3_24,12,0.11712
,,00146.763200,C3_24,6,0.07152
,,00147.257120,D1_11,6,0.11424
,,00146.950720,C3_24,8,0.20048
,,00146.948560,C3_43,9,0.2988
,,00147.337120,B3_22,8,0.09512
,,00147.904000,C3_24,12,0.22224
,,00148.051040,C3_43,5,0.02672
,,00149.678960,B3_32,5,0.17664
,,00149.681280,B3_42,5,0.18744
,,00149.680960,B3_22,14,0.25624
,,00152.111760,A1_41,6,0.0368
,,00152.084080,A1_43,6,0.11216
,,00152.012960,A1_44,6,0.182
,,00153.122240,B3_22,8,0.15432
,,00153.113920,B5_13,7,0.14104
,,00153.141120,B5_11,5,0.1004
,,00153.111280,B5_42,5,0.06192
,,00153.153680,B5_23,10,0.34152
,,00153.123360,B5_24,23,0.33776
,,00153.095440,B5_22,16,0.33248
,,00153.600960,B2_32,6,0.12912
,,00153.734240,B5_22,11,0.32328
,,00153.964080,D2_21,6,0.23512
,,00153.122800,B5_44,143,1.30448
,,00154.575520,A3_34,5,0.10752
,,00153.079040,B5_12,122,1.5796
,,00154.958320,B2_32,5,0.18904
,,00155.306880,D1_22,5,0.07952
,,00154.983040,B2_34,7,0.33032
,,00155.006640,B2_11,10,0.44232
,,00155.142480,B5_12,8,0.33608
,,00156.117760,C3_43,5,0.03
,,00156.109920,A1_43,5,0.14224
,,00155.868720,B2_32,7,0.3752
,,00156.129600,C3_24,10,0.06424
,,00156.423600,B5_22,8,0.21008
,,00156.249120,B5_12,32,0.47312
,,00156.491840,B5_44,18,0.19248
,,00156.983600,D5_33,11,0.15112
,,00156.994960,D5_43,5,0.10264
,,00156.946640,D5_41,14,0.17056
,,00157.080240,D5_34,5,0.17544
,,00157.399280,B3_22,7,0.0716
,,00160.034400,C3_43,5,0.02704
,,00160.057920,C3_24,10,0.09736
,,00160.935760,B3_22,11,0.12184
,,00162.625920,A1_43,8,0.148
,,00162.628240,A1_44,7,0.21392
,,00163.051680,C3_14,5,0.08168
,,00164.746320,B2_32,5,0.14016
,,00165.193760,B5_22,6,0.17264
,,00165.192560,B5_12,19,0.29128
,,00165.397760,B5_44,8,0.0388
,,00166.822800,B3_22,12,0.216
,,00168.462960,C3_24,8,0.08272
,,00168.454720,C3_43,5,0.05216
,,00169.751600,B2_32,6,0.14736
,,00169.659920,B5_12,12,0.2676
,,00170.256000,A1_43,9,0.1952
,,00170.254720,A1_44,6,0.19504
,,00170.172720,B3_22,20,0.41504
,,00170.588320,B6_23,9,0.09896
,,00170.601600,B6_21,14,0.2352
,,00172.001520,C1_21,13,0.12248
,,00171.997840,C1_22,15,0.11312
,,00171.996160,C1_23,15,0.11728
,,00171.995520,C1_42,14,0.06272
,,00171.998400,C1_11,11,0.21776
,,00172.661360,B5_11,5,0.19856
,,00172.678400,B5_24,7,0.20632
,,00172.647840,B5_44,26,0.18912
,,00172.502000,B5_22,11,0.23608
,,00172.605120,B5_12,39,0.33296
,,00173.177360,D1_22,8,0.10344
,,00173.378240,C3_24,6,0.03176
,,00175.694080,C3_14,5,0.0956
,,00175.672560,C3_24,11,0.07336
,,00175.621440,C3_43,6,0.05024
,,00175.887760,B3_22,10,0.21704
,,00176.102240,A1_43,6,0.17624
,,00176.501040,D1_22,5,0.11416
,,00176.927600,A2_44,6,0.1772
,,00178.358560,B2_32,7,0.2176
,,00178.181840,B3_22,18,0.21888
,,00180.677360,B3_22,12,0.15656
,,00181.355920,D2_21,9,0.12272
,,00181.945680,A1_43,8,0.15352
,,00182.253200,B5_12,21,0.364
,,00182.535120,B5_44,8,0.03544
,,00182.288080,B5_22,9,0.30952
,,00183.432880,C3_12,7,0.09864
,,00183.451360,C3_24,15,0.17488
,,00183.842480,B3_22,10,0.1828
,,00185.774320,C3_14,5,0.1084
,,00185.743040,C3_24,9,0.1316
,,00187.080800,D2_21,7,0.29136
,,00187.781280,B3_22,9,0.18744
,,00188.076880,A5_24,5,0.23416
,,00189.422000,A1_43,5,0.13944
,,00189.707760,A1_41,20,0.12408
,,00189.958480,B5_12,5,0.05384
,,00190.579760,B5_12,19,0.20792
,,00190.605600,B5_22,8,0.13496
,,00190.815120,A1_43,8,0.19408
,,00191.027360,B3_22,23,0.25288
,,00192.324800,C3_24,10,0.06232
,,00193.595920,B5_11,5,0.22088
,,00193.653040,B5_24,10,0.2456
,,00193.492560,B5_22,10,0.20008
,,00193.941120,C2_41,20,0.16112
,,00193.993520,B3_22,5,0.12256
,,00193.639440,B5_44,30,0.44896
,,00193.479600,B5_12,76,0.86704
,,00194.709600,A1_44,5,0.18808
