Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.189200,A3_44,5,0.07288
Description,after infection overnight,00000.340880,B1_43,16,0.20368
,,00000.226800,A3_32,8,0.17448
Maestro Edge Settings,,00000.212080,B1_14,56,0.55856
   Original File Time,08/25/2020 15:32:59,00000.176400,A3_34,33,0.56096
   Sampling Frequency,12.5 kHz,00000.847200,D4_21,7,0.26856
   Voltage Scale,-5.48486178148311E-08 V/sample,00001.875600,D1_42,5,0.07688
   Experiment Start Time,08/25/2020 15:32:43,00001.940480,B5_14,5,0.17328
   Referencing Method,Median,00001.939440,B5_12,15,0.13824
   Analog Mode Setting,Neural Spikes,00001.936080,B5_23,7,0.12872
   Plate Type,BioCircuit MEA 24,00001.960080,B5_22,9,0.15008
   Digital Low Pass Filter,3 kHz Kaiser Window,00002.586000,B1_14,17,0.30992
   Digital High Pass Filter,200 Hz IIR,00003.540400,B5_12,16,0.20832
   Temperature Set Point,37.0 Degrees C,00003.568560,B5_23,7,0.14232
   Current Temperature,37.0 Degrees C,00003.582400,B5_22,7,0.08984
   Heater Power,On,00003.904720,D4_32,5,0.09872
   Barcode Plate Type,TwentyFourWellCircuit,00003.871200,D4_21,15,0.23224
   Plate Serial Number,66-1901,00003.915440,D4_43,13,0.28112
   CO2 Conc. Set Point,5.0 %,00004.935120,B1_14,17,0.29072
   Actual CO2 Conc.,5.0 %,00005.151120,B5_14,5,0.15536
   Gas Mixer Status,Regulating,00005.183200,B5_12,10,0.17768
   AxIS Version,3.0.3.2,00005.180960,B5_22,6,0.1232
   Maestro Edge Firmware,3.0.3.2,00005.692800,B6_21,5,0.13152
   Maestro Edge BioCore Version,4B,00006.542160,D5_13,6,0.1428
,,00006.600640,D5_33,6,0.16512
AxIS Batch Process,,00006.761120,B1_14,10,0.35856
   AxIS Version,3.0.3.2,00008.502560,B6_23,6,0.1096
   File Name,o.n experimet read 0.raw,00008.790640,C3_43,5,0.16024
   Plate Type,BioCircuit MEA 24,00010.249840,A5_13,5,0.14952
   Requested File Section,0s to 10m0s,00010.289120,A5_24,6,0.13192
   Actual File Section Run,0s to 10m0s,00011.173680,B5_14,5,0.14616
   Recording Offset from File Start,0s,00011.164320,B5_12,15,0.19656
,,00011.221760,B5_22,7,0.11232
Spike Detector Settings,,00011.777360,D4_21,5,0.16728
   Method,Adaptive Threshold Crossing,00012.789840,C1_22,9,0.05632
   Threshold,6,00012.795120,C1_23,11,0.09176
   Threshold Status,Variable,00012.765120,C1_43,5,0.08856
   Threshold Crossing Only,True,00012.805840,C1_11,24,0.13736
   Pre-Spike Duration,0.84 ms,00012.768320,C1_24,9,0.2944
   Post-Spike Duration,2.16 ms,00012.779360,C1_42,25,0.22944
   Coincident Event Filter,Default (Well),00013.355520,C1_24,5,0.19456
   Coincidence Occurrence Threshold,4 Electrodes,00015.159440,A1_41,9,0.0936
   Coincidence Event Window,160 µs,00015.479120,A2_44,6,0.14384
   Allow Sample Overlap,false,00016.369200,D4_43,7,0.16472
   Spike Count Interval,1 s,00016.275040,D4_21,10,0.27128
,,00017.953760,A3_34,8,0.28096
Burst Detector Settings,,00019.517440,B1_14,17,0.32048
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00019.978800,A5_13,6,0.07688
   Maximum Inter-Spike Interval,100 ms,00020.020960,A5_24,5,0.13784
   Minimum Number of Spikes,5,00020.400800,D2_31,5,0.03632
   Enable Network Burst Detection,True,00020.462160,B5_23,6,0.17544
   Maximum Inter-Spike Interval (network bursts),100 ms,00020.350320,D2_23,25,0.30448
