Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00001.302800,B6_23,5,0.17848
Description,after infection overnight,00001.572640,D2_21,6,0.15008
,,00003.534560,A1_43,10,0.23456
Maestro Edge Settings,,00003.817760,A5_13,8,0.1828
   Original File Time,08/26/2020 09:32:59,00005.820880,C3_24,5,0.05696
   Sampling Frequency,12.5 kHz,00005.804960,C3_43,12,0.07328
   Voltage Scale,-5.48486178148311E-08 V/sample,00005.769040,A2_44,15,0.23328
   Experiment Start Time,08/25/2020 15:32:43,00006.358800,A1_43,5,0.14224
   Referencing Method,Median,00008.840880,B5_12,12,0.21432
   Analog Mode Setting,Neural Spikes,00008.936480,B5_44,14,0.12752
   Plate Type,BioCircuit MEA 24,00008.836880,B5_22,8,0.09808
   Digital Low Pass Filter,3 kHz Kaiser Window,00009.380240,C3_12,13,0.19304
   Digital High Pass Filter,200 Hz IIR,00009.438720,C3_24,19,0.15808
   Temperature Set Point,37.0 Degrees C,00009.541600,C3_43,8,0.03504
   Current Temperature,37.0 Degrees C,00009.515680,C3_22,13,0.15112
   Heater Power,On,00009.530480,C3_14,26,0.24088
   Barcode Plate Type,TwentyFourWellCircuit,00009.598080,B6_23,6,0.17272
   Plate Serial Number,66-1901,00009.648320,B6_41,5,0.29064
   CO2 Conc. Set Point,5.0 %,00009.962000,C3_12,23,0.30104
   Actual CO2 Conc.,5.2 %,00010.042000,C3_24,30,0.34672
   Gas Mixer Status,Regulating,00009.967840,C3_43,35,0.35264
   AxIS Version,3.0.3.2,00010.091120,C3_22,28,0.48336
   Maestro Edge Firmware,3.0.3.2,00010.046800,C3_14,28,0.38296
   Maestro Edge BioCore Version,4B,00010.825120,C3_11,5,0.30224
,,00010.707600,C3_43,24,0.35208
AxIS Batch Process,,00010.886320,B5_12,5,0.20352
   AxIS Version,3.0.3.2,00010.958480,B5_44,11,0.13864
   File Name,o.n experimet read 9.raw,00010.892400,B5_22,6,0.1972
   Plate Type,BioCircuit MEA 24,00011.023920,C3_22,8,0.19992
   Requested File Section,0s to 10m0s,00011.180080,C3_43,11,0.2016
   Actual File Section Run,0s to 10m0s,00010.807520,C3_12,36,0.818
   Recording Offset from File Start,0s,00010.715280,C3_24,40,0.74712
,,00012.069440,B5_12,8,0.19752
Spike Detector Settings,,00012.252160,B5_44,5,0.03296
   Method,Adaptive Threshold Crossing,00012.091120,B5_22,5,0.124
   Threshold,6,00012.688240,A3_34,7,0.17792
   Threshold Status,Variable,00013.253760,B5_12,5,0.19584
   Threshold Crossing Only,True,00013.420800,B5_44,11,0.09032
   Pre-Spike Duration,0.84 ms,00013.243440,B5_22,6,0.18784
   Post-Spike Duration,2.16 ms,00014.191440,B3_22,5,0.05464
   Coincident Event Filter,Default (Well),00014.404080,B5_12,6,0.20208
   Coincidence Occurrence Threshold,4 Electrodes,00014.403840,B5_22,7,0.2008
   Coincidence Event Window,160 µs,00014.788080,A3_34,14,0.10464
   Allow Sample Overlap,false,00015.827200,C3_43,9,0.05648
   Spike Count Interval,1 s,00015.629680,B5_12,12,0.18232
,,00015.564720,B5_22,6,0.18744
Burst Detector Settings,,00015.870240,C3_24,5,0.03712
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00016.522240,B6_23,7,0.2768
   Maximum Inter-Spike Interval,100 ms,00017.049680,B5_12,8,0.14912
   Minimum Number of Spikes,5,00017.019600,B5_22,7,0.16992
   Enable Network Burst Detection,True,00017.289200,B3_22,14,0.14296
   Maximum Inter-Spike Interval (network bursts),100 ms,00018.213280,A1_43,5,0.09208
   Minimum Number of Spikes (network bursts),50,00018.564720,A5_13,5,0.15032
   Minimum Participating Electrodes (%),35,00018.968800,A3_34,7,0.07728
   Synchrony Window,20 ms,00018.862640,B5_12,14,0.12336
,,00018.868480,B5_22,11,0.12168
,,00019.418160,B3_22,10,0.16592
,,00019.637120,C3_12,9,0.11344
,,00019.398000,C3_43,9,0.31904
,,00019.680560,D4_23,5,0.09464
,,00019.711280,D4_21,6,0.1152
,,00019.683600,C3_22,14,0.40032
,,00021.961280,A1_43,6,0.16312
,,00022.591200,B6_23,9,0.09808
,,00022.617840,B6_21,8,0.13672
,,00022.844080,B5_12,11,0.19968
,,00022.863840,B5_22,11,0.14496
,,00022.599920,B6_41,13,0.65376
,,00024.844000,B3_22,8,0.10424
,,00025.116320,A5_13,5,0.16528
,,00025.393200,A2_44,23,0.238
,,00025.575840,A5_13,5,0.19024
,,00027.128160,C3_43,6,0.01712
,,00027.149040,C3_24,7,0.04224
,,00027.353280,A1_43,5,0.14
,,00027.372560,A1_41,28,0.39832
,,00027.682640,B5_12,10,0.20112
,,00027.863120,B5_44,5,0.01272
,,00027.717120,B5_22,6,0.11224
,,00027.719920,A1_43,16,0.38104
,,00027.755760,A1_44,6,0.15136
,,00028.210000,A1_43,20,0.57728
,,00028.637760,D5_33,10,0.15104
,,00028.621680,D5_43,6,0.15792
,,00028.587600,D5_41,6,0.15696
,,00028.635280,B6_23,6,0.12112
,,00028.659840,B6_41,5,0.17632
,,00028.760400,A2_44,5,0.17744
,,00031.767360,A2_44,10,0.24784
,,00032.615920,D2_21,8,0.15736
,,00032.571920,D2_31,10,0.20808
,,00032.591920,B5_12,16,0.16296
,,00032.639120,B5_44,6,0.0128
,,00032.598000,B5_22,9,0.12336
,,00032.466880,D5_33,10,0.21216
,,00032.544240,D2_23,29,0.4592
,,00033.055280,A3_34,18,0.14568
,,00032.602560,D2_34,24,0.86808
,,00034.111760,A3_34,15,0.25416
,,00035.083840,D2_21,5,0.08608
,,00035.313120,A6_24,6,0.10024
,,00035.721760,A6_24,7,0.2304
,,00036.067520,B5_12,12,0.21688
,,00036.050240,B5_22,8,0.1644
,,00036.778080,A2_44,8,0.17456
,,00036.813360,B4_23,16,0.16888
,,00036.864480,B4_44,5,0.0372
,,00036.690960,B4_31,8,0.29056
,,00036.751760,B4_43,24,0.43824
,,00036.950560,B6_23,9,0.2504
,,00039.167200,B6_23,5,0.15952
,,00039.169680,B6_21,6,0.1412
,,00041.645040,C1_21,10,0.09368
,,00041.639200,C1_11,16,0.12808
,,00041.636400,C1_22,11,0.09656
,,00041.633360,C1_23,13,0.11992
,,00041.602320,C1_42,28,0.18752
,,00041.711520,D2_21,6,0.09984
,,00042.042800,A2_44,18,0.1764
,,00043.337680,C3_43,5,0.1736
,,00044.674480,B3_22,7,0.13632
,,00045.974480,D1_42,10,0.24224
,,00046.398480,C2_41,25,0.21456
,,00046.453280,C2_21,7,0.09312
,,00046.421600,C2_23,6,0.11904
,,00046.448560,C2_33,6,0.07184
,,00046.433760,C2_43,6,0.06528
,,00047.115840,B1_31,13,0.11752
,,00047.137280,B1_12,10,0.0812
,,00047.113280,B1_13,7,0.06184
,,00047.117920,B1_22,6,0.05776
,,00047.124160,B1_34,7,0.04248
,,00047.112960,B1_43,31,0.17144
,,00047.091760,D4_32,5,0.13376
,,00047.091840,B1_14,82,1.21624
,,00048.030640,A2_44,5,0.21368
,,00048.074240,B6_23,5,0.18488
,,00048.869920,B3_22,13,0.23096
,,00048.929840,B3_42,10,0.10976
,,00049.021760,B3_44,6,0.1536
,,00049.182880,A3_34,13,0.15168
,,00049.042960,D5_33,9,0.14728
,,00049.252320,B3_22,8,0.28192
,,00049.812720,B3_22,8,0.06744
,,00049.819520,B3_42,5,0.0676
,,00050.280240,A1_41,10,0.0872
,,00050.242800,A1_43,10,0.172
,,00050.284560,A1_44,5,0.15232
,,00050.127520,B3_22,9,0.41496
,,00050.952080,B3_22,11,0.2312
,,00051.054400,B3_42,13,0.32848
,,00051.171840,A3_34,6,0.06664
,,00052.202000,C3_24,9,0.05736
,,00052.068720,C3_43,12,0.14704
,,00052.034560,B3_22,6,0.12744
,,00052.861680,B3_22,7,0.12072
,,00053.325040,B3_22,7,0.29144
,,00054.420320,B3_22,13,0.21472
,,00054.562480,B3_42,5,0.1352
,,00055.484480,D5_13,11,0.1108
,,00055.493040,D5_34,24,0.15632
,,00055.479520,D5_44,12,0.12888
,,00055.490320,D5_21,6,0.13664
,,00055.492000,D5_41,34,0.13736
,,00055.500880,A2_44,18,0.23248
,,00055.489280,D5_33,32,0.1864
,,00055.506400,D5_43,25,0.18456
,,00056.930080,B3_22,13,0.14688
,,00057.564720,B6_23,12,0.25544
,,00057.657840,B6_21,7,0.16208
,,00057.679040,B6_41,5,0.1776
,,00058.356480,C3_24,8,0.03648
,,00058.335760,C3_43,6,0.04152
,,00057.943600,B6_13,5,0.21008
,,00058.189520,B6_23,9,0.19304
,,00057.971440,B6_41,13,0.43264
,,00058.628640,A2_22,5,0.08288
,,00058.630720,A2_33,5,0.07592
,,00058.653520,A2_42,6,0.09816
,,00058.530960,B6_23,11,0.29608
,,00058.515440,B6_41,5,0.25184
,,00058.402960,A2_44,53,0.9708
,,00059.131920,B6_23,6,0.19104
,,00059.306720,A1_43,5,0.15944
,,00059.405360,B6_41,5,0.23848
,,00059.527280,B3_22,10,0.13296
,,00059.540240,B3_42,5,0.11848
,,00059.490240,A2_44,33,0.8928
,,00060.580640,B6_14,6,0.23368
,,00060.496160,B6_21,5,0.21216
,,00060.404080,B6_23,20,0.52704
,,00061.942800,B3_22,6,0.08184
,,00062.552880,B3_22,12,0.30872
,,00062.703680,D6_33,11,0.30496
,,00062.853040,D6_32,7,0.17232
,,00064.782320,D5_13,5,0.07312
,,00064.776480,D5_34,7,0.09832
,,00064.782800,D5_41,15,0.114
,,00064.750720,D5_33,22,0.16704
,,00064.754640,D5_43,12,0.16152
,,00065.447120,B5_12,15,0.17256
,,00065.461280,B5_22,7,0.09672
,,00066.115440,D2_21,6,0.11328
,,00065.994800,A2_44,11,0.30048
,,00066.499760,D5_33,9,0.1772
,,00066.574000,D5_43,5,0.15736
,,00066.540560,D5_41,5,0.116
,,00067.435440,A2_44,7,0.27304
,,00067.674480,D6_33,6,0.20888
,,00067.877360,A1_43,10,0.26928
,,00068.190080,A3_34,13,0.1424
,,00067.997920,D6_33,5,0.26184
,,00068.910240,B2_32,10,0.28648
,,00069.269280,B1_14,14,0.2108
,,00068.782000,A2_44,48,0.80808
,,00070.200400,A3_34,13,0.174
,,00070.572960,B4_44,8,0.0452
,,00070.577200,B4_23,14,0.11552
,,00070.568880,B4_43,15,0.08408
,,00070.530640,B4_31,12,0.15112
,,00071.226320,B3_22,9,0.03984
,,00071.494080,D3_24,5,0.08856
,,00071.664000,B4_43,7,0.15488
,,00071.305840,A3_34,40,0.82216
,,00072.245760,A3_34,11,0.21224
,,00073.458480,D2_21,5,0.0788
,,00075.011920,A2_44,5,0.31752
,,00075.429600,A2_44,5,0.17496
,,00075.680880,B3_22,10,0.13384
,,00075.590400,D4_23,5,0.09136
,,00076.087760,B1_13,6,0.0464
,,00076.078640,B1_32,5,0.02336
,,00075.998240,B1_31,16,0.17496
,,00076.080800,B1_12,6,0.10872
,,00076.040000,B1_43,31,0.21064
,,00076.032160,B1_14,55,0.87432
,,00077.663600,C3_13,5,0.22384
,,00077.894080,A1_41,5,0.04344
,,00077.801760,A1_43,10,0.25816
,,00077.799440,A1_44,7,0.25776
,,00078.174960,B5_12,14,0.1964
,,00078.146400,B5_22,10,0.17504
,,00079.089680,B3_22,7,0.04848
,,00081.249920,A2_44,7,0.12168
,,00081.235440,C3_14,8,0.042
,,00081.121040,C3_24,17,0.1844
,,00081.236080,C3_43,10,0.0428
,,00081.805680,C3_12,9,0.1856
,,00081.899840,C3_22,6,0.1836
,,00081.943600,C3_43,6,0.25144
,,00082.279120,B2_32,5,0.27992
,,00082.301600,C3_43,32,0.16336
,,00082.241360,C3_12,39,0.5608
,,00082.349680,C3_22,25,0.4704
,,00082.356800,C3_14,49,0.44424
,,00081.814800,C3_24,63,0.85936
,,00082.800880,D4_23,5,0.12064
,,00083.049120,C3_43,16,0.31352
,,00083.299040,D2_21,9,0.3244
,,00083.372640,D2_31,7,0.094
,,00083.332880,D2_23,16,0.14816
,,00083.064800,C3_24,18,0.35584
,,00083.601120,C3_24,13,0.286
,,00083.607520,C3_43,13,0.16904
,,00083.710240,D2_23,10,0.25664
,,00083.302960,D2_34,26,0.75368
,,00083.464640,C3_12,17,0.5572
,,00083.946080,C3_22,6,0.1344
,,00085.895600,D2_34,9,0.232
,,00085.919760,A2_44,8,0.15472
,,00085.893760,D2_21,26,0.4336
,,00086.503520,A1_43,6,0.08328
,,00086.474080,A1_44,6,0.13288
,,00086.878160,A5_13,5,0.23328
,,00087.882000,C4_42,6,0.25504
,,00088.445120,A2_44,7,0.1528
,,00089.988960,D4_23,5,0.18968
,,00090.551280,D3_24,5,0.12752
,,00092.602720,B2_32,9,0.2824
,,00095.330720,C2_33,5,0.0568
,,00095.128720,C2_41,26,0.43096
,,00095.307440,C2_21,5,0.15224
,,00095.862960,A1_41,18,0.25064
,,00095.694960,B1_43,23,0.46088
,,00095.664160,B1_14,68,0.86496
,,00096.495680,A1_43,6,0.1916
,,00097.498080,A1_43,10,0.30336
,,00097.905520,A1_44,5,0.18704
,,00099.427360,A1_41,8,0.07632
,,00099.435840,A1_12,6,0.09312
,,00099.399360,A1_43,15,0.2788
,,00100.144160,B2_31,5,0.13616
,,00100.118960,B2_32,6,0.16856
,,00101.683040,B5_12,8,0.1084
,,00101.670400,B5_22,6,0.12976
,,00103.277040,A2_44,22,0.21784
,,00106.036960,B2_31,5,0.12248
,,00106.023920,B2_32,8,0.18944
,,00106.283200,D1_42,5,0.21896
,,00108.506000,B2_41,5,0.078
,,00108.461520,B2_32,8,0.13696
,,00108.606560,A1_43,9,0.17456
,,00108.492400,B2_31,5,0.26336
,,00108.462160,B2_22,6,0.23552
,,00108.826160,B5_44,5,0.0664
,,00108.788960,B5_12,16,0.2448
,,00108.796960,B5_22,8,0.10624
,,00109.055840,B2_31,5,0.21168
,,00110.337440,B5_12,11,0.20224
,,00110.375760,B5_44,5,0.11192
,,00110.383680,B5_22,7,0.15928
,,00110.390160,B2_31,7,0.31464
,,00110.668560,B2_11,11,0.1892
,,00110.549200,B2_34,7,0.29448
,,00110.968400,D2_21,12,0.11376
,,00112.925680,A5_13,5,0.23648
,,00114.510880,B5_12,8,0.20624
,,00114.540960,B5_22,7,0.11024
,,00114.916560,B3_22,9,0.1724
,,00114.827040,B3_32,5,0.27416
,,00116.722720,A1_43,5,0.13952
,,00117.655760,C5_32,5,0.15152
,,00117.490240,A4_33,28,0.64784
,,00119.767840,D2_21,5,0.11312
,,00119.891200,C4_42,7,0.11752
,,00119.834160,C4_41,5,0.15984
,,00120.206080,A4_33,9,0.19984
,,00122.041280,A4_33,8,0.30672
,,00124.421200,C3_43,6,0.2864
,,00126.123760,B5_12,9,0.14528
,,00126.150080,B5_44,10,0.1412
,,00126.125040,B5_22,8,0.14496
,,00126.317280,D1_42,11,0.15872
,,00127.036880,A1_41,7,0.09
,,00126.837760,A6_24,12,0.2132
,,00127.067200,A1_43,6,0.09664
,,00127.498400,A4_41,9,0.25592
,,00128.068480,B3_22,9,0.07208
,,00130.087680,B3_22,10,0.10712
,,00130.109440,B3_32,5,0.10392
,,00130.275200,A4_41,6,0.17176
,,00130.477840,A5_13,6,0.18016
