Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.009520,B3_22,5,0.14704
Description,after infection overnight,00000.794160,D5_13,12,0.14264
,,00000.786240,D5_33,47,0.3492
Maestro Edge Settings,,00000.784000,D5_34,9,0.11696
   Original File Time,08/25/2020 17:32:59,00000.806400,D5_43,22,0.1832
   Sampling Frequency,12.5 kHz,00000.769840,D5_44,6,0.186
   Voltage Scale,-5.48486178148311E-08 V/sample,00000.770080,D5_21,19,0.18712
   Experiment Start Time,08/25/2020 15:32:43,00000.800880,D5_41,33,0.26144
   Referencing Method,Median,00000.940160,B6_21,9,0.20816
   Analog Mode Setting,Neural Spikes,00000.945680,B6_23,7,0.3428
   Plate Type,BioCircuit MEA 24,00000.932480,B6_41,7,0.35192
   Digital Low Pass Filter,3 kHz Kaiser Window,00001.465200,D3_42,11,0.34016
   Digital High Pass Filter,200 Hz IIR,00000.784240,D5_12,30,0.99576
   Temperature Set Point,37.0 Degrees C,00001.502480,A2_44,15,0.46048
   Current Temperature,37.0 Degrees C,00002.005840,C3_12,5,0.10408
   Heater Power,On,00001.980240,C3_24,6,0.05584
   Barcode Plate Type,TwentyFourWellCircuit,00002.124320,C4_42,5,0.1356
   Plate Serial Number,66-1901,00002.483680,D4_21,6,0.13152
   CO2 Conc. Set Point,5.0 %,00002.458160,D5_13,11,0.1508
   Actual CO2 Conc.,5.0 %,00002.262320,D5_12,11,0.50168
   Gas Mixer Status,Regulating,00002.506800,D5_33,17,0.20064
   AxIS Version,3.0.3.2,00002.535120,D5_43,9,0.2048
   Maestro Edge Firmware,3.0.3.2,00002.560000,D5_21,6,0.10344
   Maestro Edge BioCore Version,4B,00002.914080,A3_34,8,0.25992
,,00003.707200,B5_14,5,0.0852
AxIS Batch Process,,00003.688720,B5_23,6,0.11264
   AxIS Version,3.0.3.2,00003.752560,B5_44,7,0.02712
   File Name,o.n experimet read 1.raw,00003.723200,B5_22,8,0.13448
   Plate Type,BioCircuit MEA 24,00003.633760,D5_12,6,0.23448
   Requested File Section,0s to 10m0s,00003.704400,B5_12,18,0.19752
   Actual File Section Run,0s to 10m0s,00003.982560,C2_41,26,0.24072
   Recording Offset from File Start,0s,00004.087040,C2_21,22,0.12384
,,00004.098960,C2_22,12,0.08488
Spike Detector Settings,,00004.067360,C2_23,11,0.14264
   Method,Adaptive Threshold Crossing,00004.104000,C2_33,7,0.08952
   Threshold,6,00004.053680,C2_43,9,0.18744
   Threshold Status,Variable,00004.106080,C2_42,5,0.106
   Threshold Crossing Only,True,00004.324640,A2_44,11,0.1832
   Pre-Spike Duration,0.84 ms,00005.010960,B5_22,8,0.11368
   Post-Spike Duration,2.16 ms,00005.074240,C4_42,10,0.22896
   Coincident Event Filter,Default (Well),00005.084240,C4_41,10,0.19152
   Coincidence Occurrence Threshold,4 Electrodes,00004.987920,B5_12,13,0.19848
   Coincidence Event Window,160 µs,00005.538160,C2_41,12,0.16664
   Allow Sample Overlap,false,00005.419040,B2_32,7,0.28016
   Spike Count Interval,1 s,00006.178480,B5_12,16,0.17792
,,00006.274880,B5_22,6,0.11704
Burst Detector Settings,,00006.324960,A3_34,12,0.2264
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00007.922640,B6_23,6,0.20424
   Maximum Inter-Spike Interval,100 ms,00007.901200,B6_21,10,0.33032
   Minimum Number of Spikes,5,00008.022800,B6_41,8,0.33752
   Enable Network Burst Detection,True,00008.742240,D3_42,9,0.17288
   Maximum Inter-Spike Interval (network bursts),100 ms,00009.357440,B2_32,7,0.17616
   Minimum Number of Spikes (network bursts),50,00010.819840,D2_21,7,0.176
   Minimum Participating Electrodes (%),35,00011.097280,B5_14,8,0.12784
   Synchrony Window,20 ms,00011.106400,B5_23,6,0.06992
,,00011.045280,B5_42,8,0.12496
,,00011.097200,B5_21,5,0.07232
,,00011.049120,B5_22,13,0.17848
,,00011.499520,A3_32,7,0.14688
,,00011.404560,A3_44,7,0.20696
,,00011.133040,B5_24,18,0.4996
,,00011.106960,B5_44,55,0.43648
,,00011.419840,B5_14,6,0.32584
,,00011.049840,B5_12,53,0.62152
,,00011.778560,B5_12,16,0.36056
,,00011.802240,B5_22,10,0.34008
,,00011.372960,A3_34,56,0.98168
,,00013.455440,D5_13,12,0.15384
,,00013.550800,D5_41,13,0.088
,,00013.704800,D2_21,8,0.09032
,,00013.339840,A2_44,7,0.35664
,,00013.517840,D5_12,12,0.17984
,,00013.468640,D5_33,29,0.2044
,,00013.533040,D5_43,14,0.18064
,,00015.017040,A4_41,6,0.12536
,,00015.093200,A4_33,16,0.29432
,,00015.431680,A2_44,7,0.17176
,,00015.554480,D2_21,5,0.19352
,,00016.125280,D3_42,5,0.18184
,,00016.179520,B1_14,41,0.41264
,,00016.420320,B1_43,18,0.18
,,00017.469440,C3_12,6,0.04056
,,00017.502480,C3_24,9,0.05224
,,00017.733920,C1_21,9,0.07176
,,00017.740160,C1_31,5,0.05472
,,00017.722640,C1_23,22,0.15096
,,00017.727280,C1_11,35,0.25304
,,00017.732720,C1_22,18,0.24032
,,00017.720320,C1_42,39,0.24248
,,00018.072240,A2_44,15,0.44864
,,00018.490000,B5_12,11,0.158
,,00018.490480,B5_22,6,0.2044
,,00019.244720,B2_32,7,0.28888
,,00019.399120,A4_33,20,0.3992
,,00019.619280,D4_43,16,0.23968
,,00019.631520,D4_21,17,0.18656
,,00020.249200,C1_24,5,0.32632
,,00020.220080,D4_21,12,0.35216
,,00021.253600,B6_21,5,0.05248
,,00021.428000,B6_21,5,0.22792
,,00021.992320,A4_33,5,0.19456
,,00022.748240,D4_32,8,0.14632
,,00022.718080,D4_21,17,0.17648
,,00022.679440,D4_43,22,0.3712
,,00022.955520,A2_44,18,0.5296
,,00023.659120,A2_44,6,0.2676
,,00023.794560,B3_22,7,0.10584
,,00023.363120,D4_21,17,0.54736
,,00024.016480,D3_42,5,0.174
,,00024.243680,B6_23,5,0.11744
,,00024.314080,D4_43,8,0.24528
,,00024.132320,D4_21,21,0.5112
,,00025.677440,A1_41,14,0.17048
,,00026.186560,C3_43,6,0.18904
,,00026.802160,C3_12,5,0.07984
,,00026.516960,C3_43,5,0.16984
,,00027.274160,D4_43,10,0.21192
,,00027.198000,D4_21,9,0.2972
,,00027.491760,B5_23,5,0.11056
,,00027.555760,B5_44,12,0.05072
,,00027.439680,B5_12,21,0.2148
,,00027.512320,B5_22,7,0.18768
,,00029.487920,D4_43,8,0.16184
,,00029.383920,D4_21,10,0.25584
,,00029.694320,D2_34,5,0.07616
,,00030.036960,A2_44,13,0.21368
,,00031.128080,B6_23,7,0.21184
,,00031.313280,A5_13,7,0.09696
,,00031.772880,A5_13,10,0.3388
,,00032.138480,D4_43,9,0.23928
,,00032.030480,D4_21,10,0.27272
,,00032.310560,A2_44,5,0.1372
,,00032.640720,B4_33,9,0.10344
,,00032.642160,B4_23,22,0.1808
,,00032.950720,D2_21,6,0.10472
,,00032.612000,B4_43,32,0.30576
,,00033.655200,A2_44,5,0.17032
,,00034.718480,B2_32,9,0.15088
,,00034.526160,B4_43,8,0.23616
,,00034.692080,C5_13,7,0.09192
,,00034.738000,C5_33,5,0.03688
,,00034.873600,D3_41,5,0.2524
,,00034.984720,D3_32,7,0.12504
