Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.928640,B6_23,9,0.31816
Description,after infection overnight,00001.117840,B6_41,8,0.46392
,,00001.867360,A2_44,7,0.28064
Maestro Edge Settings,,00002.853200,A2_44,5,0.15288
   Original File Time,08/26/2020 01:32:59,00003.827200,B2_31,7,0.11424
   Sampling Frequency,12.5 kHz,00003.895280,B3_22,8,0.14288
   Voltage Scale,-5.48486178148311E-08 V/sample,00003.837120,B5_12,6,0.20288
   Experiment Start Time,08/25/2020 15:32:43,00003.858960,B2_32,10,0.3516
   Referencing Method,Median,00003.823120,A2_44,7,0.34912
   Analog Mode Setting,Neural Spikes,00004.231520,D4_21,7,0.13352
   Plate Type,BioCircuit MEA 24,00004.552960,A2_44,13,0.46648
   Digital Low Pass Filter,3 kHz Kaiser Window,00005.395440,B5_12,10,0.15232
   Digital High Pass Filter,200 Hz IIR,00006.214880,A3_34,15,0.16568
   Temperature Set Point,37.0 Degrees C,00005.797440,B6_23,9,0.4724
   Current Temperature,37.0 Degrees C,00006.630960,A2_44,9,0.26288
   Heater Power,On,00007.042880,C3_12,5,0.0348
   Barcode Plate Type,TwentyFourWellCircuit,00007.047120,C3_22,6,0.1528
   Plate Serial Number,66-1901,00007.020880,C3_24,8,0.13072
   CO2 Conc. Set Point,5.0 %,00007.250560,D4_43,6,0.0676
   Actual CO2 Conc.,5.0 %,00007.209840,D4_32,10,0.17912
   Gas Mixer Status,Regulating,00007.161280,D4_44,10,0.21768
   AxIS Version,3.0.3.2,00007.394800,B3_22,7,0.04424
   Maestro Edge Firmware,3.0.3.2,00007.148000,D4_21,24,0.34128
   Maestro Edge BioCore Version,4B,00007.382000,B5_12,6,0.12808
,,00007.361360,B6_13,5,0.0876
AxIS Batch Process,,00007.281280,B6_23,11,0.19
   AxIS Version,3.0.3.2,00007.283040,B6_21,10,0.22648
   File Name,o.n experimet read 5.raw,00007.412560,B6_41,5,0.31904
   Plate Type,BioCircuit MEA 24,00007.719760,D4_21,5,0.23544
   Requested File Section,0s to 10m0s,00008.175920,C3_43,13,0.22392
   Actual File Section Run,0s to 10m0s,00008.242960,A2_44,11,0.26696
   Recording Offset from File Start,0s,00008.321040,C3_12,10,0.1008
,,00008.340080,C3_14,7,0.06512
Spike Detector Settings,,00008.240480,D5_13,6,0.21752
   Method,Adaptive Threshold Crossing,00008.295760,D5_33,5,0.11832
   Threshold,6,00008.344400,C3_22,20,0.38496
   Threshold Status,Variable,00010.175040,D6_32,18,0.20768
   Threshold Crossing Only,True,00010.106240,D6_33,58,1.7396
   Pre-Spike Duration,0.84 ms,00011.861200,A2_44,20,0.27928
   Post-Spike Duration,2.16 ms,00013.504080,B3_22,10,0.03184
   Coincident Event Filter,Default (Well),00013.938560,C3_12,10,0.12824
   Coincidence Occurrence Threshold,4 Electrodes,00013.943760,C3_14,26,0.19128
   Coincidence Event Window,160 µs,00013.924960,C3_24,20,0.18032
   Allow Sample Overlap,false,00013.917600,C3_43,14,0.15664
   Spike Count Interval,1 s,00013.891600,A3_34,6,0.20512
,,00013.867520,A6_23,6,0.09624
Burst Detector Settings,,00013.963600,C3_22,8,0.19656
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00014.145280,A2_44,13,0.28504
   Maximum Inter-Spike Interval,100 ms,00014.805360,C3_12,8,0.28544
   Minimum Number of Spikes,5,00015.066960,C3_14,5,0.0224
   Enable Network Burst Detection,True,00015.018880,C3_43,13,0.04752
   Maximum Inter-Spike Interval (network bursts),100 ms,00015.077200,C3_22,6,0.21728
   Minimum Number of Spikes (network bursts),50,00015.506640,C3_12,5,0.13272
   Minimum Participating Electrodes (%),35,00014.994000,C3_24,31,0.43848
   Synchrony Window,20 ms,00015.778320,A2_44,9,0.24776
,,00017.865280,A2_44,13,0.34584
,,00019.966240,A3_34,8,0.11352
,,00020.781840,B3_22,8,0.08872
,,00021.274240,A2_44,12,0.2344
,,00021.960160,C3_12,7,0.08856
,,00021.954720,C3_14,7,0.03832
,,00021.945040,C3_24,10,0.05904
,,00021.868080,C3_43,16,0.09064
,,00022.978640,A3_34,59,1.27032
,,00025.216160,D2_21,8,0.15776
,,00025.331920,D1_42,10,0.16936
,,00025.558720,C3_12,5,0.08408
,,00025.648720,D1_42,8,0.27296
,,00028.292320,A2_44,15,0.18504
,,00028.481600,C3_14,5,0.046
,,00028.469680,C3_24,6,0.05952
,,00028.492080,C3_22,6,0.17248
,,00029.087520,B5_12,11,0.208
,,00029.147840,B5_22,6,0.08336
,,00030.878320,A2_44,13,0.17864
,,00030.653040,A3_34,7,0.28392
,,00031.688080,C3_24,6,0.0524
,,00032.278240,A3_34,5,0.18472
,,00032.680800,D5_33,5,0.08304
,,00033.439840,A1_43,8,0.11296
,,00033.697440,A2_44,7,0.29776
,,00033.865120,D4_43,6,0.12464
,,00033.907200,D4_32,6,0.09096
,,00033.825040,D4_44,5,0.11616
,,00034.383680,A3_34,8,0.20384
,,00033.824640,D4_21,24,0.67664
,,00035.911520,C3_12,6,0.08472
,,00035.966000,C3_24,7,0.03144
,,00036.179200,A2_44,9,0.33848
,,00036.306240,A4_41,8,0.16632
,,00037.005440,D2_21,16,0.13136
,,00038.256160,A6_24,9,0.132
,,00039.643120,D3_41,6,0.20232
,,00039.893040,C3_24,5,0.02152
,,00040.095360,D2_21,10,0.1488
,,00040.068080,D3_12,5,0.17024
,,00040.218000,D3_42,6,0.1232
,,00039.959040,C3_22,6,0.19168
,,00040.439600,B3_22,5,0.0284
,,00040.796480,B6_23,9,0.29472
,,00041.801680,A3_34,6,0.09904
,,00042.167840,A2_44,12,0.21648
,,00043.865520,D1_42,6,0.07056
,,00044.034000,D2_21,6,0.07224
,,00044.639520,A1_43,5,0.05728
,,00045.219200,D5_33,6,0.09272
,,00046.299280,C3_12,5,0.08496
,,00046.330800,C3_24,6,0.02752
,,00046.260800,A2_44,18,0.19744
,,00047.282240,D4_32,5,0.1108
,,00047.254560,D4_21,6,0.08272
,,00048.752000,B2_32,8,0.25808
,,00051.161360,C2_41,28,0.19352
,,00051.172000,C2_21,13,0.08304
,,00051.186480,C2_31,5,0.0348
,,00051.186320,C2_22,7,0.07664
,,00051.179520,C2_23,11,0.13216
,,00051.176720,C2_33,11,0.05816
,,00051.180000,C2_43,10,0.1236
,,00051.102560,A2_21,8,0.1924
