Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.860240,B3_22,6,0.0892
Description,after infection overnight,00001.520080,B5_12,16,0.17056
,,00001.566320,B5_42,5,0.12472
Maestro Edge Settings,,00001.650640,B5_44,7,0.06256
   Original File Time,08/27/2020 11:32:59,00001.536640,B5_22,5,0.13096
   Sampling Frequency,12.5 kHz,00001.816400,B6_21,5,0.05328
   Voltage Scale,-5.48486178148311E-08 V/sample,00001.866640,C3_43,5,0.07648
   Experiment Start Time,08/25/2020 15:32:43,00001.956000,B3_22,9,0.14296
   Referencing Method,Median,00001.816080,B6_23,11,0.12128
   Analog Mode Setting,Neural Spikes,00002.393440,C2_41,25,0.16512
   Plate Type,BioCircuit MEA 24,00003.252160,A1_43,8,0.20696
   Digital Low Pass Filter,3 kHz Kaiser Window,00003.494000,B3_22,20,0.26448
   Digital High Pass Filter,200 Hz IIR,00003.526320,B3_32,5,0.17888
   Temperature Set Point,37.0 Degrees C,00004.712000,A4_33,6,0.0656
   Current Temperature,37.0 Degrees C,00005.771440,C3_43,16,0.20104
   Heater Power,On,00006.119200,B3_22,9,0.20024
   Barcode Plate Type,TwentyFourWellCircuit,00006.661280,A1_43,6,0.18712
   Plate Serial Number,66-1901,00006.620480,A1_44,7,0.22536
   CO2 Conc. Set Point,5.0 %,00007.971040,B6_23,9,0.16872
   Actual CO2 Conc.,5.0 %,00007.988720,B6_21,6,0.13008
   Gas Mixer Status,Regulating,00007.872880,B3_22,20,0.33336
   AxIS Version,3.0.3.2,00008.045120,B3_42,5,0.14816
   Maestro Edge Firmware,3.0.3.2,00010.262560,B3_22,8,0.06888
   Maestro Edge BioCore Version,4B,00010.830080,B3_22,8,0.2584
,,00011.416640,C3_24,6,0.04328
AxIS Batch Process,,00012.819360,A2_44,17,0.232
   AxIS Version,3.0.3.2,00013.229120,B1_31,6,0.10136
   File Name,o.n experimet read 22.raw,00013.229920,B1_12,5,0.05496
   Plate Type,BioCircuit MEA 24,00013.170480,B1_34,9,0.15008
   Requested File Section,0s to 10m0s,00013.252800,B1_32,6,0.07664
   Actual File Section Run,0s to 10m0s,00013.209040,B1_42,6,0.08896
   Recording Offset from File Start,0s,00013.195200,B1_43,18,0.2112
,,00014.338560,A1_43,6,0.15176
Spike Detector Settings,,00013.166800,B1_14,109,1.53032
   Method,Adaptive Threshold Crossing,00014.354880,A1_44,6,0.30408
   Threshold,6,00014.973760,B3_22,11,0.11344
   Threshold Status,Variable,00015.128000,A2_44,5,0.09824
   Threshold Crossing Only,True,00015.365440,B5_12,16,0.12672
   Pre-Spike Duration,0.84 ms,00015.407520,B5_44,8,0.08648
   Post-Spike Duration,2.16 ms,00015.383280,B5_22,8,0.11288
   Coincident Event Filter,Default (Well),00015.869040,B6_23,12,0.20288
   Coincidence Occurrence Threshold,4 Electrodes,00016.812000,B3_22,8,0.06952
   Coincidence Event Window,160 µs,00017.449040,C3_24,14,0.10368
   Allow Sample Overlap,false,00017.500880,C3_43,7,0.02024
   Spike Count Interval,1 s,00017.537760,B4_23,9,0.0968
,,00017.460880,B4_43,15,0.24784
Burst Detector Settings,,00017.581440,B4_31,14,0.43736
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00018.414160,A6_24,6,0.08064
   Maximum Inter-Spike Interval,100 ms,00020.011520,B6_23,8,0.17896
   Minimum Number of Spikes,5,00022.846400,D1_11,6,0.07016
   Enable Network Burst Detection,True,00023.082960,C3_43,5,0.04208
   Maximum Inter-Spike Interval (network bursts),100 ms,00023.247280,C3_12,6,0.1052
   Minimum Number of Spikes (network bursts),50,00023.269600,C3_24,15,0.13392
   Minimum Participating Electrodes (%),35,00026.726480,B5_24,8,0.1408
   Synchrony Window,20 ms,00026.698400,B5_22,12,0.14992
,,00026.737440,B5_13,5,0.2168
,,00026.747840,B5_42,7,0.20904
,,00027.228720,A1_41,8,0.06688
,,00027.235200,A1_43,6,0.1172
,,00027.031680,A1_44,11,0.34696
,,00027.056720,B5_24,5,0.20056
,,00027.052400,B6_23,9,0.1732
,,00026.678000,B5_12,74,0.7484
,,00027.536400,B5_12,5,0.25136
,,00026.719520,B5_44,72,0.93872
,,00027.919200,A2_44,37,0.69232
,,00028.409360,B3_22,6,0.02744
,,00028.716640,A2_44,12,0.3912
,,00029.588400,A4_41,6,0.18968
,,00029.550800,A6_14,5,0.11784
,,00030.865120,A1_43,8,0.28272
,,00030.933920,A1_44,5,0.21208
,,00030.944800,B6_23,6,0.07272
,,00032.308160,D1_11,5,0.03056
,,00032.320080,D1_22,7,0.05304
,,00032.257920,A4_33,6,0.07688
,,00032.551040,A4_41,5,0.15792
