Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.140240,C3_24,7,0.07512
Description,after infection overnight,00000.147200,C3_43,5,0.0116
,,00002.980640,B5_12,16,0.25088
Maestro Edge Settings,,00003.058320,B5_22,7,0.13272
   Original File Time,08/27/2020 01:32:59,00004.235840,A1_43,5,0.10032
   Sampling Frequency,12.5 kHz,00004.209040,C3_24,11,0.15304
   Voltage Scale,-5.48486178148311E-08 V/sample,00004.191760,C3_43,12,0.15808
   Experiment Start Time,08/25/2020 15:32:43,00004.613520,B5_12,9,0.22648
   Referencing Method,Median,00004.824480,B5_44,8,0.04728
   Analog Mode Setting,Neural Spikes,00004.702640,A6_24,10,0.0884
   Plate Type,BioCircuit MEA 24,00007.440960,B3_44,8,0.1296
   Digital Low Pass Filter,3 kHz Kaiser Window,00007.509600,B2_32,8,0.2152
   Digital High Pass Filter,200 Hz IIR,00008.425280,B2_34,5,0.22128
   Temperature Set Point,37.0 Degrees C,00008.560240,C3_24,10,0.10088
   Current Temperature,37.0 Degrees C,00008.526480,C3_43,6,0.126
   Heater Power,On,00008.633680,A1_43,11,0.32432
   Barcode Plate Type,TwentyFourWellCircuit,00008.803120,A1_44,5,0.13544
   Plate Serial Number,66-1901,00009.378240,B5_12,28,0.22664
   CO2 Conc. Set Point,5.0 %,00009.436000,B5_24,5,0.10424
   Actual CO2 Conc.,5.0 %,00009.374960,B5_42,6,0.11336
   Gas Mixer Status,Regulating,00009.420240,B5_44,21,0.11232
   AxIS Version,3.0.3.2,00009.382960,B5_22,8,0.13096
   Maestro Edge Firmware,3.0.3.2,00009.715680,B4_23,8,0.07488
   Maestro Edge BioCore Version,4B,00009.708560,B4_43,14,0.09056
,,00009.720160,B4_44,6,0.08
AxIS Batch Process,,00009.685280,B2_34,6,0.24832
   AxIS Version,3.0.3.2,00009.719520,B4_31,8,0.18456
   File Name,o.n experimet read 17.raw,00011.063760,D5_33,17,0.21888
   Plate Type,BioCircuit MEA 24,00011.139760,D5_34,7,0.12208
   Requested File Section,0s to 10m0s,00011.053120,D5_43,6,0.16368
   Actual File Section Run,0s to 10m0s,00011.031360,D5_41,11,0.29592
   Recording Offset from File Start,0s,00011.730160,B5_22,6,0.13968
,,00011.698560,B5_12,10,0.2264
Spike Detector Settings,,00013.379680,B3_22,6,0.082
   Method,Adaptive Threshold Crossing,00014.992160,D1_42,10,0.0992
   Threshold,6,00015.463520,C3_43,5,0.21472
   Threshold Status,Variable,00016.753280,B6_23,9,0.14472
   Threshold Crossing Only,True,00017.517440,C3_22,5,0.06704
   Pre-Spike Duration,0.84 ms,00017.448720,C3_24,5,0.03872
   Post-Spike Duration,2.16 ms,00017.789840,B3_32,5,0.07776
   Coincident Event Filter,Default (Well),00017.736320,B3_22,12,0.20968
   Coincidence Occurrence Threshold,4 Electrodes,00018.098800,B5_44,5,0.046
   Coincidence Event Window,160 µs,00018.077040,D2_21,7,0.19464
   Allow Sample Overlap,false,00017.984800,B5_12,16,0.17432
   Spike Count Interval,1 s,00017.990960,B5_22,8,0.15928
,,00018.076720,D2_23,17,0.32504
Burst Detector Settings,,00018.145280,D2_34,14,0.61696
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00019.255040,D2_34,5,0.21464
   Maximum Inter-Spike Interval,100 ms,00019.206480,D2_21,31,0.6156
   Minimum Number of Spikes,5,00019.988560,C3_43,8,0.07168
   Enable Network Burst Detection,True,00021.851520,A1_41,6,0.064
   Maximum Inter-Spike Interval (network bursts),100 ms,00021.853680,A1_12,6,0.19144
   Minimum Number of Spikes (network bursts),50,00021.720800,A1_43,14,0.26472
   Minimum Participating Electrodes (%),35,00021.720400,A1_44,7,0.244
   Synchrony Window,20 ms,00022.953760,A4_33,8,0.1052
,,00024.031600,A1_41,6,0.09176
,,00024.055120,A1_12,5,0.09648
,,00024.016080,A1_43,12,0.26136
,,00024.015040,A1_44,5,0.13752
,,00025.278720,A1_43,8,0.17344
,,00025.277360,A1_44,6,0.15376
,,00026.217600,A1_43,8,0.17272
,,00028.352080,D2_21,5,0.13208
,,00029.281600,A1_12,5,0.08304
,,00029.231440,A1_43,7,0.08592
,,00029.277120,A1_44,5,0.14344
,,00030.239040,A1_43,5,0.07952
,,00030.038480,B3_22,6,0.16464
,,00030.396800,B3_22,11,0.1744
,,00030.338400,B5_12,24,0.23432
,,00030.336080,B5_13,5,0.1876
,,00030.414240,B5_11,5,0.1628
,,00030.355760,B5_42,5,0.15296
,,00030.376880,B5_44,24,0.21752
,,00030.356320,B5_22,11,0.19576
,,00030.562880,A3_34,13,0.24256
,,00030.919040,C3_24,7,0.07
,,00030.910080,C3_43,5,0.00944
,,00030.747280,A6_24,7,0.16912
,,00030.996880,A3_34,16,0.38976
,,00031.622080,A1_43,8,0.13808
,,00031.580000,A1_44,5,0.15688
,,00032.050080,B5_12,12,0.19528
,,00032.189200,B5_44,5,0.03768
,,00032.063040,B5_22,6,0.17264
,,00032.941200,D1_11,6,0.08864
,,00032.944720,D1_22,5,0.06648
,,00034.078000,A1_41,9,0.06888
,,00033.703120,B3_22,11,0.30024
,,00034.085120,A1_12,5,0.08896
,,00034.021280,A1_43,11,0.21376
,,00034.019920,A1_44,7,0.2136
,,00035.039040,A1_12,5,0.08904
,,00034.878720,A1_43,14,0.31864
,,00035.242080,B5_13,5,0.1332
,,00035.233200,B5_44,5,0.09808
,,00035.216960,B5_22,8,0.12216
,,00035.156160,B5_12,22,0.27032
,,00035.941280,A1_43,8,0.2324
,,00037.230080,A1_43,5,0.1736
,,00038.164320,B3_22,11,0.21656
,,00038.620560,B3_22,6,0.1068
,,00039.410960,B6_23,8,0.08712
,,00039.420400,B6_21,6,0.12768
,,00040.285120,B6_23,8,0.33216
,,00040.611760,A4_33,7,0.24592
,,00040.885120,A1_43,8,0.13208
,,00041.329600,B5_44,12,0.06184
,,00041.330480,B5_22,6,0.05816
,,00041.273200,B5_12,13,0.14496
,,00043.252000,A1_43,7,0.08392
,,00043.291520,D2_21,6,0.08472
,,00043.618720,C3_24,15,0.11072
,,00043.691200,B6_23,11,0.23416
,,00043.761760,B6_24,10,0.17008
,,00043.742240,B6_21,12,0.24944
,,00044.443920,B3_22,5,0.04336
,,00044.590640,B3_22,13,0.17584
,,00045.923040,C1_21,7,0.20592
,,00045.869760,C1_11,7,0.1616
,,00045.911200,C1_42,8,0.2136
,,00046.140400,C1_11,6,0.21272
,,00045.886640,C1_22,15,0.36984
,,00045.894800,C1_23,14,0.3084
,,00046.306160,C1_23,5,0.10472
,,00047.001920,A2_44,27,0.23704
,,00047.569440,A1_43,9,0.23728
,,00048.092720,D1_22,6,0.10704
,,00048.845440,A1_43,10,0.2448
,,00048.844160,A1_44,5,0.2448
,,00049.109440,B6_23,5,0.14704
,,00049.277200,D3_24,9,0.32304
,,00049.808880,D3_24,9,0.39616
,,00051.678400,A3_34,7,0.09616
,,00051.819440,A2_44,15,0.15048
,,00051.830240,D3_24,7,0.13584
,,00052.101600,A1_43,8,0.15832
,,00053.527120,A4_33,13,0.21592
,,00053.979200,A4_33,9,0.39368
,,00054.392080,B5_12,10,0.15032
,,00054.519840,B5_44,5,0.05928
,,00054.394800,B5_22,10,0.1036
,,00054.212080,B6_23,7,0.25248
,,00054.588400,B3_22,9,0.11096
,,00055.296800,A2_44,11,0.1852
,,00056.923440,B1_31,8,0.07512
,,00056.842480,B1_14,35,0.2696
,,00056.868400,B1_43,8,0.10424
,,00056.998800,A1_43,8,0.1488
,,00056.991200,A1_44,6,0.24352
,,00057.157360,D3_24,5,0.2172
,,00057.831840,A1_43,5,0.19976
,,00057.812880,B5_12,21,0.1656
,,00057.878480,B5_44,7,0.0564
,,00057.819440,B5_22,8,0.14344
,,00058.688320,D5_33,13,0.18232
,,00058.682160,D5_43,12,0.14728
,,00058.657760,D5_41,16,0.23224
,,00058.816160,A2_44,11,0.15456
,,00059.141520,D1_22,11,0.08432
,,00059.189040,C3_12,7,0.08064
,,00059.256080,C3_24,12,0.07952
,,00059.992160,B5_12,19,0.23776
,,00060.030000,B5_44,15,0.1636
,,00060.000480,B5_22,8,0.21144
,,00062.783040,A1_43,7,0.22336
,,00062.977120,B1_14,16,0.33768
,,00063.536080,B3_22,12,0.19344
,,00064.272160,A2_44,7,0.11216
,,00064.334320,C3_43,5,0.01312
,,00064.319200,C3_24,14,0.12536
,,00064.544560,A3_34,6,0.08744
,,00064.788080,B5_13,8,0.17248
,,00064.820560,B5_11,6,0.1908
,,00064.807280,B5_44,33,0.2796
,,00064.797680,B5_22,15,0.20384
,,00064.811040,B5_23,16,0.56568
,,00064.825200,B5_24,21,0.57504
,,00065.199680,B5_44,81,0.87624
,,00065.503680,B5_22,14,0.43296
,,00064.785600,B5_12,127,1.6128
,,00065.742080,B5_11,9,0.5256
,,00066.257040,A2_44,19,0.15
,,00066.603520,B5_12,27,0.45224
,,00066.599120,B5_22,11,0.33632
,,00068.154800,B5_12,5,0.18192
,,00068.258640,B3_44,6,0.16624
,,00068.094720,B3_42,14,0.32416
,,00068.112880,B3_22,67,1.01064
,,00069.667760,A2_22,6,0.14232
,,00070.031600,C3_12,15,0.07576
,,00070.039200,C3_43,15,0.06392
,,00069.341440,B3_22,31,0.78048
,,00069.622240,A2_44,45,0.59496
,,00070.055840,C3_22,10,0.1664
,,00070.059680,C3_14,28,0.25176
,,00070.042560,C3_24,17,0.19528
,,00070.433760,B1_14,33,0.24472
,,00070.549840,B1_43,8,0.10296
,,00070.484720,C3_12,9,0.22512
,,00070.592560,C3_43,5,0.07976
,,00070.241440,B3_22,12,0.48104
,,00070.833120,C3_14,8,0.21968
,,00070.657840,C3_24,27,0.38008
,,00071.090960,C3_22,7,0.17968
,,00071.516800,B1_14,14,0.20304
,,00071.697520,D2_21,8,0.10064
,,00071.646960,B3_22,6,0.12784
,,00072.393040,C3_43,7,0.0864
,,00072.550960,B1_14,15,0.21304
,,00073.008240,B6_23,5,0.06496
,,00073.047200,B6_24,5,0.09608
,,00073.014320,B6_21,9,0.13112
,,00073.182880,C3_12,25,0.18536
,,00073.264240,C3_22,6,0.0844
,,00073.206880,C3_14,32,0.18336
,,00073.146480,C3_43,26,0.15584
,,00073.176080,C3_24,24,0.22488
,,00073.352880,B5_12,7,0.24144
,,00073.695200,A1_43,14,0.44984
,,00074.095760,A1_41,14,0.13808
,,00074.303600,C3_43,14,0.2688
