Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.960720,D3_24,6,0.26272
Description,after infection overnight,00001.054400,B3_44,11,0.32832
,,00000.987840,B3_42,16,0.32776
Maestro Edge Settings,,00000.938640,B3_22,40,0.61224
   Original File Time,08/26/2020 23:32:59,00001.767600,B3_22,16,0.32784
   Sampling Frequency,12.5 kHz,00002.599520,C2_21,5,0.03176
   Voltage Scale,-5.48486178148311E-08 V/sample,00002.467840,C2_41,27,0.3124
   Experiment Start Time,08/25/2020 15:32:43,00002.858400,A1_43,5,0.20616
   Referencing Method,Median,00002.690800,B3_42,17,0.35528
   Analog Mode Setting,Neural Spikes,00003.226480,A2_44,5,0.05712
   Plate Type,BioCircuit MEA 24,00003.583120,C3_24,6,0.0468
   Digital Low Pass Filter,3 kHz Kaiser Window,00002.422800,B3_22,84,1.1576
   Digital High Pass Filter,200 Hz IIR,00003.460800,A4_33,5,0.28176
   Temperature Set Point,37.0 Degrees C,00003.977600,B3_22,30,1.00856
   Current Temperature,37.0 Degrees C,00005.106320,B3_22,6,0.26408
   Heater Power,On,00005.914640,D2_21,7,0.16568
   Barcode Plate Type,TwentyFourWellCircuit,00005.353680,A4_33,17,0.54912
   Plate Serial Number,66-1901,00006.100320,B3_22,8,0.20912
   CO2 Conc. Set Point,5.0 %,00006.665280,B3_22,9,0.2416
   Actual CO2 Conc.,5.0 %,00007.503920,D5_33,22,0.24568
   Gas Mixer Status,Regulating,00007.545600,D5_34,9,0.19128
   AxIS Version,3.0.3.2,00007.494880,D5_43,14,0.2232
   Maestro Edge Firmware,3.0.3.2,00007.497440,D5_41,15,0.27224
   Maestro Edge BioCore Version,4B,00008.466240,D2_21,19,0.37816
,,00008.514400,D2_31,11,0.21968
AxIS Batch Process,,00008.543920,D2_23,17,0.18976
   AxIS Version,3.0.3.2,00008.960320,D2_21,9,0.25416
   File Name,o.n experimet read 16.raw,00008.896960,D2_23,10,0.26144
   Plate Type,BioCircuit MEA 24,00008.507680,D2_34,36,0.7056
   Requested File Section,0s to 10m0s,00009.382320,C1_11,6,0.08248
   Actual File Section Run,0s to 10m0s,00009.406400,C1_22,6,0.06232
   Recording Offset from File Start,0s,00009.368080,C1_42,7,0.11312
,,00009.273680,B3_22,5,0.16968
Spike Detector Settings,,00009.556640,D2_21,6,0.21
   Method,Adaptive Threshold Crossing,00009.893280,A1_43,5,0.12312
   Threshold,6,00009.342160,D2_34,13,0.71968
   Threshold Status,Variable,00010.592560,B3_22,11,0.3136
   Threshold Crossing Only,True,00010.879520,A3_34,6,0.0972
   Pre-Spike Duration,0.84 ms,00011.116640,D2_34,7,0.41416
   Post-Spike Duration,2.16 ms,00011.740400,B3_22,17,0.16168
   Coincident Event Filter,Default (Well),00012.103360,D2_21,5,0.21912
   Coincidence Occurrence Threshold,4 Electrodes,00013.181840,A2_44,12,0.10784
   Coincidence Event Window,160 µs,00015.873440,B3_22,14,0.39416
   Allow Sample Overlap,false,00017.785440,D1_22,6,0.04088
   Spike Count Interval,1 s,00017.810160,D1_42,6,0.09096
,,00019.198240,A2_44,6,0.0956
Burst Detector Settings,,00020.583280,C3_43,5,0.0236
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00020.438800,A4_33,5,0.12976
