Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
,,00042.561600,C3_14,11,0.04096
,,00042.396240,C3_24,19,0.22976
,,00042.531520,C3_43,10,0.06008
,,00042.577280,D5_33,16,0.13696
,,00042.587920,D5_43,11,0.18704
,,00042.572880,D5_21,6,0.0928
,,00042.567840,D5_41,22,0.16648
,,00042.619840,D5_12,12,0.4104
,,00043.602000,D5_43,6,0.19368
,,00043.762560,D5_33,6,0.1948
,,00044.239760,D2_21,5,0.15008
,,00044.215120,D2_31,6,0.07544
,,00043.701760,D5_12,20,0.63
,,00043.997120,D5_13,15,0.28144
,,00044.193920,D5_43,12,0.18424
,,00044.160080,D5_41,7,0.21352
,,00044.184000,D2_23,20,0.37648
,,00044.167920,D5_33,23,0.36048
,,00044.132400,D5_21,8,0.28456
,,00044.233440,D2_34,10,0.4172
,,00045.992240,A1_41,7,0.06248
,,00045.886480,A1_43,8,0.19928
,,00045.764320,D2_34,12,0.34792
,,00045.763760,D2_21,25,0.4704
,,00046.759840,C3_24,10,0.07592
,,00046.975440,C3_22,5,0.1304
,,00048.792160,C3_12,5,0.0904
,,00048.832160,C3_24,7,0.02808
,,00048.791760,C3_43,15,0.07976
,,00048.926560,C3_22,6,0.12016
,,00049.670320,C3_12,7,0.15768
,,00049.780400,C3_14,7,0.04184
,,00049.746240,C3_24,12,0.1176
,,00049.560880,C3_43,21,0.25712
,,00049.767520,C3_22,9,0.25488
,,00051.510560,D4_21,11,0.13112
,,00051.466080,D4_32,12,0.26872
,,00052.180160,C3_22,6,0.14768
,,00052.263360,D4_21,5,0.18768
,,00052.289440,A5_13,9,0.15168
,,00052.641680,A3_34,16,0.25136
,,00052.638800,A3_44,5,0.18128
,,00052.743200,A5_13,25,0.83904
,,00053.562640,B2_31,6,0.12656
,,00053.816480,A1_41,13,0.098
,,00053.834720,A1_12,6,0.10616
,,00053.834880,A1_43,5,0.06592
,,00053.833840,A1_44,8,0.16368
,,00053.754560,A5_13,14,0.57432
,,00054.578080,D1_42,16,0.10504
,,00055.031120,B5_44,15,0.07424
,,00054.966320,B5_22,7,0.16104
,,00054.920240,D1_42,15,0.42264
,,00055.097840,A1_43,9,0.0948
,,00054.965360,B3_22,13,0.24784
,,00055.109920,B3_32,5,0.07216
,,00054.969200,B5_12,9,0.19232
,,00055.746960,B2_31,6,0.12792
,,00055.692000,A3_34,5,0.07064
,,00055.801360,B2_32,8,0.16136
,,00056.022480,A3_32,12,0.25936
,,00056.160240,D5_33,8,0.1
,,00056.150960,D5_43,6,0.09056
,,00055.883360,A3_34,48,0.90632
,,00056.716560,B3_41,6,0.29104
,,00056.558320,B3_42,23,0.51256
,,00056.560240,B3_22,64,0.76104
,,00057.076560,A3_34,6,0.13912
,,00057.339120,A3_34,6,0.26888
,,00057.524880,D4_32,6,0.13536
,,00057.554720,D4_21,5,0.17376
,,00057.849760,B3_42,9,0.2348
,,00057.597280,B3_22,46,0.62184
,,00058.816000,B1_21,5,0.06256
,,00058.781680,B1_31,9,0.10088
,,00058.780000,B1_12,10,0.09488
,,00058.807920,B1_42,5,0.01944
,,00058.491360,B3_44,8,0.31224
,,00058.766880,B1_43,30,0.23824
,,00058.788960,B3_22,14,0.4676
,,00059.082560,A6_24,7,0.1928
,,00058.700240,B1_14,66,0.748
,,00059.367840,B3_22,8,0.30008
,,00059.635440,B1_14,49,0.71688
,,00060.059440,B1_43,6,0.20824
,,00060.581120,D5_12,5,0.16168
,,00060.571040,D5_13,5,0.09216
,,00060.615760,D5_43,6,0.12784
,,00061.199600,C3_22,5,0.19936
,,00061.138480,C3_24,7,0.04216
,,00061.662000,D2_21,6,0.05256
,,00062.796880,A1_41,5,0.0592
,,00062.727600,A1_43,10,0.1896
,,00063.158240,B2_32,7,0.3816
,,00063.589680,B1_14,6,0.32816
,,00065.751920,C3_43,10,0.032
,,00066.115360,C3_13,5,0.22008
,,00066.312000,D4_21,7,0.0584
,,00067.122480,A1_43,6,0.12424
,,00067.380320,B3_22,11,0.19344
,,00067.382240,B3_42,8,0.1436
,,00068.389360,C3_24,7,0.13256
,,00069.483680,A4_41,5,0.0504
,,00069.410960,A4_33,15,0.35384
,,00069.878000,A4_33,9,0.23952
,,00070.261040,A6_24,5,0.1004
,,00070.589200,D5_12,6,0.26352
,,00070.700400,D5_13,6,0.07328
,,00070.639680,D5_33,6,0.09312
,,00070.686480,D5_43,8,0.12784
,,00070.690160,C6_33,10,0.14184
,,00070.746320,C6_34,8,0.086
,,00070.703760,C6_41,6,0.07856
,,00071.167360,B3_22,6,0.04712
,,00071.149360,A4_41,5,0.21144
,,00071.442800,A4_33,23,0.40488
,,00072.257120,C3_12,5,0.06648
,,00072.232080,C3_24,9,0.1472
,,00072.122240,C6_34,5,0.29648
,,00073.062000,D6_33,7,0.0708
,,00072.987920,D6_32,13,0.28784
,,00074.102560,A1_43,5,0.0688
,,00073.313760,D6_33,24,0.95904
,,00076.082240,B1_14,33,0.41448
,,00076.302320,B1_43,11,0.19784
,,00077.301840,C3_12,11,0.10128
,,00077.374480,C3_22,7,0.1092
,,00077.378640,C3_14,17,0.108
,,00077.269200,C3_24,20,0.15408
,,00077.317120,C3_43,10,0.08592
