Investigator,Yossi,Time (s),Electrode,Amplitude (mV),,
,,601.81416,B2_64,0.006,,
,,601.81448,B1_62,0.006,,
,,601.81464,B1_71,0.007,,
,,601.81504,B3_71,0.01,,
,,601.8152,B1_43,0.011,,
,,602.28736,A2_34,0.012,,
,,602.34936,B3_17,0.007,,
,,602.50808,B3_52,0.009,,
,,602.75592,B3_26,0.009,,
,,615.8968,B3_76,0.014,,
,,615.89688,A2_81,0.108,,
,,615.89688,A3_81,0.102,,
,,615.89688,B3_81,0.133,,
,,615.89712,B2_71,0.013,,
,,615.89952,B1_43,0.009,,
,,615.89984,B2_11,0.01,,
,,615.89992,B2_32,0.009,,
,,615.902,A3_11,0.011,,
,,615.91008,A2_75,0.01,,
,,615.91008,B2_44,0.013,,
,,615.91024,A1_74,0.008,,
,,615.91024,B1_51,0.01,,
,,615.91024,B2_25,0.01,,
,,615.91032,B2_43,0.008,,
,,615.9104,A1_52,0.01,,
,,615.91048,A1_67,0.01,,
,,615.91056,B3_68,0.011,,
,,615.9108,A1_27,0.011,,
,,615.91104,B3_61,0.014,,
,,615.91112,A2_85,0.01,,
,,615.91144,A2_23,0.014,,
,,615.91144,A3_34,0.015,,
,,615.91144,B2_78,0.015,,
,,615.91152,A2_12,0.012,,
,,615.91152,A2_77,0.01,,
,,615.91152,A3_11,0.008,,
,,615.91152,B1_83,0.011,,
,,615.91152,B2_36,0.022,,
,,615.91152,B2_87,0.01,,
,,615.91152,B3_52,0.005,,
,,615.9116,B2_85,0.022,,
,,615.91168,A1_71,0.016,,
,,615.91168,A3_57,0.013,,
,,615.91184,A3_37,0.012,,
,,615.91192,A3_25,0.003,,
,,615.912,B3_27,0.006,,
,,615.91208,B3_38,0.006,,
,,615.91216,A3_35,0.007,,
,,615.91224,B3_16,0.007,,
,,615.91224,B3_34,0.008,,
,,615.91224,B3_76,0.007,,
,,615.91232,A2_71,0.008,,
,,615.91232,A3_28,0.006,,
,,615.9124,A3_26,0.007,,
,,615.9124,B3_47,0.008,,
,,615.91256,B1_32,0.007,,
,,615.91272,B2_11,0.01,,
,,615.91272,B2_34,0.005,,
,,615.91288,B2_65,0.01,,
,,615.91304,A3_56,0.007,,
,,615.91312,B2_28,0.011,,
,,615.91312,B2_51,0.005,,
,,615.91312,B3_75,0.008,,
,,615.9132,B2_18,0.007,,
,,615.9132,B2_64,0.011,,
,,615.91328,A2_11,0.009,,
,,615.91328,A3_45,0.007,,
,,615.91336,A2_61,0.006,,
,,615.91336,A2_82,0.011,,
,,615.91336,B2_33,0.007,,
,,615.91336,B2_55,0.007,,
,,615.91352,A1_58,0.006,,
,,615.9136,B2_32,0.007,,
,,615.91376,A2_27,0.009,,
,,615.91376,A2_51,0.008,,
,,615.91408,A2_24,0.013,,
,,615.91416,A2_14,0.014,,
,,615.91416,B3_63,0.009,,
,,615.91432,B1_62,0.01,,
,,615.9144,B1_71,0.013,,
,,615.91448,B3_71,0.007,,
,,629.99696,A1_81,0.12,,
,,629.99696,A2_81,0.114,,
,,629.99696,A3_81,0.097,,
