Electrode,Mean,STD
C2_42,0.05142857142857143,0.7427252630189246
D1_21,0.39714285714285713,3.385598551367306
D1_12,0.41714285714285715,3.435569049499304
B1_43,0.16285714285714287,2.3783050043839107
D5_21,0.12857142857142856,1.4572128834714237
D6_34,0.15428571428571428,2.215315889392734
A3_14,0.3,1.5151614718287572
D6_21,0.21142857142857144,2.273043451105202
C2_41,0.3942857142857143,1.7562855051244388
C2_21,0.3942857142857143,2.2687873233001246
B4_24,0.6057142857142858,1.6032008798726658
B5_33,0.9542857142857143,2.003759731411052
A2_22,0.08,1.1486140717030615
D4_32,0.025714285714285714,0.3412940559884705
C1_41,0.24857142857142858,3.659576199395728
C2_33,0.11428571428571428,0.9876792009967773
A6_24,0.011428571428571429,0.1686440521528424
D2_44,0.08857142857142856,1.0368279726637195
A6_41,0.054285714285714284,0.7633920008349416
D3_21,0.011428571428571429,0.13043099669158087
B2_13,0.07428571428571429,1.113640839035345
C4_21,0.05714285714285714,0.8121525944886797
D1_24,0.19428571428571428,1.6551120561361843
C4_42,0.017142857142857144,0.27201440538084354
C4_32,0.03428571428571429,0.4585335987956497
B5_23,0.14857142857142858,2.1100265981494073
A4_33,0.9628571428571429,1.56799885464348
A5_41,0.22857142857142856,3.322526700189087
D4_42,0.09142857142857143,1.067807213357336
D6_14,0.12571428571428572,1.822454053058733
D2_13,0.017142857142857144,0.22612981642753585
C5_23,0.13428571428571429,1.8629382103307144
D6_42,0.17142857142857143,2.529660782292636
C1_32,0.09714285714285714,1.2902902695098635
C5_43,0.06285714285714286,0.9450882692821312
B3_34,0.06857142857142857,0.9325147041571988
A3_42,15.982857142857142,13.223776977513662
A3_41,8.911428571428571,8.49911832162007
D4_43,0.14,1.631948878751152
B6_43,0.2,2.0227280023346124
B4_11,0.3028571428571429,1.412087758156232
B1_34,0.14285714285714285,2.059720607167835
D5_12,0.14285714285714285,1.7211766264947466
B4_23,4.571428571428571,2.8059703112747116
B6_12,0.13714285714285715,1.5669963468433512
A6_21,0.10857142857142857,1.5267840016698833
B4_41,0.06,0.8345058418010027
A2_44,0.08,1.1209179911381308
A1_42,0.13714285714285715,2.0237286258341083
A4_21,0.07428571428571429,1.0502633294676578
B6_41,0.054285714285714284,0.696867627168832
A4_31,0.12285714285714286,1.8637267908737072
D1_42,0.32857142857142857,2.638838643751281
C5_24,0.06857142857142857,1.0118643129170541
A5_34,0.06285714285714286,0.9112270265293665
A2_31,0.17714285714285713,2.4859704301523453
C5_13,0.06857142857142857,0.9537209620582888
C3_44,0.022857142857142857,0.37727270491986437
B4_33,0.09714285714285714,1.3863592019151074
C5_32,0.08,1.255570445198971
B1_21,0.09142857142857143,1.384685921803503
A1_12,5.977142857142857,3.2088347430435347
A2_11,0.11714285714285715,1.7729693759801002
B2_43,0.008571428571428572,0.1192151202572861
D2_14,0.025714285714285714,0.2866983054839128
D1_23,0.21428571428571427,1.8935443496474103
C4_33,0.05714285714285714,0.8121525944886797
C4_13,0.08571428571428572,1.2182288917330197
A1_11,0.12,1.7541461089169772
C2_43,0.8628571428571429,2.915680338571891
D3_32,0.06571428571428571,0.9848692029598525
D4_12,0.10857142857142857,1.453934844005138
D6_43,0.1742857142857143,2.485597698415282
C6_41,0.09428571428571429,1.3668405397940497
D5_11,0.11714285714285715,1.6734883523066788
B5_43,0.14285714285714285,1.8523013815692262
C3_22,0.11714285714285715,1.6214606667685625
D2_43,0.12,1.6569852141766386
B3_21,0.045714285714285714,0.6077324867984302
C1_11,2.8514285714285714,2.130240955998228
C4_11,0.014285714285714285,0.21992577597629503
C2_34,1.0542857142857143,2.3027738375573867
D1_33,0.3742857142857143,3.2662641706777276
A2_21,0.09142857142857143,1.288492237034418
A1_41,0.3028571428571429,4.45225372876548
B3_41,0.08,1.131067763537749
D4_14,0.09142857142857143,1.3170034013561522
A5_21,0.11714285714285715,1.7039426070625927
B3_33,0.09142857142857143,1.3491524172227392
D3_12,0.017142857142857144,0.19926395170471653
A5_11,0.07142857142857142,1.062630544201223
D4_22,0.16857142857142857,2.0846748877834886
D3_11,0.037142857142857144,0.4675686133213663
B5_21,0.6057142857142858,1.4258717347930119
B3_44,0.18857142857142858,1.7562576167312502
D1_43,0.38285714285714284,3.391037406735223
C2_32,2.3314285714285714,3.762808330304939
C4_22,0.11142857142857143,1.6041502296180592
D3_22,0.06571428571428571,0.906308953043799
B4_32,0.44571428571428573,2.4439245788155524
C2_22,4.091428571428572,9.41322387248223
B2_33,0.3171428571428571,1.2848536802265993
B3_14,0.13428571428571429,1.9571762249501714
A3_12,0.6171428571428571,2.776790101053034
C3_13,0.11428571428571428,1.7216508451637518
B1_22,0.04285714285714286,0.5765838877317305
D4_31,0.10571428571428572,1.2683944535498086
C4_43,0.06,0.8345058418010027
C2_12,0.06857142857142857,0.9803123200786366
C5_22,0.13714285714285715,1.8388017393766773
C2_11,0.1,1.1507761356083615
D6_13,0.12285714285714286,1.8249987419621043
C3_14,0.07714285714285714,1.1648631346424265
C1_42,0.07142857142857142,0.9786496319116541
A5_32,0.09142857142857143,1.3170034013561522
B1_32,0.14,1.9814424760043594
A6_34,0.011428571428571429,0.2135033336259361
A1_44,0.12857142857142856,1.9057913884595372
B5_31,7.56,6.175583257590215
A2_41,0.09428571428571429,1.3998862927584728
B6_11,0.07142857142857142,0.981564764931536
B3_24,0.08285714285714285,1.169367524845489
C2_23,0.16285714285714287,0.6181011079037447
D3_14,0.11714285714285715,1.6249810045985529
A3_13,1.0857142857142856,3.2756367195352034
A3_21,1.9085714285714286,2.7594379788615786
B5_41,0.12285714285714286,1.7547626154938152
C6_43,0.14,2.147516838450533
D5_44,0.07142857142857142,0.8931713732766049
C5_21,0.11714285714285715,1.6734883523066788
C1_14,0.08857142857142856,1.197919965981851
A3_23,0.05714285714285714,0.8121525944886797
B2_42,0.18857142857142858,2.6541365481690136
D5_43,0.09428571428571429,1.1437889058845123
D5_24,0.12571428571428572,1.5752265791022584
D3_31,0.014285714285714285,0.26687916703242004
B4_34,0.18285714285714286,1.5159128724087982
C6_33,0.11714285714285715,1.183453955718651
C6_34,0.054285714285714284,0.7405954581639435
C6_24,0.09714285714285714,1.4169354686960798
D1_11,0.3742857142857143,3.2337367025199333
D3_43,0.017142857142857144,0.27201440538084354
B2_31,15.9,7.271765358464988
B4_13,0.11714285714285715,1.6214606667685625
C1_44,0.07714285714285714,1.0992427820447819
C3_43,0.06571428571428571,1.0357724121620144
A1_22,0.11714285714285715,1.1615225757072272
C1_21,1.4514285714285715,1.5068171618294217
D1_22,0.25142857142857145,1.9580415038022678
C4_31,0.005714285714285714,0.10675166681296805
D3_33,0.037142857142857144,0.4675686133213663
C6_12,0.03428571428571429,0.5059321564585271
A1_23,9.402857142857142,5.8651993372183115
B2_23,0.23142857142857143,2.6887353828861014
C4_34,0.022857142857142857,0.37727270491986437
A5_13,0.03142857142857143,0.45561351326468325
C5_42,0.09142857142857143,1.3491524172227392
A3_22,0.15142857142857144,2.1784491768977605
D5_41,0.12285714285714286,1.5961714398228415
C3_21,0.06285714285714286,0.9112270265293665
C2_14,0.19428571428571428,1.973241402528606
C3_23,0.06,0.8614605537772961
D6_44,0.13714285714285715,1.7233001088916937
C4_44,0.07142857142857142,1.062630544201223
D2_12,0.037142857142857144,0.491403653853335
B5_42,18.36,5.227028656074937
D2_21,0.11714285714285715,1.29856749960116
B6_42,0.09714285714285714,1.3593035431606066
B3_13,0.1457142857142857,2.1257392471652716
D3_44,0.002857142857142857,0.053375833406484025
C6_42,0.04857142857142857,0.7254048834257729
B3_42,0.10857142857142857,1.5855366695892734
A5_31,0.14,2.0411061426869224
A2_24,0.7828571428571428,2.4339838847084443
A6_44,0.037142857142857144,0.5028977256351231
A2_42,0.12,1.6690116836020055
A5_33,0.06571428571428571,0.8839660165228904
D3_24,0.04857142857142857,0.7134909864568031
D2_22,0.03142857142857143,0.35718856850323166
D4_11,0.03142857142857143,0.4162907147459254
B6_24,0.09142857142857143,1.288492237034418
D2_32,0.13142857142857142,1.7999637184552086
C5_33,0.07428571428571429,1.0797732188203377
A3_34,0.06857142857142857,1.0118643129170541
A3_44,0.10285714285714286,1.4854505260378492
B6_32,0.08857142857142856,1.3204482850416326
B2_11,0.10285714285714286,0.9012644179265086
B5_11,0.08,1.165896344326667
A6_13,0.022857142857142857,0.3108382347190662
A4_41,0.09428571428571429,1.3500143612236883
A2_43,0.06857142857142857,0.9537209620582888
C1_13,0.10857142857142857,1.481190916327887
D3_42,0.07142857142857142,0.9669012148010121
A4_42,0.08,1.1486140717030615
D2_11,0.11142857142857143,1.2902428184695487
A4_44,0.09142857142857143,1.2638651439298483
C6_22,0.08,1.2162706465726638
D4_41,0.09142857142857143,1.1097931412324238
C4_14,0.005714285714285714,0.10675166681296805
C6_21,0.07142857142857142,1.013077751513794
A4_14,0.09428571428571429,1.3668405397940497
A1_13,2.4085714285714284,2.052576280617873
A4_32,0.9485714285714286,1.3299562675025776
B2_22,0.19142857142857142,2.159480285170674
C2_44,0.05714285714285714,0.8797031039051801
C2_13,1.5,2.753439407618873
A2_32,0.43714285714285717,1.7745157430828782
C6_31,0.05714285714285714,0.8797031039051801
C3_41,0.08857142857142856,1.3333676866322743
A5_14,0.09142857142857143,1.288492237034418
B2_44,0.10857142857142857,1.5267840016698833
C6_11,0.08285714285714285,1.1983287682162578
C1_12,0.09142857142857143,1.3491524172227392
B4_43,0.08571428571428572,1.248345844283056
A6_42,0.022857142857142857,0.3108382347190662
A3_33,1.2714285714285714,2.1522176507794306
B5_22,0.9057142857142857,1.803083526651395
C5_14,0.09714285714285714,1.3122468657743838
D1_32,0.21142857142857144,1.6303849551688143
