Investigator,Alberto,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
   Minimum Participating Electrodes (%),35,00078.413440,B4,60,0.62208,10,6,2.966479
   Synchrony Window,20 ms,00079.159920,A5,171,0.45024,16,10.6875,9.332194
,,00081.419760,B5,684,0.49768,16,42.75,16.872684
,,00080.982400,A2,130,1.53072,8,16.25,13.386093
,,00083.786880,D4,68,0.36208,12,5.666667,5.572751
,,00084.112880,C1,72,0.2828,12,6,6.480741
,,00085.113600,D5,407,0.49104,14,29.071429,18.587494
,,00085.625440,A4,219,0.27848,15,14.6,9.87117
,,00086.743680,D6,367,0.58152,13,28.230769,20.666412
,,00087.122720,C2,435,0.56096,15,29,16.512621
,,00089.692880,B1,420,0.47216,16,26.25,14.804982
,,00091.502880,C5,451,0.59936,15,30.066667,21.477016
,,00092.543760,B2,475,0.41592,16,29.6875,14.772097
,,00092.613360,C4,484,0.39136,16,30.25,15.638494
,,00092.687760,C3,436,0.86408,12,36.333333,22.425184
,,00092.846720,C5,60,1.66384,7,8.571429,11.647896
,,00095.118000,C3,54,1.02168,8,6.75,6.959705
,,00097.056720,C1,95,0.3308,12,7.916667,8.817203
,,00097.977600,B2,56,0.30848,11,5.090909,3.6545
,,00098.063040,A5,584,0.4596,16,36.5,15.640492
,,00098.987360,C5,438,0.51856,15,29.2,22.163633
,,00099.657360,B5,620,0.58552,16,38.75,15.57843
,,00101.912880,C5,143,0.62896,10,14.3,12.426182
,,00103.946640,C5,110,0.61632,10,11,13.475904
,,00105.291280,C5,75,0.50552,8,9.375,10.02419
,,00106.901120,C2,56,0.22576,12,4.666667,4.496912
,,00106.805040,C4,339,0.42,15,22.6,10.442222
,,00107.139440,C5,50,0.4424,7,7.142857,7.434064
,,00107.874400,C6,568,0.71864,16,35.5,14.853451
,,00109.355600,B3,259,0.328,16,16.1875,10.812139
,,00109.520000,C4,50,0.52328,8,6.25,6.015604
,,00110.887440,C5,59,0.41656,9,6.555556,6.361536
,,00111.038480,D3,319,0.464,16,19.9375,13.282831
,,00110.997120,C6,55,0.82448,8,6.875,3.655048
,,00111.903680,B1,361,0.48176,15,24.066667,11.96922
,,00112.055120,C5,60,0.32264,7,8.571429,7.537661
,,00112.280080,D4,68,0.38856,11,6.181818,5.905593
,,00112.933680,B6,494,0.62264,16,30.875,15.296548
,,00113.211200,C5,58,0.32776,8,7.25,7.137051
,,00115.350560,A5,127,0.35928,14,9.071429,10.017587
,,00115.550640,C5,65,0.31784,8,8.125,6.392134
,,00116.422320,A3,691,0.81608,16,43.1875,23.843811
,,00118.318800,C5,456,0.52064,15,30.4,24.237162
,,00120.500960,C5,77,0.33408,9,8.555556,7.987645
,,00117.376000,A3,330,4.55296,10,33,24.478561
,,00121.746320,A1,412,0.4092,16,25.75,17.949583
,,00122.263280,D6,87,0.27296,9,9.666667,6.896053
,,00124.239600,A4,549,0.50056,16,34.3125,18.475386
,,00124.563040,A3,55,0.42976,10,5.5,4.5
,,00124.690160,B4,462,0.4604,16,28.875,15.799031
,,00124.514640,C6,551,0.63856,16,34.4375,14.999869
,,00125.648080,A3,50,0.45704,6,8.333333,8.881942
,,00125.648000,C3,366,0.7416,14,26.142857,20.486431
,,00126.400960,C2,398,0.54832,16,24.875,14.683643
,,00125.781280,B4,82,1.6592,8,10.25,14.104521
,,00130.616880,A2,472,0.38992,16,29.5,12.639225
,,00133.074000,D4,72,0.3736,12,6,7.141428
,,00133.418560,A3,104,0.35624,13,8,4.867475
,,00134.830000,A4,144,0.40792,14,10.285714,8.101398
