Investigator,Alberto,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
,,00385.788320,B3,239,0.31768,16,14.9375,11.929317
,,00386.944560,A6,102,0.35088,15,6.8,5.153639
,,00387.646480,D2,57,0.37296,11,5.181818,3.270201
,,00387.956240,A3,96,0.32288,13,7.384615,5.929567
,,00387.975280,C6,80,0.39544,13,6.153846,6.036379
,,00389.229440,A6,161,0.37056,16,10.0625,6.749711
,,00389.858400,B2,440,0.37104,16,27.5,14.96663
,,00390.079600,A4,572,0.49112,16,35.75,18.308126
,,00390.062960,B4,381,0.50248,16,23.8125,13.537996
,,00390.085120,C2,426,0.49488,16,26.625,17.058264
,,00393.106960,B1,424,0.48032,15,28.266667,13.616004
,,00393.773200,C3,154,0.27496,11,14,12.627531
,,00395.387120,C3,61,0.61224,9,6.777778,4.466611
,,00396.720880,B2,50,0.40992,11,4.545455,4.99752
,,00400.838000,A6,157,0.45344,16,9.8125,6.663508
,,00400.873760,D4,691,0.70056,16,43.1875,19.049995
,,00405.218880,B5,671,0.46464,16,41.9375,15.41699
,,00402.499760,D4,204,3.57984,12,17,15.942605
,,00408.326400,C3,136,0.2812,11,12.363636,11.251446
,,00408.737040,D2,109,0.29936,14,7.785714,5.746783
,,00410.494000,A6,621,0.58104,16,38.8125,16.164076
,,00410.471680,D6,393,0.64432,13,30.230769,23.488634
,,00411.910480,D3,314,0.32656,16,19.625,12.771428
,,00412.483920,D5,152,0.2716,14,10.857143,7.679817
,,00416.156640,D1,540,0.56056,16,33.75,16.887495
,,00416.899200,A5,533,0.45952,16,33.3125,17.199995
,,00417.439040,D2,373,0.42368,14,26.642857,15.508556
,,00420.740160,A6,54,0.2072,15,3.6,2.87054
,,00422.318560,B3,251,0.36048,16,15.6875,11.665755
,,00422.936640,B5,616,0.44576,16,38.5,13.332292
,,00422.929040,A2,464,0.5632,16,29,13.304134
,,00426.579120,A4,163,0.23336,15,10.866667,6.591577
,,00425.511360,A2,115,1.60112,8,14.375,14.132741
,,00430.753680,D4,542,0.5608,16,33.875,14.260413
,,00432.256960,C5,460,0.33456,15,30.666667,20.96876
,,00432.570880,D4,57,1.22528,9,6.333333,6
,,00435.606240,A2,82,0.36272,14,5.857143,4.997959
,,00435.985040,D6,396,0.66088,15,26.4,22.511625
,,00437.119600,B3,68,0.23208,10,6.8,5.688585
,,00437.089680,A4,149,0.31872,14,10.642857,7.824934
,,00439.097360,A6,539,0.48984,16,33.6875,13.636892
,,00439.394640,B4,425,0.45696,15,28.333333,14.817408
,,00440.794160,D2,66,0.51816,12,5.5,3.122499
,,00441.182000,C5,423,0.48944,15,28.2,20.995872
,,00442.560080,C6,557,0.42896,16,34.8125,13.666651
,,00444.279360,C3,54,0.546,10,5.4,6.216108
,,00444.722080,C5,333,0.42144,13,25.615385,19.43248
,,00445.104240,C2,68,0.43184,9,7.555556,6.618343
,,00443.550160,C6,95,2.0568,6,15.833333,9.940099
,,00445.143200,B4,59,0.67144,11,5.363636,4.656818
,,00445.054960,B6,482,0.60184,16,30.125,15.615997
,,00446.473680,B3,86,0.2416,13,6.615385,5.968359
,,00447.409440,C5,150,0.50552,11,13.636364,13.639999
,,00448.072080,A5,197,0.31664,16,12.3125,9.122217
,,00450.355200,D1,56,0.50112,8,7,6.614378
,,00453.170160,A3,655,0.72648,16,40.9375,19.024553
,,00454.153120,D3,313,0.29264,16,19.5625,10.879848
,,00454.613360,A6,53,0.29896,13,4.076923,3.384615
