Investigator,Alberto,Time (s),Electrode,Size (spikes),Duration (s)
,,00138.990320,A4_32,9,0.17264
,,00139.017440,A4_44,11,0.2384
,,00138.897600,A4_21,10,0.26128
,,00140.438160,A6_33,39,0.2092
,,00140.368080,A6_23,16,0.2164
,,00140.471600,A6_31,18,0.13512
,,00140.430880,A6_14,20,0.2488
,,00140.272240,A6_12,71,0.432
,,00140.330960,A6_13,45,0.38352
,,00140.397920,A6_11,51,0.30536
,,00140.420480,A6_34,27,0.25216
,,00140.448320,A6_24,52,0.22632
,,00140.397120,A6_42,48,0.27784
,,00140.414400,A6_43,39,0.3312
,,00140.457360,A6_32,35,0.21056
,,00140.383280,A6_44,50,0.28072
,,00140.494880,A6_21,22,0.16968
,,00140.420480,A6_41,64,0.27184
,,00140.375040,A6_22,35,0.28048
,,00140.789840,B1_41,30,0.28104
,,00140.897920,B1_21,33,0.23288
,,00140.958400,B1_31,18,0.13928
,,00140.983920,B1_12,5,0.05752
,,00140.933920,B1_23,19,0.18304
,,00140.878640,B1_14,12,0.1956
,,00140.971680,B1_33,7,0.05936
,,00140.947040,B1_24,26,0.17392
,,00140.957760,B1_34,22,0.13928
,,00140.787120,B1_43,46,0.34992
,,00140.747360,B1_44,51,0.39248
,,00140.983840,B1_42,22,0.11976
,,00140.943840,B1_13,16,0.26728
,,00140.800080,B1_22,32,0.37296
,,00140.893040,B1_32,35,0.27168
,,00141.161440,C2_14,8,0.27184
,,00141.264160,A6_14,5,0.20944
,,00141.517360,A5_23,5,0.1744
,,00141.634320,D6_14,14,0.23336
,,00141.534400,D6_12,33,0.26912
,,00141.600800,D6_33,48,0.26152
,,00141.594800,D6_24,25,0.25496
,,00141.558400,D6_41,17,0.23216
,,00141.678240,D6_31,9,0.07872
,,00141.651440,A6_12,7,0.38376
,,00141.597520,D6_23,43,0.39112
,,00141.546080,D6_43,78,0.46616
,,00141.516640,D6_21,64,0.61296
,,00141.564800,D6_22,52,0.39064
,,00141.990720,A6_43,8,0.24904
,,00142.744640,D6_43,5,0.17648
,,00143.629120,A6_43,5,0.14048
,,00142.853040,D6_12,27,0.84728
,,00143.863360,B2_41,33,0.22296
,,00143.860720,B2_21,39,0.21464
,,00143.810720,B2_12,65,0.31176
,,00143.855920,B2_13,50,0.27944
,,00143.896800,B2_22,18,0.13008
,,00143.869440,B2_23,24,0.19592
,,00143.849200,B2_14,46,0.23528
,,00143.883520,B2_33,17,0.16664
,,00143.846960,B2_24,32,0.24088
,,00143.903200,B2_34,23,0.14168
,,00143.890560,B2_32,22,0.1424
,,00143.893920,B2_43,13,0.1992
,,00143.890240,B2_42,36,0.2056
,,00143.690640,A6_34,6,0.40992
,,00143.838080,B2_31,30,0.34208
,,00143.876560,B2_44,30,0.31472
,,00144.119920,A6_14,8,0.29752
,,00144.619040,D6_23,6,0.23136
,,00145.028880,D1_41,51,0.2448
,,00145.024720,D1_21,54,0.21136
,,00145.043200,D1_31,33,0.17952
,,00145.025360,D1_11,57,0.24016
,,00145.027440,D1_12,50,0.28488
,,00145.058160,D1_13,21,0.17744
,,00145.060960,D1_22,30,0.16704
,,00145.053840,D1_23,40,0.21768
,,00145.026960,D1_14,22,0.17136
,,00145.017840,D1_33,17,0.182
,,00145.066160,D1_24,13,0.09752
,,00145.007040,D1_34,35,0.24608
,,00145.036560,D1_32,31,0.1836
,,00145.021760,D1_43,39,0.24464
,,00145.046800,D1_44,30,0.2048
,,00145.079920,D1_42,7,0.14384
,,00145.579280,A2_41,14,0.11832
,,00145.516880,A2_21,6,0.1952
,,00145.630720,A2_11,6,0.23408
,,00145.559520,A2_22,5,0.14224
,,00145.533680,A2_32,15,0.1576
,,00145.558800,A2_44,11,0.20584
,,00146.432240,D1_12,15,0.54144
,,00147.086400,D1_12,6,0.16728
,,00147.457040,C3_12,8,0.182
,,00147.515440,C3_23,7,0.13048
,,00147.525360,C3_34,6,0.12328
,,00147.593200,C3_41,9,0.0756
,,00147.509440,C3_21,30,0.21192
,,00147.582480,C3_11,5,0.10632
,,00147.572080,C3_22,10,0.10424
,,00147.570240,C3_14,5,0.0964
,,00147.479520,C3_42,36,0.2464
,,00147.962800,D1_12,5,0.16928
,,00147.997760,A4_31,8,0.15008
,,00148.196080,D2_41,20,0.12824
,,00148.197120,D2_31,25,0.13944
,,00148.160480,D2_11,30,0.16976
,,00148.175600,D2_12,19,0.17792
,,00148.222320,D2_22,36,0.15832
,,00148.183040,D2_23,33,0.18768
,,00148.215840,D2_14,19,0.16712
,,00148.211920,D2_33,11,0.10176
,,00148.101200,D2_34,20,0.25304
,,00148.154160,D2_42,50,0.23904
,,00148.186560,D3_41,7,0.13448
,,00148.189280,D3_11,6,0.1184
,,00148.310080,B3_31,8,0.06216
,,00148.275360,B3_11,5,0.10296
,,00148.126400,B3_22,15,0.24128
,,00148.319680,B3_33,5,0.02472
,,00148.294480,B3_44,14,0.10184
,,00148.330560,B3_42,8,0.02664
,,00148.133200,A4_12,5,0.0656
,,00148.051440,A4_11,18,0.14416
,,00148.070560,A4_33,13,0.18264
,,00147.996320,A4_23,13,0.20184
,,00148.131840,A4_42,19,0.10048
,,00147.990400,A4_43,21,0.25328
,,00148.051440,A4_32,10,0.18696
,,00148.062640,A4_44,16,0.1804
,,00148.065360,A4_21,9,0.16856
,,00148.084640,A4_41,14,0.1436
,,00147.949920,D6_43,8,0.23224
,,00148.129920,D2_24,24,0.3152
,,00148.114640,D2_43,57,0.43344
,,00148.106320,D2_44,49,0.31856
,,00148.110080,B3_41,42,0.30152
,,00148.220800,B3_12,29,0.20088
,,00148.191440,B3_23,28,0.24584
,,00148.253200,B3_34,32,0.20376
,,00148.257040,B3_32,26,0.17112
,,00148.584960,D1_12,9,0.36104
,,00149.094320,D1_12,9,0.16176
,,00149.356480,D1_12,11,0.29408
,,00149.376800,D2_12,9,0.51752
,,00149.876720,D1_12,5,0.22944
,,00149.805680,D2_43,7,0.28792
,,00151.126960,B2_12,18,0.16896
,,00151.096960,B2_13,5,0.14104
,,00151.103200,B2_23,5,0.1508
,,00151.162800,B2_14,5,0.02648
,,00151.058160,B2_44,7,0.21656
,,00151.246000,C6_13,19,0.1316
,,00151.155200,D2_12,8,0.26408
,,00151.298240,D2_43,5,0.156
,,00151.303840,D2_44,18,0.33032
,,00151.275680,C6_14,8,0.1292
,,00151.263920,C6_12,22,0.14504
,,00151.232800,C6_11,31,0.21168
,,00151.180880,C6_33,33,0.2632
,,00151.197360,C6_23,28,0.2244
,,00151.192800,C6_34,31,0.21272
,,00151.195360,C6_24,16,0.24936
,,00151.140400,C6_42,50,0.28168
,,00151.174880,C6_43,28,0.29856
,,00151.166800,C6_32,55,0.27304
,,00151.215600,C6_44,41,0.2312
,,00151.095280,C6_21,50,0.33632
,,00151.143920,C6_41,64,0.32104
,,00151.160880,C6_31,45,0.40552
,,00151.133360,C6_22,26,0.35976
,,00152.620000,C6_44,5,0.2816
,,00152.654880,C6_41,7,0.33912
,,00153.336960,C6_23,5,0.24448
,,00154.752320,C6_41,6,0.21592
,,00156.040960,D2_44,6,0.08208
,,00155.880080,B6_14,16,0.10432
,,00155.856320,B6_12,15,0.12872
,,00155.875920,B6_13,19,0.11856
,,00155.887120,B6_11,9,0.13232
,,00155.885520,B6_33,21,0.13512
,,00155.866480,B6_23,26,0.18152
,,00155.851040,B6_34,16,0.1208
,,00155.792800,B6_24,26,0.18712
,,00155.859280,B6_42,37,0.23248
,,00155.795360,B6_43,37,0.34768
,,00155.857840,B6_32,28,0.18184
,,00155.753200,B6_44,40,0.32216
,,00155.737520,B6_21,46,0.32216
,,00155.771360,B6_41,63,0.36816
,,00155.848880,B6_22,31,0.18752
,,00155.818320,B6_31,45,0.41216
,,00156.308720,A3_41,30,0.17744
,,00156.347360,A3_21,5,0.12752
,,00156.270640,A3_11,59,0.3556
,,00156.320880,A3_12,36,0.18792
,,00156.285440,A3_13,60,0.27784
,,00156.346560,A3_22,25,0.19328
,,00156.312560,A3_23,51,0.23288
,,00156.349280,A3_14,13,0.1292
,,00156.327360,A3_33,6,0.09192
,,00156.318720,A3_24,25,0.18856
,,00156.318160,A3_34,54,0.22696
,,00156.198080,A3_32,55,0.32936
,,00156.262720,A3_44,29,0.25768
,,00156.313760,A3_42,51,0.2208
,,00156.229440,A3_31,62,0.45968
,,00156.212080,A3_43,67,0.44
,,00156.981920,B6_41,6,0.2124
,,00157.888480,A6_12,11,0.17992
,,00157.903440,A6_11,7,0.17224
,,00157.901360,A6_43,9,0.17344
,,00157.877520,A6_44,5,0.10928
,,00157.898720,A6_41,11,0.10416
,,00157.907520,A6_22,5,0.13504
,,00157.682880,B6_31,12,0.4056
,,00158.622880,D6_43,17,0.27568
,,00158.641600,D6_22,7,0.18408
,,00158.748640,A3_31,9,0.35336
,,00158.254960,A3_42,13,0.69232
,,00158.864480,A3_34,12,0.4376
,,00158.848000,A3_43,14,0.5192
,,00159.182960,D4_14,21,0.18144
,,00159.166960,D4_12,31,0.17192
,,00159.031600,D4_13,21,0.29784
,,00159.046320,D4_11,55,0.32296
,,00159.201920,D4_34,28,0.14904
,,00159.194800,D4_44,34,0.18576
,,00159.113040,D4_21,59,0.28112
,,00159.137600,D4_22,43,0.25472
,,00158.414720,A3_32,31,1.226
,,00159.174000,D4_33,48,0.25912
,,00159.223040,D4_23,20,0.18992
,,00159.126080,D4_24,47,0.2876
,,00159.128800,D4_42,57,0.27656
,,00159.222560,D4_43,22,0.19576
,,00159.099200,D4_32,84,0.43872
,,00159.104400,D4_41,53,0.38752
,,00159.085760,D4_31,72,0.49664
,,00159.441840,D1_12,7,0.23256
,,00159.664320,B3_41,8,0.13328
,,00159.742080,B3_12,7,0.11824
,,00159.694240,B3_32,12,0.18728
,,00159.507760,B6_41,6,0.28392
,,00159.725840,A3_44,17,0.41176
,,00159.657120,B6_31,8,0.39744
,,00160.335200,C1_33,10,0.05216
,,00159.957120,D3_41,11,0.20672
,,00160.054480,A3_43,7,0.28816
,,00160.243440,C1_41,39,0.3076
,,00160.303440,C1_31,17,0.14528
,,00160.105200,C1_11,62,0.49752
,,00160.298240,C1_12,43,0.23856
,,00160.272240,C1_13,17,0.22128
,,00160.248560,C1_22,26,0.24816
,,00160.198880,C1_23,25,0.30144
,,00160.325360,C1_14,9,0.15544
,,00160.294000,C1_24,33,0.1748
,,00160.201840,C1_34,41,0.3784
,,00160.308320,C1_32,19,0.19912
,,00160.334960,C1_43,12,0.17552
,,00160.215120,C1_44,26,0.25248
,,00160.307520,C1_42,36,0.26424
,,00160.722880,B2_12,11,0.15264
,,00160.728720,B2_13,9,0.14616
,,00160.735920,B2_44,8,0.14504
,,00160.732880,D4_14,5,0.28728
,,00161.109520,B4_11,6,0.16496
,,00161.076960,B4_23,8,0.19432
,,00161.097440,B4_44,17,0.19088
,,00161.101840,B4_21,6,0.18816
,,00161.180160,B4_41,6,0.13736
,,00161.064800,B4_31,5,0.1848
,,00161.082240,B4_22,11,0.23936
,,00160.648400,D4_11,16,0.6184
,,00160.935200,D4_32,9,0.43208
,,00161.094240,D4_21,10,0.28576
,,00161.055680,D4_41,5,0.22888
,,00161.194880,D4_31,6,0.19192
,,00161.230720,A3_11,12,0.31568
,,00161.038480,A3_43,10,0.3724
,,00161.249440,D4_13,6,0.2032
,,00161.279040,B4_42,10,0.48752
,,00161.765440,C1_11,16,0.46248
,,00161.628960,D4_32,20,0.9952
,,00162.326240,D4_21,8,0.26072
,,00162.443760,D4_42,7,0.21064
,,00162.697120,D6_41,20,0.12616
,,00162.634240,D6_31,12,0.22056
,,00162.924800,B1_21,9,0.21816
,,00162.907840,B1_22,11,0.19728
,,00162.885920,B1_44,12,0.19576
,,00163.003360,A4_12,5,0.05304
,,00162.880960,A4_11,27,0.24088
,,00162.954400,A4_33,10,0.18016
,,00162.920000,A4_23,15,0.13568
,,00162.909600,A4_42,22,0.16488
,,00162.862320,A4_43,29,0.27224
,,00162.922080,A4_32,8,0.19208
,,00162.976000,A4_44,16,0.08296
,,00162.893600,A4_21,10,0.18576
,,00162.914240,A4_41,17,0.1536
,,00162.869920,A4_31,13,0.12744
,,00162.719120,D6_14,16,0.22112
,,00162.632320,D6_12,35,0.29672
,,00162.697280,D6_33,42,0.20792
,,00162.633680,D6_23,44,0.43056
,,00162.680720,D6_24,20,0.22208
,,00162.627600,D6_43,63,0.45472
,,00162.649040,D6_21,40,0.2948
,,00162.697360,D6_22,52,0.25256
,,00163.449040,A3_11,13,0.30408
,,00163.554000,D4_32,5,0.2188
,,00163.661840,D4_21,8,0.36432
,,00164.276720,D1_12,5,0.098
,,00163.964240,D4_11,12,0.45032
,,00165.157520,A3_11,7,0.15656
,,00165.077040,D4_32,13,0.56232
,,00165.578000,A1_21,9,0.15408
,,00165.420320,A3_11,15,0.33504
,,00165.505040,D6_12,5,0.2376
,,00165.885760,A3_11,5,0.09048
,,00166.091520,A3_11,17,0.56632
,,00166.587840,D5_14,17,0.13904
,,00166.579280,D5_12,13,0.22016
,,00166.584880,D5_13,35,0.19256
,,00166.591200,D5_23,12,0.13328
,,00166.568160,D5_34,21,0.1456
,,00166.533040,D5_24,55,0.3452
,,00166.528000,D5_42,57,0.224
,,00166.531840,D5_43,56,0.2768
,,00166.579760,D5_32,12,0.19976
,,00166.571120,D5_44,46,0.30088
,,00166.585920,D5_41,5,0.09672
,,00166.573840,D5_22,45,0.29336
,,00166.835280,A3_11,7,0.22168
,,00166.540240,D5_33,65,0.4408
,,00167.491280,C6_33,7,0.11024
,,00167.307040,C6_42,10,0.30928
,,00167.488480,C6_32,7,0.10008
,,00167.427040,C6_21,8,0.16192
,,00167.290560,C6_41,21,0.32664
,,00167.374240,C6_22,11,0.21648
,,00167.807760,A3_32,6,0.07968
,,00167.853360,A3_43,5,0.04352
,,00167.525840,D5_42,7,0.22752
,,00167.307040,D5_43,10,0.44488
,,00167.503760,C6_11,8,0.18192
,,00168.555040,A3_32,7,0.04592
,,00168.259360,D5_42,5,0.25264
,,00168.763680,D3_41,14,0.13096
,,00168.789680,D3_21,6,0.08744
,,00168.779600,D3_11,10,0.09032
,,00168.758000,D3_42,5,0.1296
,,00168.822480,D5_42,6,0.29304
,,00169.035040,A3_32,14,0.20128
,,00169.153360,A3_43,6,0.11216
,,00169.935040,A3_32,11,0.18048
,,00169.904560,C2_41,52,0.43424
,,00170.150080,C2_21,45,0.18504
,,00170.136080,C2_31,35,0.20232
,,00170.149680,C2_11,20,0.1892
,,00170.159600,C2_13,5,0.09288
,,00170.180480,C2_22,18,0.1768
,,00170.176560,C2_33,14,0.14192
,,00170.058560,C2_34,28,0.26896
,,00170.177840,C2_32,17,0.19024
,,00170.150480,C2_43,26,0.15112
,,00170.144800,C2_44,35,0.24904
,,00170.164960,C2_42,30,0.17584
,,00170.111360,C2_23,17,0.29216
,,00170.009360,C2_14,50,0.4052
,,00170.703920,B4_21,9,0.14832
,,00170.625120,B4_31,13,0.27464
,,00170.788480,C3_41,5,0.20704
,,00170.840560,C3_21,6,0.06632
,,00170.775440,C3_42,24,0.32304
,,00170.920080,A4_32,9,0.22632
,,00170.970480,A4_31,13,0.1284
,,00170.810560,B4_14,5,0.12352
,,00170.711360,B4_11,13,0.20224
,,00170.842800,B4_33,5,0.0604
,,00170.666480,B4_23,12,0.25424
,,00170.821600,B4_24,6,0.09224
,,00170.838960,B4_43,7,0.06272
,,00170.838640,B4_32,5,0.07192
,,00170.746320,B4_44,14,0.1648
,,00170.715120,B4_41,13,0.20152
,,00170.669600,B4_22,19,0.26392
,,00171.061520,A4_12,8,0.09048
,,00170.989520,A4_11,25,0.19904
,,00171.078720,A4_33,7,0.14888
,,00171.028320,A4_23,17,0.13376
,,00170.986000,A4_42,18,0.18552
,,00170.963680,A4_43,35,0.1896
,,00171.038160,A4_44,14,0.16728
,,00171.004320,A4_21,12,0.15976
,,00170.998240,A4_41,19,0.16264
,,00171.110640,D6_43,8,0.19752
,,00171.486320,D6_43,5,0.14032
,,00171.541040,B1_22,10,0.16984
,,00171.525520,B1_43,5,0.172
,,00171.499360,B1_44,10,0.16456
,,00171.558000,D6_22,5,0.17416
,,00173.115840,D1_41,50,0.25024
,,00173.108080,D1_21,49,0.23496
,,00173.119680,D1_31,39,0.19728
,,00173.121520,D1_11,43,0.21784
,,00173.141200,D1_13,20,0.19056
,,00173.190080,D1_22,21,0.10536
,,00173.141680,D1_23,38,0.19616
,,00173.114480,D1_14,26,0.1996
,,00173.182240,D1_33,16,0.10888
,,00173.191440,D1_24,12,0.10232
,,00173.112480,D1_34,32,0.2536
,,00173.180080,D1_32,26,0.16736
,,00173.156160,D1_43,31,0.19616
,,00173.136880,D1_44,29,0.20256
,,00173.179120,D1_42,5,0.10784
,,00173.096000,D1_12,42,0.33384
,,00174.421360,D1_12,8,0.26688
,,00175.612480,D1_12,6,0.30464
,,00176.157920,C2_41,9,0.20864
,,00176.166480,A5_34,14,0.22744
,,00176.225280,A5_24,21,0.12232
,,00176.225840,A5_21,13,0.13552
,,00176.231120,A5_22,24,0.16728
,,00176.264160,C2_14,7,0.24864
,,00176.153760,A5_14,55,0.34936
,,00176.207200,A5_12,39,0.20672
,,00176.198080,A5_13,61,0.27848
,,00176.226800,A5_11,36,0.2228
,,00176.227120,A5_33,24,0.3768
,,00176.236960,A5_23,52,0.20432
,,00176.224240,A5_42,44,0.19736
,,00176.150720,A5_43,61,0.3104
,,00176.218880,A5_32,46,0.20624
,,00176.216480,A5_44,28,0.2124
,,00176.199200,A5_41,58,0.27344
,,00176.170560,A5_31,23,0.24952
,,00176.474320,D4_42,9,0.19832
,,00176.396160,D4_32,22,0.33584
,,00176.485920,D4_21,10,0.17384
,,00176.560160,D4_31,5,0.09192
,,00177.681440,A5_24,5,0.31632
,,00178.102400,A5_24,5,0.24928
,,00179.159600,D6_43,6,0.18288
,,00180.781200,A5_12,7,0.2456
,,00181.193760,D6_33,9,0.08328
,,00181.184880,D6_23,8,0.13088
,,00181.040960,D6_43,22,0.27944
,,00181.172400,D6_21,5,0.08712
,,00181.203520,D6_41,5,0.0788
,,00181.219600,D6_22,9,0.058
,,00181.660160,C6_41,8,0.18024
,,00181.655520,C6_22,10,0.2416
,,00183.736000,A2_41,47,0.36176
,,00183.816800,A2_21,27,0.2232
,,00183.896800,A2_31,15,0.14784
,,00183.901280,A2_12,35,0.14648
,,00183.906560,A2_13,37,0.17384
,,00183.847360,A2_22,24,0.17824
,,00183.842080,A2_14,43,0.26144
,,00183.899440,A2_33,27,0.17216
,,00183.928320,A2_24,15,0.1052
,,00183.901600,A2_34,27,0.21808
,,00183.820880,A2_32,46,0.25608
,,00183.924720,A2_43,32,0.17536
,,00183.810800,A2_44,49,0.27296
,,00183.891840,A2_42,29,0.1848
,,00183.873680,A2_11,21,0.38912
,,00184.390480,C2_41,5,0.2036
,,00184.312480,B6_43,14,0.25912
,,00184.224960,B6_41,32,0.36672
,,00184.338560,B6_31,10,0.23848
,,00184.763120,C2_14,6,0.09456
,,00185.348960,B3_41,35,0.26984
,,00185.452480,B3_21,8,0.04512
,,00185.432000,B3_31,14,0.10888
,,00185.441200,B3_11,6,0.0876
,,00185.340960,B3_12,37,0.27536
,,00185.450960,B3_13,5,0.05104
,,00185.415840,B3_22,13,0.13944
,,00185.453360,B3_23,24,0.16832
,,00185.446080,B3_33,11,0.12168
,,00185.437120,B3_34,28,0.15064
,,00185.348880,B3_32,46,0.22888
,,00185.393600,B3_43,9,0.09888
,,00185.369360,B3_44,17,0.18192
,,00185.468720,B3_42,12,0.09488
,,00185.873920,C3_41,25,0.16824
,,00185.828640,C3_21,43,0.19952
,,00185.893040,C3_11,7,0.08784
,,00185.880320,C3_12,11,0.06512
,,00185.736080,C3_22,19,0.34808
,,00185.857440,C3_23,14,0.16416
,,00185.910880,C3_14,9,0.08848
,,00185.845680,C3_34,13,0.13816
,,00185.899440,C3_32,6,0.08816
,,00185.756480,C3_42,45,0.2924
,,00185.765200,A2_32,9,0.47552
,,00186.388880,A2_22,5,0.17864
,,00186.505760,A2_32,8,0.29944
,,00186.954480,A2_44,5,0.12304
,,00187.253200,A5_43,19,0.1308
,,00186.931360,A2_32,24,0.56936
,,00187.179760,A2_44,10,0.38704
,,00187.629120,A2_32,5,0.10328
,,00187.689840,D6_43,5,0.10304
,,00188.494160,D5_14,17,0.15488
,,00188.478960,D5_12,10,0.17024
,,00188.436960,D5_13,22,0.16
,,00188.510640,D5_23,10,0.08928
,,00188.480800,D5_34,19,0.15568
,,00188.448960,D5_42,47,0.19128
,,00188.489440,D5_32,8,0.14192
,,00188.442080,D5_33,39,0.2856
,,00188.439520,D5_24,47,0.21184
,,00188.451760,D5_43,40,0.2876
,,00188.464960,D5_44,48,0.27192
,,00188.480160,D5_22,41,0.29672
,,00189.715600,A5_41,6,0.11496
,,00189.365040,D5_42,9,0.43696
,,00189.727040,D5_43,6,0.17096
,,00189.829760,A3_41,35,0.26768
,,00189.952160,A3_22,23,0.14184
,,00189.981360,A3_14,7,0.07608
,,00189.982000,A3_33,7,0.04872
,,00189.911600,A3_24,29,0.22824
,,00189.933600,A3_34,44,0.20992
,,00189.786960,A3_44,27,0.32048
,,00189.948640,A3_42,41,0.17696
,,00189.736560,A5_14,13,0.29488
,,00189.735040,A5_34,10,0.28808
,,00189.738880,A5_43,42,0.28832
,,00190.033200,D3_41,14,0.17072
,,00190.055040,D3_11,6,0.10728
,,00189.876080,A3_31,58,0.47152
,,00189.914320,A3_11,55,0.37256
,,00189.920640,A3_12,34,0.26712
,,00189.948080,A3_13,51,0.21248
,,00189.925360,A3_23,47,0.26144
,,00189.876480,A3_32,54,0.33064
,,00189.864960,A3_43,57,0.38784
,,00189.933600,B3_32,30,0.5188
,,00190.640320,D5_44,8,0.32264
,,00191.080080,A3_43,5,0.19776
,,00191.470880,C2_41,6,0.15704
,,00191.391840,A2_44,9,0.24768
,,00191.383600,D5_42,5,0.14992
,,00191.456160,A2_41,5,0.21704
,,00191.470000,A2_22,6,0.19984
,,00191.813120,C2_14,9,0.29992
,,00191.366720,A2_32,28,0.7488
,,00191.985200,A6_22,5,0.13064
,,00192.247440,A3_44,6,0.09648
,,00192.096320,D4_14,20,0.17664
,,00192.075600,D4_12,29,0.21632
,,00191.930880,D4_13,20,0.33536
,,00192.012240,D4_11,51,0.29208
,,00192.087200,D4_33,45,0.20224
,,00192.120160,D4_23,24,0.17184
,,00192.099680,D4_34,26,0.1996
,,00192.118400,D4_24,40,0.21552
,,00191.912160,D4_42,52,0.37704
,,00192.120720,D4_43,13,0.11656
,,00191.931920,D4_32,77,0.42944
,,00192.100320,D4_44,27,0.1732
,,00191.906560,D4_21,57,0.3592
,,00191.935440,D4_31,64,0.38888
,,00192.015440,D4_22,43,0.25344
,,00191.887840,A6_12,15,0.3796
,,00191.942000,A6_13,12,0.40192
,,00192.026400,A6_11,8,0.13976
,,00192.115360,A6_24,10,0.19064
,,00192.101280,A6_42,13,0.13248
,,00192.064000,A6_43,10,0.206
,,00192.089120,A6_44,6,0.13416
,,00192.083280,A6_41,12,0.19032
,,00192.122800,D6_12,6,0.10664
,,00192.133520,D6_43,21,0.23216
,,00192.098240,D6_21,5,0.12432
,,00192.254320,A3_31,14,0.55272
,,00192.613760,A3_34,7,0.23064
,,00192.402800,A3_32,8,0.43416
,,00192.558240,A3_44,8,0.1856
,,00191.928480,D4_41,52,0.74776
,,00192.542560,A3_43,13,0.3656
,,00193.672240,A3_44,12,0.37968
,,00194.230800,D4_32,5,0.20624
,,00194.231440,D6_43,13,0.17504
,,00194.639360,A3_11,13,0.3704
,,00194.648000,A3_32,8,0.4188
,,00194.592720,A3_43,8,0.34584
,,00193.471280,D4_11,76,1.62088
,,00194.697680,D4_21,9,0.39248
,,00194.807120,D4_32,9,0.46648
,,00195.243760,D4_11,9,0.31256
,,00195.585840,B3_41,9,0.14432
,,00195.545840,B3_12,7,0.23248
,,00195.650640,B3_22,6,0.09936
,,00195.558800,B3_32,18,0.16072
,,00196.010640,C6_41,6,0.12272
,,00196.048400,C6_33,8,0.24696
,,00196.250400,C6_41,5,0.04888
,,00195.953360,C6_22,14,0.26872
,,00196.836640,B6_14,12,0.06024
,,00196.528000,D4_32,17,0.40616
,,00196.809360,B6_12,14,0.17336
,,00196.801120,B6_13,23,0.16056
,,00196.814000,B6_11,13,0.13384
,,00196.834000,B6_33,25,0.13376
,,00196.798960,B6_23,29,0.1924
,,00196.786080,B6_34,15,0.15624
,,00196.725120,B6_24,29,0.20128
,,00196.803280,B6_42,36,0.16768
,,00196.698080,B6_43,40,0.3144
,,00196.797760,B6_32,26,0.12016
,,00196.772800,B6_44,35,0.23672
,,00196.668720,B6_21,44,0.29392
,,00196.701520,B6_41,67,0.32616
,,00196.685360,B6_31,52,0.42528
,,00196.781440,B6_22,28,0.20256
,,00197.319040,D3_41,48,0.28656
,,00197.404720,D3_21,28,0.18888
,,00197.400560,D3_31,30,0.24808
,,00197.341760,D3_11,22,0.1788
,,00197.355600,D3_12,44,0.23352
,,00197.357200,D3_13,13,0.16784
,,00197.474320,D3_23,10,0.1132
,,00197.417920,D3_14,8,0.08496
,,00197.470000,D3_33,7,0.07088
,,00197.278880,D3_34,26,0.3328
,,00197.432240,D3_32,22,0.18112
,,00197.255680,D3_43,20,0.31936
,,00197.416800,D3_44,15,0.12968
,,00197.613760,D2_41,20,0.19224
,,00197.606080,D2_31,21,0.1368
,,00197.598960,D2_11,21,0.13736
,,00197.600480,D2_12,17,0.13632
,,00197.624400,D2_22,26,0.1824
,,00197.546800,D2_23,34,0.2544
,,00197.619760,D2_14,20,0.13072
,,00197.647200,D2_33,8,0.09344
,,00197.576720,D2_24,28,0.1676
,,00197.571600,D2_34,17,0.13784
,,00197.550480,D2_44,46,0.22808
,,00197.529360,D2_42,49,0.25712
,,00197.344400,D3_42,23,0.34352
,,00197.593600,D2_43,49,0.36704
,,00198.469520,D6_21,5,0.146
,,00198.647120,B6_31,5,0.24784
,,00198.530640,D6_43,9,0.13064
,,00199.019760,C2_41,10,0.31408
,,00199.146000,C2_14,12,0.28328
,,00200.313760,D2_12,10,0.44824
,,00200.530320,D2_44,14,0.30208
,,00200.806400,B3_41,8,0.07432
,,00200.720000,B3_32,19,0.11496
,,00200.801040,B3_22,7,0.10352
,,00200.960960,A4_14,25,0.17848
,,00200.976000,A4_13,11,0.13272
,,00200.878560,A4_11,46,0.2616
,,00200.886400,A4_32,14,0.20592
,,00200.889680,A4_21,42,0.25544
,,00200.922240,A4_22,12,0.19752
,,00200.960880,A4_12,34,0.2804
,,00200.930400,A4_33,32,0.22096
,,00200.942400,A4_23,56,0.21216
,,00200.958480,A4_34,33,0.30432
,,00200.863600,A4_42,51,0.30696
,,00200.879600,A4_43,71,0.29504
,,00200.903920,A4_44,41,0.29272
,,00200.870000,A4_41,47,0.33376
,,00200.868080,A4_31,30,0.3048
,,00202.459280,B3_12,5,0.16088
,,00202.452480,B3_32,19,0.18464
,,00202.435600,C2_41,8,0.32568
,,00202.440400,B3_41,7,0.24064
,,00202.247760,A4_12,11,0.4216
,,00202.612720,B6_41,6,0.1652
,,00202.763600,C2_14,8,0.16264
,,00203.211760,B2_11,5,0.09512
,,00203.243360,B2_22,15,0.14816
,,00203.267040,B2_32,11,0.09896
,,00203.268560,B2_43,17,0.08224
,,00203.218400,B2_41,29,0.1856
,,00203.230960,B2_21,46,0.22832
,,00203.191920,B2_31,33,0.36624
,,00203.201520,B2_12,62,0.25992
,,00203.226480,B2_13,48,0.25576
,,00203.205760,B2_23,22,0.26144
,,00203.199600,B2_14,48,0.24088
,,00203.231440,B2_33,31,0.19752
,,00203.232240,B2_24,41,0.18704
,,00203.255760,B2_34,22,0.17456
,,00203.242320,B2_44,29,0.30384
